Country,Code,ContinentCode,Year,Unemployment rate,Unemployment rate forecast,Population size in millions,Population growth percent,Life expectancy in years,Death rate per 1000 people,Fertility rate births per woman,Suicide mortality rate per 100000 population,Poverty percent of population,Happiness Index 0 (unhappy) - 10 (happy)
Afghanistan,AFG,AS,1960,,,9,,32.45,32.22,7.45,,,
Afghanistan,AFG,AS,1961,,,9.17,1.9,32.96,31.65,7.45,,,
Afghanistan,AFG,AS,1962,,,9.35,1.97,33.47,31.09,7.45,,,
Afghanistan,AFG,AS,1963,,,9.54,2.03,33.97,30.55,7.45,,,
Afghanistan,AFG,AS,1964,,,9.74,2.09,34.46,30.02,7.45,,,
Afghanistan,AFG,AS,1965,,,9.96,2.15,34.95,29.5,7.45,,,
Afghanistan,AFG,AS,1966,,,10.17,2.17,35.43,28.99,7.45,,,
Afghanistan,AFG,AS,1967,,,10.4,2.19,35.91,28.47,7.45,,,
Afghanistan,AFG,AS,1968,,,10.64,2.25,36.4,27.95,7.45,,,
Afghanistan,AFG,AS,1969,,,10.89,2.38,36.9,27.42,7.45,,,
Afghanistan,AFG,AS,1970,,,11.17,2.54,37.41,26.88,7.45,,,
Afghanistan,AFG,AS,1971,,,11.48,2.67,37.93,26.33,7.45,,,
Afghanistan,AFG,AS,1972,,,11.79,2.71,38.46,25.78,7.45,,,
Afghanistan,AFG,AS,1973,,,12.11,2.66,39,25.22,7.45,,,
Afghanistan,AFG,AS,1974,,,12.41,2.48,39.56,24.66,7.45,,,
Afghanistan,AFG,AS,1975,,,12.69,2.2,40.13,24.09,7.45,,,
Afghanistan,AFG,AS,1976,,,12.94,1.98,40.72,23.51,7.45,,,
Afghanistan,AFG,AS,1977,,,13.17,1.75,41.32,22.92,7.45,,,
Afghanistan,AFG,AS,1978,,,13.34,1.28,41.94,22.32,7.45,,,
Afghanistan,AFG,AS,1979,,,13.41,0.52,42.58,21.72,7.45,,,
Afghanistan,AFG,AS,1980,,,13.36,-0.41,43.24,21.11,7.45,,,
Afghanistan,AFG,AS,1981,,,13.17,-1.39,43.92,20.49,7.45,,,
Afghanistan,AFG,AS,1982,,,12.88,-2.22,44.62,19.86,7.45,,,
Afghanistan,AFG,AS,1983,,,12.54,-2.71,45.32,19.24,7.45,,,
Afghanistan,AFG,AS,1984,,,12.2,-2.7,46.04,18.62,7.45,,,
Afghanistan,AFG,AS,1985,,,11.94,-2.2,46.76,18,7.46,,,
Afghanistan,AFG,AS,1986,,,11.74,-1.71,47.49,17.41,7.46,,,
Afghanistan,AFG,AS,1987,,,11.6,-1.13,48.21,16.83,7.46,,,
Afghanistan,AFG,AS,1988,,,11.62,0.12,48.93,16.27,7.46,,,
Afghanistan,AFG,AS,1989,,,11.87,2.14,49.64,15.74,7.46,,,
Afghanistan,AFG,AS,1990,,,12.41,4.48,50.33,15.24,7.47,,,
Afghanistan,AFG,AS,1991,10.65,,13.3,6.9,51,14.78,7.48,,,
Afghanistan,AFG,AS,1992,10.82,,14.49,8.55,51.64,14.36,7.5,,,
Afghanistan,AFG,AS,1993,10.72,,15.82,8.79,52.26,13.97,7.53,,,
Afghanistan,AFG,AS,1994,10.73,,17.08,7.66,52.84,13.62,7.57,,,
Afghanistan,AFG,AS,1995,11.18,,18.11,5.88,53.4,13.28,7.61,,,
Afghanistan,AFG,AS,1996,10.96,,18.85,4.02,53.92,12.96,7.63,,,
Afghanistan,AFG,AS,1997,10.78,,19.36,2.64,54.42,12.65,7.63,,,
Afghanistan,AFG,AS,1998,10.8,,19.74,1.95,54.91,12.35,7.61,,,
Afghanistan,AFG,AS,1999,10.81,,20.17,2.17,55.38,12.04,7.56,,,
Afghanistan,AFG,AS,2000,10.81,,20.78,2.98,55.84,11.72,7.49,4.9,,
Afghanistan,AFG,AS,2001,10.81,,21.61,3.9,56.31,11.39,7.39,5,,
Afghanistan,AFG,AS,2002,11.26,,22.6,4.5,56.78,11.05,7.27,5,,
Afghanistan,AFG,AS,2003,11.14,,23.68,4.67,57.27,10.7,7.15,5,,
Afghanistan,AFG,AS,2004,10.99,,24.73,4.32,57.77,10.36,7.02,5,,
Afghanistan,AFG,AS,2005,11.22,,25.65,3.68,58.29,10,6.88,5,,
Afghanistan,AFG,AS,2006,11.1,,26.43,2.99,58.83,9.65,6.72,4.9,,
Afghanistan,AFG,AS,2007,11.3,,27.1,2.49,59.38,9.29,6.55,4.8,33.7,
Afghanistan,AFG,AS,2008,11.09,,27.72,2.27,59.93,8.93,6.37,4.6,,
Afghanistan,AFG,AS,2009,11.31,,28.39,2.4,60.48,8.58,6.18,4.4,,
Afghanistan,AFG,AS,2010,11.35,,29.19,2.75,61.03,8.25,5.98,4.3,,
Afghanistan,AFG,AS,2011,11.05,,30.12,3.14,61.55,7.94,5.77,4.1,38.3,
Afghanistan,AFG,AS,2012,11.34,,31.16,3.41,62.05,7.64,5.56,4,,
Afghanistan,AFG,AS,2013,11.19,,32.27,3.49,62.53,7.38,5.36,4,,4.04
Afghanistan,AFG,AS,2014,11.14,,33.37,3.36,62.97,7.14,5.16,3.9,,
Afghanistan,AFG,AS,2015,11.13,,34.41,3.08,63.38,6.93,4.98,4,,3.58
Afghanistan,AFG,AS,2016,11.16,,35.38,2.78,63.76,6.74,4.8,4,54.5,3.36
Afghanistan,AFG,AS,2017,11.18,,36.3,2.55,64.13,6.57,4.63,4.1,,3.79
Afghanistan,AFG,AS,2018,11.15,,37.17,2.38,64.49,6.42,4.47,4.1,,3.63
Afghanistan,AFG,AS,2019,11.22,,38.04,2.31,64.83,6.28,4.32,4.1,,3.2
Afghanistan,AFG,AS,2020,11.71,,38.93,2.3,65.17,6.16,4.18,,,2.52
Afghanistan,AFG,AS,2021,13.28,,39.84,2.3,,,,,,2.4
Armenia,ARM,AS,1960,,,1.87,,65.97,9.65,4.79,,,
Armenia,ARM,AS,1961,,,1.94,3.53,66.4,9.25,4.67,,,
Armenia,ARM,AS,1962,,,2.01,3.44,66.84,8.84,4.52,,,
Armenia,ARM,AS,1963,,,2.08,3.33,67.28,8.42,4.34,,,
Armenia,ARM,AS,1964,,,2.15,3.19,67.72,8.01,4.15,,,
Armenia,ARM,AS,1965,,,2.21,3.04,68.15,7.61,3.95,,,
Armenia,ARM,AS,1966,,,2.28,2.88,68.59,7.24,3.76,,,
Armenia,ARM,AS,1967,,,2.34,2.73,69.02,6.91,3.58,,,
Armenia,ARM,AS,1968,,,2.4,2.62,69.43,6.62,3.43,,,
Armenia,ARM,AS,1969,,,2.46,2.54,69.81,6.39,3.3,,,
Armenia,ARM,AS,1970,,,2.53,2.49,70.14,6.2,3.2,,,
Armenia,ARM,AS,1971,,,2.59,2.45,70.41,6.08,3.11,,,
Armenia,ARM,AS,1972,,,2.65,2.4,70.61,6.01,3.04,,,
Armenia,ARM,AS,1973,,,2.71,2.32,70.72,5.99,2.96,,,
Armenia,ARM,AS,1974,,,2.77,2.22,70.78,6,2.88,,,
Armenia,ARM,AS,1975,,,2.83,2.1,70.78,6.04,2.79,,,
Armenia,ARM,AS,1976,,,2.89,1.99,70.78,6.08,2.71,,,
Armenia,ARM,AS,1977,,,2.94,1.88,70.8,6.13,2.64,,,
Armenia,ARM,AS,1978,,,3,1.79,70.84,6.17,2.58,,,
Armenia,ARM,AS,1979,,,3.05,1.71,70.9,6.22,2.54,,,
Armenia,ARM,AS,1980,,,3.1,1.65,70.94,6.27,2.51,,,
Armenia,ARM,AS,1981,,,3.15,1.55,70.91,6.36,2.5,,,
Armenia,ARM,AS,1982,,,3.19,1.44,70.78,6.49,2.5,,,
Armenia,ARM,AS,1983,,,3.24,1.4,70.52,6.67,2.52,,,
Armenia,ARM,AS,1984,,,3.29,1.44,70.15,6.9,2.54,,,
Armenia,ARM,AS,1985,,,3.34,1.52,69.7,7.17,2.56,,,
Armenia,ARM,AS,1986,,,3.39,1.67,69.21,7.46,2.58,,,
Armenia,ARM,AS,1987,,,3.45,1.74,68.73,7.75,2.59,,,
Armenia,ARM,AS,1988,,,3.5,1.52,68.33,8.03,2.59,,,
Armenia,ARM,AS,1989,,,3.54,0.9,68.04,8.27,2.58,,,
Armenia,ARM,AS,1990,,,3.54,0.05,67.88,8.47,2.54,,,
Armenia,ARM,AS,1991,1.6,,3.51,-0.93,67.87,8.62,2.48,,,
Armenia,ARM,AS,1992,1.8,,3.44,-1.8,67.99,8.72,2.4,,,
Armenia,ARM,AS,1993,5.3,,3.36,-2.34,68.22,8.77,2.3,,,
Armenia,ARM,AS,1994,6.6,,3.28,-2.39,68.54,8.78,2.18,,,
Armenia,ARM,AS,1995,6.7,,3.22,-2.04,68.94,8.77,2.06,,,
Armenia,ARM,AS,1996,9.3,,3.17,-1.54,69.4,8.73,1.94,,,
