Macrotrends Data Download

Azerbaijan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,3158966
1951-12-31,3225280,2.1
1952-12-31,3296850,2.22
1953-12-31,3374174,2.35
1954-12-31,3458184,2.49
1955-12-31,3550017,2.66
1956-12-31,3649871,2.81
1957-12-31,3758021,2.96
1958-12-31,3874677,3.1
1959-12-31,3999395,3.22
1960-12-31,4131484,3.3
1961-12-31,4269886,3.35
1962-12-31,4412316,3.34
1963-12-31,4556648,3.27
1964-12-31,4699755,3.14
1965-12-31,4837811,2.94
1966-12-31,4969078,2.71
1967-12-31,5091822,2.47
1968-12-31,5207417,2.27
1969-12-31,5318380,2.13
1970-12-31,5425317,2.01
1971-12-31,5529211,1.91
1972-12-31,5630344,1.83
1973-12-31,5729065,1.75
1974-12-31,5826984,1.71
1975-12-31,5925012,1.68
1976-12-31,6021448,1.63
1977-12-31,6115755,1.57
1978-12-31,6208636,1.52
1979-12-31,6297208,1.43
1980-12-31,6383060,1.36
1981-12-31,6472524,1.4
1982-12-31,6567522,1.47
1983-12-31,6669007,1.55
1984-12-31,6777225,1.62
1985-12-31,6891140,1.68
1986-12-31,7009127,1.71
1987-12-31,7132685,1.76
1988-12-31,7261151,1.8
1989-12-31,7348874,1.21
1990-12-31,7427836,1.07
1991-12-31,7538267,1.49
1992-12-31,7643338,1.39
1993-12-31,7740107,1.27
1994-12-31,7821880,1.06
1995-12-31,7889330,0.86
1996-12-31,7949101,0.76
1997-12-31,8000061,0.64
1998-12-31,8041096,0.51
1999-12-31,8101449,0.75
2000-12-31,8190337,1.1
2001-12-31,8282023,1.12
2002-12-31,8372127,1.09
2003-12-31,8462322,1.08
2004-12-31,8556164,1.11
2005-12-31,8656237,1.17
2006-12-31,8763353,1.24
2007-12-31,8878411,1.31
2008-12-31,8999696,1.37
2009-12-31,9119628,1.33
2010-12-31,9237202,1.29
2011-12-31,9359014,1.32
2012-12-31,9485576,1.35
2013-12-31,9614478,1.36
2014-12-31,9741880,1.33
2015-12-31,9863480,1.25
2016-12-31,9976248,1.14
2017-12-31,10071567,0.96
2018-12-31,10152522,0.8
2019-12-31,10232753,0.79
2020-12-31,10284951,0.51
2021-12-31,10312992,0.27
2022-12-31,10358074,0.44
2023-12-31,10412651,0.53
2024-12-31,10462904,0.48
2025-12-31,10509535,0.45
2026-12-31,10553323,0.42
2027-12-31,10595099,0.4
2028-12-31,10635058,0.38
2029-12-31,10673545,0.36
2030-12-31,10711138,0.35
2031-12-31,10747709,0.34
2032-12-31,10783334,0.33
2033-12-31,10817832,0.32
2034-12-31,10850748,0.3
2035-12-31,10881465,0.28
2036-12-31,10909439,0.26
2037-12-31,10934405,0.23
2038-12-31,10955609,0.19
2039-12-31,10972311,0.15
2040-12-31,10984426,0.11
2041-12-31,10991899,0.07
2042-12-31,10994371,0.02
2043-12-31,10992015,-0.02
2044-12-31,10985175,-0.06
2045-12-31,10974136,-0.1
2046-12-31,10959389,-0.13
2047-12-31,10941124,-0.17
2048-12-31,10919530,-0.2
2049-12-31,10894838,-0.23
2050-12-31,10867296,-0.25
2051-12-31,10837258,-0.28
2052-12-31,10805074,-0.3
2053-12-31,10771183,-0.31
2054-12-31,10735924,-0.33
2055-12-31,10699376,-0.34
2056-12-31,10661683,-0.35
2057-12-31,10623239,-0.36
2058-12-31,10583914,-0.37
2059-12-31,10543407,-0.38
2060-12-31,10501855,-0.39
2061-12-31,10459353,-0.4
2062-12-31,10415822,-0.42
2063-12-31,10370879,-0.43
2064-12-31,10324437,-0.45
2065-12-31,10276925,-0.46
2066-12-31,10228183,-0.47
2067-12-31,10178118,-0.49
2068-12-31,10126477,-0.51
2069-12-31,10073276,-0.53
2070-12-31,10018893,-0.54
2071-12-31,9963291,-0.55
2072-12-31,9906451,-0.57
2073-12-31,9848551,-0.58
2074-12-31,9789823,-0.6
2075-12-31,9730397,-0.61
2076-12-31,9670372,-0.62
2077-12-31,9609828,-0.63
2078-12-31,9548845,-0.63
2079-12-31,9487635,-0.64
2080-12-31,9426568,-0.64
2081-12-31,9365858,-0.64
2082-12-31,9305541,-0.64
2083-12-31,9245607,-0.64
2084-12-31,9186185,-0.64
2085-12-31,9127424,-0.64
2086-12-31,9069149,-0.64
2087-12-31,9011238,-0.64
2088-12-31,8953855,-0.64
2089-12-31,8896905,-0.64
2090-12-31,8840123,-0.64
2091-12-31,8783403,-0.64
2092-12-31,8726764,-0.64
2093-12-31,8670082,-0.65
2094-12-31,8613202,-0.66
2095-12-31,8556023,-0.66
2096-12-31,8498599,-0.67
2097-12-31,8440680,-0.68
2098-12-31,8382365,-0.69
2099-12-31,8323915,-0.7
2100-12-31,8265202,-0.71
