Macrotrends Data Download

Bahrain Population Growth Rate 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Growth Rate
1950-12-31,117149
1951-12-31,120354,2.74
1952-12-31,123685,2.77
1953-12-31,127186,2.83
1954-12-31,130895,2.92
1955-12-31,134865,3.03
1956-12-31,139171,3.19
1957-12-31,143897,3.4
1958-12-31,149077,3.6
1959-12-31,154685,3.76
1960-12-31,160691,3.88
1961-12-31,166970,3.91
1962-12-31,173359,3.83
1963-12-31,179891,3.77
1964-12-31,186587,3.72
1965-12-31,193012,3.44
1966-12-31,199019,3.11
1967-12-31,204916,2.96
1968-12-31,210801,2.87
1969-12-31,216696,2.8
1970-12-31,222555,2.7
1971-12-31,230992,3.79
1972-12-31,243143,5.26
1973-12-31,256632,5.55
1974-12-31,270627,5.45
1975-12-31,285116,5.35
1976-12-31,300044,5.24
1977-12-31,315337,5.1
1978-12-31,330912,4.94
1979-12-31,346697,4.77
1980-12-31,362595,4.59
1981-12-31,377430,4.09
1982-12-31,391017,3.6
1983-12-31,404772,3.52
1984-12-31,419217,3.57
1985-12-31,434375,3.62
1986-12-31,450196,3.64
1987-12-31,466565,3.64
1988-12-31,483337,3.59
1989-12-31,500349,3.52
1990-12-31,517418,3.41
1991-12-31,535415,3.48
1992-12-31,554470,3.56
1993-12-31,573755,3.48
1994-12-31,593254,3.4
1995-12-31,612934,3.32
1996-12-31,632756,3.23
1997-12-31,652643,3.14
1998-12-31,672484,3.04
1999-12-31,692133,2.92
2000-12-31,711442,2.79
2001-12-31,730257,2.64
2002-12-31,748324,2.47
2003-12-31,778256,4
2004-12-31,833451,7.09
2005-12-31,901921,8.22
2006-12-31,970981,7.66
2007-12-31,1040532,7.16
2008-12-31,1110343,6.71
2009-12-31,1179453,6.22
2010-12-31,1213645,2.9
2011-12-31,1212077,-0.13
2012-12-31,1224939,1.06
2013-12-31,1261673,3
2014-12-31,1311134,3.92
2015-12-31,1362142,3.89
2016-12-31,1409661,3.49
2017-12-31,1456834,3.35
2018-12-31,1487340,2.09
2019-12-31,1494188,0.46
2020-12-31,1477469,-1.12
2021-12-31,1463265,-0.96
2022-12-31,1472233,0.61
2023-12-31,1485509,0.9
2024-12-31,1498712,0.89
2025-12-31,1511676,0.87
2026-12-31,1524461,0.85
2027-12-31,1537124,0.83
2028-12-31,1549710,0.82
2029-12-31,1562228,0.81
2030-12-31,1574679,0.8
2031-12-31,1587097,0.79
2032-12-31,1599504,0.78
2033-12-31,1611918,0.78
2034-12-31,1624315,0.77
2035-12-31,1636698,0.76
2036-12-31,1649093,0.76
2037-12-31,1661491,0.75
2038-12-31,1673928,0.75
2039-12-31,1686356,0.74
2040-12-31,1698716,0.73
2041-12-31,1711015,0.72
2042-12-31,1723162,0.71
2043-12-31,1735093,0.69
2044-12-31,1746778,0.67
2045-12-31,1758146,0.65
2046-12-31,1769175,0.63
2047-12-31,1779843,0.6
2048-12-31,1790091,0.58
2049-12-31,1799885,0.55
2050-12-31,1809237,0.52
2051-12-31,1818131,0.49
2052-12-31,1826542,0.46
2053-12-31,1834450,0.43
2054-12-31,1841872,0.4
2055-12-31,1848875,0.38
2056-12-31,1855457,0.36
2057-12-31,1861596,0.33
2058-12-31,1867309,0.31
2059-12-31,1872638,0.29
2060-12-31,1877649,0.27
2061-12-31,1882362,0.25
2062-12-31,1886773,0.23
2063-12-31,1890928,0.22
2064-12-31,1894869,0.21
2065-12-31,1898618,0.2
2066-12-31,1902216,0.19
2067-12-31,1905665,0.18
2068-12-31,1908947,0.17
2069-12-31,1912056,0.16
2070-12-31,1915047,0.16
2071-12-31,1917984,0.15
2072-12-31,1920889,0.15
2073-12-31,1923756,0.15
2074-12-31,1926660,0.15
2075-12-31,1929661,0.16
2076-12-31,1932723,0.16
2077-12-31,1935864,0.16
2078-12-31,1939130,0.17
2079-12-31,1942552,0.18
2080-12-31,1946168,0.19
2081-12-31,1949986,0.2
2082-12-31,1954043,0.21
2083-12-31,1958360,0.22
2084-12-31,1962908,0.23
2085-12-31,1967674,0.24
2086-12-31,1972652,0.25
2087-12-31,1977863,0.26
2088-12-31,1983292,0.27
2089-12-31,1988884,0.28
2090-12-31,1994568,0.29
2091-12-31,2000306,0.29
2092-12-31,2006061,0.29
2093-12-31,2011730,0.28
2094-12-31,2017347,0.28
2095-12-31,2022886,0.27
2096-12-31,2028188,0.26
2097-12-31,2033242,0.25
2098-12-31,2038057,0.24
2099-12-31,2042618,0.22
2100-12-31,2046912,0.21
