Macrotrends Data Download

Brunei Urban Population 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,35462,43.401
1961-12-31,38697,45.228,8.73
1962-12-31,42120,47.07,8.4761
1963-12-31,45760,48.92,8.2888
1964-12-31,49669,50.776,8.1971
1965-12-31,53883,52.625,8.1434
1966-12-31,58431,54.469,8.1032
1967-12-31,63307,56.3,8.0149
1968-12-31,68519,58.118,7.9115
1969-12-31,74044,59.908,7.7548
1970-12-31,79888,61.675,7.5966
1971-12-31,86032,63.412,7.4094
1972-12-31,90515,63.736,5.0796
1973-12-31,94885,63.889,4.715
1974-12-31,99308,64.041,4.556
1975-12-31,103758,64.193,4.3835
1976-12-31,108211,64.345,4.2022
1977-12-31,112685,64.496,4.0513
1978-12-31,117141,64.647,3.8782
1979-12-31,121558,64.798,3.7013
1980-12-31,125923,64.949,3.5279
1981-12-31,130216,65.099,3.3524
1982-12-31,134455,65.249,3.2035
1983-12-31,138694,65.399,3.104
1984-12-31,143010,65.548,3.0644
1985-12-31,147450,65.697,3.0575
1986-12-31,152050,65.846,3.072
1987-12-31,156779,65.994,3.0628
1988-12-31,161657,66.143,3.064
1989-12-31,166690,66.29,3.0659
1990-12-31,171884,66.438,3.0684
1991-12-31,177255,66.585,3.077
1992-12-31,183719,67.078,3.5818
1993-12-31,190430,67.604,3.5877
1994-12-31,197192,68.126,3.4893
1995-12-31,203950,68.644,3.3697
1996-12-31,210669,69.158,3.2413
1997-12-31,217331,69.666,3.1133
1998-12-31,223937,70.17,2.9943
1999-12-31,230532,70.669,2.9025
2000-12-31,237094,71.164,2.8067
2001-12-31,243643,71.652,2.7247
2002-12-31,249839,72.046,2.5113
2003-12-31,255860,72.421,2.3814
2004-12-31,261646,72.794,2.2362
2005-12-31,267127,73.163,2.0732
2006-12-31,272250,73.529,1.8997
2007-12-31,277071,73.892,1.7553
2008-12-31,281725,74.252,1.6658
2009-12-31,286422,74.608,1.6535
2010-12-31,291324,74.961,1.697
2011-12-31,296486,75.31,1.7564
2012-12-31,301865,75.656,1.798
2013-12-31,307343,75.997,1.7984
2014-12-31,312792,76.332,1.7574
2015-12-31,318086,76.663,1.6783
2016-12-31,323197,76.99,1.594
2017-12-31,328175,77.312,1.5285
2018-12-31,332997,77.629,1.4586
2019-12-31,337720,77.942,1.4084
2020-12-31,342330,78.25,1.3558
2021-12-31,346841,78.554,1.3091
