Macrotrends Data Download

Georgia Population 1900-2021
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,2220000
1901-12-01,2263000,1.94
1902-12-01,2305000,1.86
1903-12-01,2346000,1.78
1904-12-01,2387000,1.75
1905-12-01,2427000,1.68
1906-12-01,2466000,1.61
1907-12-01,2505000,1.58
1908-12-01,2543000,1.52
1909-12-01,2580000,1.45
1910-12-01,2618000,1.47
1911-12-01,2644000,0.99
1912-12-01,2676000,1.21
1913-12-01,2733000,2.13
1914-12-01,2776000,1.57
1915-12-01,2810000,1.22
1916-12-01,2856000,1.64
1917-12-01,2885000,1.02
1918-12-01,2941000,1.94
1919-12-01,2870000,-2.41
1920-12-01,2926000,1.95
1921-12-01,2965000,1.33
1922-12-01,2965000,0
1923-12-01,2954000,-0.37
1924-12-01,2920000,-1.15
1925-12-01,2883000,-1.27
1926-12-01,2869000,-0.49
1927-12-01,2891000,0.77
1928-12-01,2903000,0.42
1929-12-01,2903000,0
1930-12-01,2910000,0.24
1931-12-01,2924000,0.48
1932-12-01,2935000,0.38
1933-12-01,2950000,0.51
1934-12-01,2964000,0.47
1935-12-01,2955000,-0.3
1936-12-01,2978000,0.78
1937-12-01,3037000,1.98
1938-12-01,3091000,1.78
1939-12-01,3120000,0.94
1940-12-01,3119000,-0.03
1941-12-01,3179000,1.92
1942-12-01,3209000,0.94
1943-12-01,3245000,1.12
1944-12-01,3176000,-2.13
1945-12-01,3119000,-1.79
1946-12-01,3242000,3.94
1947-12-01,3272000,0.93
1948-12-01,3259000,-0.4
1949-12-01,3325000,2.03
1950-12-01,3458000,4
1951-12-01,3531000,2.11
1952-12-01,3584000,1.5
1953-12-01,3558000,-0.73
1954-12-01,3602000,1.24
1955-12-01,3636000,0.94
1956-12-01,3701000,1.79
1957-12-01,3766000,1.76
1958-12-01,3804000,1.01
1959-12-01,3868000,1.68
1960-12-01,3956000,2.28
1961-12-01,4015000,1.49
1962-12-01,4086000,1.77
1963-12-01,4172000,2.1
1964-12-01,4258000,2.06
1965-12-01,4332000,1.74
1966-12-01,4379000,1.08
1967-12-01,4408000,0.66
1968-12-01,4482000,1.68
1969-12-01,4551000,1.54
1970-12-01,4587930,0.81
1971-12-01,4711550,2.69
1972-12-01,4809490,2.08
1973-12-01,4910374,2.1
1974-12-01,4999419,1.81
1975-12-01,5064075,1.29
1976-12-01,5132812,1.36
1977-12-01,5219697,1.69
1978-12-01,5295751,1.46
1979-12-01,5401384,1.99
1980-12-01,5486174,1.57
1981-12-01,5568345,1.5
1982-12-01,5649792,1.46
1983-12-01,5728250,1.39
1984-12-01,5834954,1.86
1985-12-01,5962661,2.19
1986-12-01,6084666,2.05
1987-12-01,6208467,2.03
1988-12-01,6316142,1.73
1989-12-01,6411099,1.5
1990-12-01,6506531,1.49
1991-12-01,6621279,1.76
1992-12-01,6759474,2.09
1993-12-01,6894092,1.99
1994-12-01,7045900,2.2
1995-12-01,7188538,2.02
1996-12-01,7332225,2
1997-12-01,7486094,2.1
1998-12-01,7636522,2.01
1999-12-01,7788240,1.99
2000-12-01,8227303,5.64
2001-12-01,8377038,1.82
2002-12-01,8508256,1.57
2003-12-01,8622793,1.35
2004-12-01,8769252,1.7
2005-12-01,8925922,1.79
2006-12-01,9155813,2.58
2007-12-01,9349988,2.12
2008-12-01,9504843,1.66
2009-12-01,9620846,1.22
2010-12-01,9712209,0.95
2011-12-01,9803630,0.94
2012-12-01,9903580,1.02
2013-12-01,9975592,0.73
2014-12-01,10071204,0.96
2015-12-01,10183353,1.11
2016-12-01,10308442,1.23
2017-12-01,10417031,1.05
2018-12-01,10519389,0.98
2019-12-01,10628020,1.03
2020-12-01,10725800,0.92
2021-12-01,10799566,0.69
