Macrotrends Data Download

Hong Kong Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1980524
1951-12-31,2075503,4.8
1952-12-31,2173597,4.73
1953-12-31,2275010,4.67
1954-12-31,2380472,4.64
1955-12-31,2490487,4.62
1956-12-31,2606293,4.65
1957-12-31,2728466,4.69
1958-12-31,2855692,4.66
1959-12-31,2985050,4.53
1960-12-31,3114671,4.34
1961-12-31,3231758,3.76
1962-12-31,3331188,3.08
1963-12-31,3424353,2.8
1964-12-31,3514763,2.64
1965-12-31,3602029,2.48
1966-12-31,3684665,2.29
1967-12-31,3762177,2.1
1968-12-31,3834043,1.91
1969-12-31,3898387,1.68
1970-12-31,3955072,1.45
1971-12-31,4028605,1.86
1972-12-31,4128333,2.48
1973-12-31,4234754,2.58
1974-12-31,4342773,2.55
1975-12-31,4451220,2.5
1976-12-31,4558873,2.42
1977-12-31,4664903,2.33
1978-12-31,4768798,2.23
1979-12-31,4872752,2.18
1980-12-31,4978544,2.17
1981-12-31,5077742,1.99
1982-12-31,5166905,1.76
1983-12-31,5252127,1.65
1984-12-31,5333571,1.55
1985-12-31,5411680,1.46
1986-12-31,5492791,1.5
1987-12-31,5578533,1.56
1988-12-31,5665617,1.56
1989-12-31,5752708,1.54
1990-12-31,5838574,1.49
1991-12-31,5923447,1.45
1992-12-31,6007685,1.42
1993-12-31,6089808,1.37
1994-12-31,6168707,1.3
1995-12-31,6243859,1.22
1996-12-31,6333444,1.43
1997-12-31,6441236,1.7
1998-12-31,6546057,1.63
1999-12-31,6641965,1.47
2000-12-31,6731195,1.34
2001-12-31,6801542,1.05
2002-12-31,6848847,0.7
2003-12-31,6886457,0.55
2004-12-31,6915998,0.43
2005-12-31,6936874,0.3
2006-12-31,6960595,0.34
2007-12-31,7001456,0.59
2008-12-31,7050677,0.7
2009-12-31,7094595,0.62
2010-12-31,7132438,0.53
2011-12-31,7175364,0.6
2012-12-31,7234060,0.82
2013-12-31,7296827,0.87
2014-12-31,7352183,0.76
2015-12-31,7399838,0.65
2016-12-31,7435927,0.49
2017-12-31,7461519,0.34
2018-12-31,7481555,0.27
2019-12-31,7496122,0.19
2020-12-31,7500958,0.06
2021-12-31,7494578,-0.09
2022-12-31,7488865,-0.08
2023-12-31,7491609,0.04
2024-12-31,7496681,0.07
2025-12-31,7499791,0.04
2026-12-31,7500962,0.02
2027-12-31,7500208,-0.01
2028-12-31,7497463,-0.04
2029-12-31,7492674,-0.06
2030-12-31,7485887,-0.09
2031-12-31,7476879,-0.12
2032-12-31,7465577,-0.15
2033-12-31,7452152,-0.18
2034-12-31,7436708,-0.21
2035-12-31,7419486,-0.23
2036-12-31,7400466,-0.26
2037-12-31,7379746,-0.28
2038-12-31,7357445,-0.3
2039-12-31,7333541,-0.32
2040-12-31,7308138,-0.35
2041-12-31,7281091,-0.37
2042-12-31,7252429,-0.39
2043-12-31,7222400,-0.41
2044-12-31,7191087,-0.43
2045-12-31,7158430,-0.45
2046-12-31,7124458,-0.47
2047-12-31,7089171,-0.5
2048-12-31,7052591,-0.52
2049-12-31,7014690,-0.54
2050-12-31,6975391,-0.56
2051-12-31,6934581,-0.59
2052-12-31,6892056,-0.61
2053-12-31,6847847,-0.64
2054-12-31,6802104,-0.67
2055-12-31,6754881,-0.69
2056-12-31,6706171,-0.72
2057-12-31,6656324,-0.74
2058-12-31,6605570,-0.76
2059-12-31,6553992,-0.78
2060-12-31,6501772,-0.8
2061-12-31,6449159,-0.81
2062-12-31,6396475,-0.82
2063-12-31,6343711,-0.82
2064-12-31,6291079,-0.83
2065-12-31,6238727,-0.83
2066-12-31,6186619,-0.84
2067-12-31,6134739,-0.84
2068-12-31,6082994,-0.84
2069-12-31,6031569,-0.85
2070-12-31,5980534,-0.85
2071-12-31,5929817,-0.85
2072-12-31,5879443,-0.85
2073-12-31,5829598,-0.85
2074-12-31,5780261,-0.85
2075-12-31,5731410,-0.85
2076-12-31,5683203,-0.84
2077-12-31,5635597,-0.84
2078-12-31,5588591,-0.83
2079-12-31,5542351,-0.83
2080-12-31,5496976,-0.82
2081-12-31,5452529,-0.81
2082-12-31,5409182,-0.79
2083-12-31,5367025,-0.78
2084-12-31,5326130,-0.76
2085-12-31,5286408,-0.75
2086-12-31,5247833,-0.73
2087-12-31,5210555,-0.71
2088-12-31,5174633,-0.69
2089-12-31,5140078,-0.67
2090-12-31,5106917,-0.65
2091-12-31,5075115,-0.62
2092-12-31,5044672,-0.6
2093-12-31,5015688,-0.57
2094-12-31,4988166,-0.55
2095-12-31,4962066,-0.52
2096-12-31,4937404,-0.5
2097-12-31,4914239,-0.47
2098-12-31,4892458,-0.44
2099-12-31,4871892,-0.42
2100-12-31,4852441,-0.4
