Macrotrends Data Download

Indonesia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,69567619
1951-12-31,71019347,2.09
1952-12-31,72570827,2.18
1953-12-31,74207986,2.26
1954-12-31,75925325,2.31
1955-12-31,77741502,2.39
1956-12-31,79661837,2.47
1957-12-31,81690984,2.55
1958-12-31,83818754,2.6
1959-12-31,86047674,2.66
1960-12-31,88382881,2.71
1961-12-31,90816938,2.75
1962-12-31,93345489,2.78
1963-12-31,95962527,2.8
1964-12-31,98675061,2.83
1965-12-31,101157868,2.52
1966-12-31,103561105,2.38
1967-12-31,106260749,2.61
1968-12-31,109138723,2.71
1969-12-31,112149246,2.76
1970-12-31,115228394,2.75
1971-12-31,118347135,2.71
1972-12-31,121504145,2.67
1973-12-31,124709058,2.64
1974-12-31,127945196,2.59
1975-12-31,131213215,2.55
1976-12-31,134521025,2.52
1977-12-31,137861540,2.48
1978-12-31,141250964,2.46
1979-12-31,144693087,2.44
1980-12-31,148177096,2.41
1981-12-31,151686337,2.37
1982-12-31,155228658,2.34
1983-12-31,158790611,2.29
1984-12-31,162331962,2.23
1985-12-31,165791694,2.13
1986-12-31,169135273,2.02
1987-12-31,172421390,1.94
1988-12-31,175694647,1.9
1989-12-31,178949174,1.85
1990-12-31,182159874,1.79
1991-12-31,185361228,1.76
1992-12-31,188558416,1.72
1993-12-31,191737287,1.69
1994-12-31,194928533,1.66
1995-12-31,198140162,1.65
1996-12-31,201373791,1.63
1997-12-31,204628007,1.62
1998-12-31,207855486,1.58
1999-12-31,210996910,1.51
2000-12-31,214072421,1.46
2001-12-31,217112437,1.42
2002-12-31,220115092,1.38
2003-12-31,223080121,1.35
2004-12-31,225938595,1.28
2005-12-31,228805144,1.27
2006-12-31,231797427,1.31
2007-12-31,234858289,1.32
2008-12-31,237936543,1.31
2009-12-31,240981299,1.28
2010-12-31,244016173,1.26
2011-12-31,247099697,1.26
2012-12-31,250222695,1.26
2013-12-31,253275918,1.22
2014-12-31,256229761,1.17
2015-12-31,259091970,1.12
2016-12-31,261850182,1.06
2017-12-31,264498852,1.01
2018-12-31,267066843,0.97
2019-12-31,269582878,0.94
2020-12-31,271857970,0.84
2021-12-31,273753191,0.7
2022-12-31,275501339,0.64
2023-12-31,277534122,0.74
2024-12-31,279798049,0.82
2025-12-31,282004306,0.79
2026-12-31,284151182,0.76
2027-12-31,286233232,0.73
2028-12-31,288260632,0.71
2029-12-31,290233414,0.68
2030-12-31,292150100,0.66
2031-12-31,294013829,0.64
2032-12-31,295817463,0.61
2033-12-31,297563755,0.59
2034-12-31,299251173,0.57
2035-12-31,300882677,0.55
2036-12-31,302465687,0.53
2037-12-31,303988726,0.5
2038-12-31,305448276,0.48
2039-12-31,306842611,0.46
2040-12-31,308164809,0.43
2041-12-31,309414550,0.41
2042-12-31,310593657,0.38
2043-12-31,311703932,0.36
2044-12-31,312729314,0.33
2045-12-31,313666981,0.3
2046-12-31,314535140,0.28
2047-12-31,315329358,0.25
2048-12-31,316037840,0.22
2049-12-31,316669001,0.2
2050-12-31,317225213,0.18
2051-12-31,317706746,0.15
2052-12-31,318123640,0.13
2053-12-31,318472936,0.11
2054-12-31,318755367,0.09
2055-12-31,318980301,0.07
2056-12-31,319155325,0.05
2057-12-31,319283460,0.04
2058-12-31,319369849,0.03
2059-12-31,319415802,0.01
2060-12-31,319421205,0
2061-12-31,319390623,-0.01
2062-12-31,319327084,-0.02
2063-12-31,319235511,-0.03
2064-12-31,319115807,-0.04
2065-12-31,318960539,-0.05
2066-12-31,318768335,-0.06
2067-12-31,318551682,-0.07
2068-12-31,318308140,-0.08
2069-12-31,318027849,-0.09
2070-12-31,317715345,-0.1
2071-12-31,317381803,-0.1
2072-12-31,317030019,-0.11
2073-12-31,316652964,-0.12
2074-12-31,316249758,-0.13
2075-12-31,315817740,-0.14
2076-12-31,315353620,-0.15
2077-12-31,314860807,-0.16
2078-12-31,314342009,-0.16
2079-12-31,313792963,-0.17
2080-12-31,313215861,-0.18
2081-12-31,312613710,-0.19
2082-12-31,311985075,-0.2
2083-12-31,311328436,-0.21
2084-12-31,310642048,-0.22
2085-12-31,309919998,-0.23
2086-12-31,309164376,-0.24
2087-12-31,308391220,-0.25
2088-12-31,307600628,-0.26
2089-12-31,306786553,-0.26
2090-12-31,305948184,-0.27
2091-12-31,305086268,-0.28
2092-12-31,304211068,-0.29
2093-12-31,303319515,-0.29
2094-12-31,302414070,-0.3
2095-12-31,301492044,-0.3
2096-12-31,300542662,-0.31
2097-12-31,299578874,-0.32
2098-12-31,298606023,-0.32
2099-12-31,297622252,-0.33
2100-12-31,296623475,-0.34
