Macrotrends Data Download

Kazakhstan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,6655675
1951-12-31,6887970,3.49
1952-12-31,7124072,3.43
1953-12-31,7362289,3.34
1954-12-31,7605944,3.31
1955-12-31,7858733,3.32
1956-12-31,8124175,3.38
1957-12-31,8405659,3.46
1958-12-31,8698748,3.49
1959-12-31,9003391,3.5
1960-12-31,9319283,3.51
1961-12-31,9639302,3.43
1962-12-31,9959414,3.32
1963-12-31,10277790,3.2
1964-12-31,10590934,3.05
1965-12-31,10897644,2.9
1966-12-31,11197568,2.75
1967-12-31,11491228,2.62
1968-12-31,11777849,2.49
1969-12-31,12042478,2.25
1970-12-31,12265305,1.85
1971-12-31,12444338,1.46
1972-12-31,12611997,1.35
1973-12-31,12789985,1.41
1974-12-31,12972497,1.43
1975-12-31,13158942,1.44
1976-12-31,13346173,1.42
1977-12-31,13543521,1.48
1978-12-31,13750291,1.53
1979-12-31,13957795,1.51
1980-12-31,14172710,1.54
1981-12-31,14397391,1.59
1982-12-31,14634179,1.64
1983-12-31,14885966,1.72
1984-12-31,15147590,1.76
1985-12-31,15413315,1.75
1986-12-31,15721289,2
1987-12-31,16072478,2.23
1988-12-31,16430590,2.23
1989-12-31,16704993,1.67
1990-12-31,16866563,0.97
1991-12-31,16993792,0.75
1992-12-31,17043417,0.29
1993-12-31,16979697,-0.37
1994-12-31,16747151,-1.37
1995-12-31,16434324,-1.87
1996-12-31,16144247,-1.77
1997-12-31,15820432,-2.01
1998-12-31,15474254,-2.19
1999-12-31,15256255,-1.41
2000-12-31,15236253,-0.13
2001-12-31,15281285,0.3
2002-12-31,15338963,0.38
2003-12-31,15416712,0.51
2004-12-31,15521923,0.68
2005-12-31,15656248,0.87
2006-12-31,15822748,1.06
2007-12-31,16006136,1.16
2008-12-31,16196517,1.19
2009-12-31,16402369,1.27
2010-12-31,16627837,1.37
2011-12-31,16864917,1.43
2012-12-31,17102864,1.41
2013-12-31,17345732,1.42
2014-12-31,17592298,1.42
2015-12-31,17835909,1.38
2016-12-31,18078553,1.36
2017-12-31,18314814,1.31
2018-12-31,18538099,1.22
2019-12-31,18754258,1.17
2020-12-31,18979243,1.2
2021-12-31,19196465,1.14
2022-12-31,19397998,1.05
2023-12-31,19606633,1.08
2024-12-31,19828165,1.13
2025-12-31,20055854,1.15
2026-12-31,20277784,1.11
2027-12-31,20494584,1.07
2028-12-31,20707376,1.04
2029-12-31,20918059,1.02
2030-12-31,21128221,1
2031-12-31,21337806,0.99
2032-12-31,21547475,0.98
2033-12-31,21758123,0.98
2034-12-31,21970104,0.97
2035-12-31,22183607,0.97
2036-12-31,22398846,0.97
2037-12-31,22616594,0.97
2038-12-31,22836868,0.97
2039-12-31,23059676,0.98
2040-12-31,23285398,0.98
2041-12-31,23514590,0.98
2042-12-31,23746703,0.99
2043-12-31,23981452,0.99
2044-12-31,24217948,0.99
2045-12-31,24453953,0.97
2046-12-31,24688978,0.96
2047-12-31,24922400,0.95
2048-12-31,25153483,0.93
2049-12-31,25383063,0.91
2050-12-31,25609978,0.89
2051-12-31,25833843,0.87
2052-12-31,26054494,0.85
2053-12-31,26271589,0.83
2054-12-31,26486512,0.82
2055-12-31,26698832,0.8
2056-12-31,26908053,0.78
2057-12-31,27114447,0.77
2058-12-31,27317473,0.75
2059-12-31,27516617,0.73
2060-12-31,27712625,0.71
2061-12-31,27906297,0.7
2062-12-31,28097819,0.69
2063-12-31,28287331,0.67
2064-12-31,28474353,0.66
2065-12-31,28659258,0.65
2066-12-31,28842910,0.64
2067-12-31,29025232,0.63
2068-12-31,29207858,0.63
2069-12-31,29390488,0.63
2070-12-31,29572747,0.62
2071-12-31,29755339,0.62
2072-12-31,29938176,0.61
2073-12-31,30121541,0.61
2074-12-31,30304621,0.61
2075-12-31,30487317,0.6
2076-12-31,30668944,0.6
2077-12-31,30849603,0.59
2078-12-31,31029234,0.58
2079-12-31,31206712,0.57
2080-12-31,31383135,0.57
2081-12-31,31558848,0.56
2082-12-31,31731943,0.55
2083-12-31,31901667,0.53
2084-12-31,32069262,0.53
2085-12-31,32233796,0.51
2086-12-31,32394875,0.5
2087-12-31,32552460,0.49
2088-12-31,32704709,0.47
2089-12-31,32851321,0.45
2090-12-31,32992346,0.43
2091-12-31,33127399,0.41
2092-12-31,33256211,0.39
2093-12-31,33380034,0.37
2094-12-31,33498704,0.36
2095-12-31,33611408,0.34
2096-12-31,33719110,0.32
2097-12-31,33821098,0.3
2098-12-31,33916994,0.28
2099-12-31,34007853,0.27
2100-12-31,34093330,0.25
