Macrotrends Data Download

Kuwait Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,153738
1951-12-31,157764,2.62
1952-12-31,161988,2.68
1953-12-31,166439,2.75
1954-12-31,171095,2.8
1955-12-31,183458,7.23
1956-12-31,204028,11.21
1957-12-31,223274,9.43
1958-12-31,245827,10.1
1959-12-31,274514,11.67
1960-12-31,305415,11.26
1961-12-31,339697,11.22
1962-12-31,378190,11.33
1963-12-31,420494,11.19
1964-12-31,465748,10.76
1965-12-31,513840,10.33
1966-12-31,565463,10.05
1967-12-31,621242,9.86
1968-12-31,681117,9.64
1969-12-31,743044,9.09
1970-12-31,802786,8.04
1971-12-31,858734,6.97
1972-12-31,913785,6.41
1973-12-31,970527,6.21
1974-12-31,1030426,6.17
1975-12-31,1095998,6.36
1976-12-31,1168791,6.64
1977-12-31,1247225,6.71
1978-12-31,1329074,6.56
1979-12-31,1412266,6.26
1980-12-31,1493870,5.78
1981-12-31,1573026,5.3
1982-12-31,1652921,5.08
1983-12-31,1736028,5.03
1984-12-31,1813986,4.49
1985-12-31,1888975,4.13
1986-12-31,1968093,4.19
1987-12-31,2048477,4.08
1988-12-31,2129153,3.94
1989-12-31,2210013,3.8
1990-12-31,1674938,-24.21
1991-12-31,1339500,-20.03
1992-12-31,1620633,20.99
1993-12-31,1653645,2.04
1994-12-31,1641106,-0.76
1995-12-31,1655222,0.86
1996-12-31,1703318,2.91
1997-12-31,1761468,3.41
1998-12-31,1819544,3.3
1999-12-31,1877427,3.18
2000-12-31,1934901,3.06
2001-12-31,1991674,2.93
2002-12-31,2047364,2.8
2003-12-31,2101506,2.64
2004-12-31,2153481,2.47
2005-12-31,2235403,3.8
2006-12-31,2363409,5.73
2007-12-31,2506769,6.07
2008-12-31,2650930,5.75
2009-12-31,2795550,5.46
2010-12-31,2943356,5.29
2011-12-31,3143825,6.81
2012-12-31,3394663,7.98
2013-12-31,3646518,7.42
2014-12-31,3761584,3.16
2015-12-31,3908743,3.91
2016-12-31,4048085,3.56
2017-12-31,4124904,1.9
2018-12-31,4317185,4.66
2019-12-31,4441100,2.87
2020-12-31,4360444,-1.82
2021-12-31,4250114,-2.53
2022-12-31,4268873,0.44
2023-12-31,4310108,0.97
2024-12-31,4349380,0.91
2025-12-31,4387109,0.87
2026-12-31,4423726,0.83
2027-12-31,4459526,0.81
2028-12-31,4494733,0.79
2029-12-31,4529698,0.78
2030-12-31,4564570,0.77
2031-12-31,4599596,0.77
2032-12-31,4635015,0.77
2033-12-31,4670915,0.77
2034-12-31,4707382,0.78
2035-12-31,4744328,0.78
2036-12-31,4781662,0.79
2037-12-31,4819257,0.79
2038-12-31,4856708,0.78
2039-12-31,4893652,0.76
2040-12-31,4929743,0.74
2041-12-31,4964524,0.71
2042-12-31,4997633,0.67
2043-12-31,5028536,0.62
2044-12-31,5056669,0.56
2045-12-31,5081806,0.5
2046-12-31,5103734,0.43
2047-12-31,5122198,0.36
2048-12-31,5137002,0.29
2049-12-31,5148056,0.22
2050-12-31,5155414,0.14
2051-12-31,5159217,0.07
2052-12-31,5159644,0.01
2053-12-31,5156842,-0.05
2054-12-31,5151047,-0.11
2055-12-31,5142593,-0.16
2056-12-31,5131748,-0.21
2057-12-31,5118765,-0.25
2058-12-31,5104076,-0.29
2059-12-31,5088056,-0.31
2060-12-31,5070904,-0.34
2061-12-31,5052894,-0.36
2062-12-31,5034360,-0.37
2063-12-31,5015538,-0.37
2064-12-31,4996829,-0.37
2065-12-31,4978484,-0.37
2066-12-31,4960627,-0.36
2067-12-31,4943337,-0.35
2068-12-31,4926694,-0.34
2069-12-31,4910975,-0.32
2070-12-31,4896178,-0.3
2071-12-31,4882308,-0.28
2072-12-31,4869470,-0.26
2073-12-31,4857764,-0.24
2074-12-31,4847268,-0.22
2075-12-31,4837854,-0.19
2076-12-31,4829556,-0.17
2077-12-31,4822523,-0.15
2078-12-31,4816838,-0.12
2079-12-31,4812624,-0.09
2080-12-31,4809828,-0.06
2081-12-31,4808350,-0.03
2082-12-31,4808230,0
2083-12-31,4809471,0.03
2084-12-31,4812029,0.05
2085-12-31,4815733,0.08
2086-12-31,4820408,0.1
2087-12-31,4825947,0.11
2088-12-31,4832175,0.13
2089-12-31,4838886,0.14
2090-12-31,4845914,0.15
2091-12-31,4853115,0.15
2092-12-31,4860350,0.15
2093-12-31,4867289,0.14
2094-12-31,4873698,0.13
2095-12-31,4879515,0.12
2096-12-31,4884611,0.1
2097-12-31,4888842,0.09
2098-12-31,4892100,0.07
2099-12-31,4894440,0.05
2100-12-31,4895806,0.03
