Macrotrends Data Download

Kyrgyz Republic Rural Population 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Rural Population, % of Total, Annual % Change
1960-12-31,1429786,65.819
1961-12-31,1477366,65.489,3.2736
1962-12-31,1520350,65.156,2.868
1963-12-31,1564609,64.822,2.8695
1964-12-31,1609094,64.485,2.8035
1965-12-31,1650746,64.149,2.5556
1966-12-31,1694347,63.81,2.607
1967-12-31,1736857,63.47,2.478
1968-12-31,1779165,63.129,2.4067
1969-12-31,1817529,62.786,2.1334
1970-12-31,1850944,62.534,1.8218
1971-12-31,1885643,62.391,1.8573
1972-12-31,1922312,62.247,1.926
1973-12-31,1958604,62.103,1.8703
1974-12-31,1997464,61.958,1.9646
1975-12-31,2035164,61.814,1.8698
1976-12-31,2071277,61.669,1.7589
1977-12-31,2106520,61.524,1.6872
1978-12-31,2140347,61.379,1.5931
1979-12-31,2178193,61.323,1.7528
1980-12-31,2220107,61.373,1.906
1981-12-31,2263929,61.423,1.9546
1982-12-31,2310954,61.473,2.0559
1983-12-31,2361437,61.523,2.161
1984-12-31,2411445,61.573,2.0956
1985-12-31,2458943,61.623,1.9505
1986-12-31,2507933,61.673,1.9727
1987-12-31,2558171,61.723,1.9834
1988-12-31,2605832,61.773,1.8459
1989-12-31,2667850,61.935,2.3521
1990-12-31,2732336,62.223,2.3884
1991-12-31,2790196,62.51,2.0955
1992-12-31,2835536,62.797,1.6119
1993-12-31,2849225,63.082,0.4816
1994-12-31,2861083,63.367,0.4153
1995-12-31,2902740,63.651,1.4455
1996-12-31,2959121,63.934,1.9237
1997-12-31,3015793,64.215,1.8971
1998-12-31,3075814,64.496,1.9707
1999-12-31,3131739,64.7,1.8019
2000-12-31,3169363,64.702,1.1942
2001-12-31,3199678,64.704,0.952
2002-12-31,3229232,64.705,0.9194
2003-12-31,3263368,64.707,1.0515
2004-12-31,3303149,64.708,1.2116
2005-12-31,3340718,64.71,1.1309
2006-12-31,3376879,64.711,1.0766
2007-12-31,3409340,64.713,0.9567
2008-12-31,3441997,64.715,0.9533
2009-12-31,3483856,64.716,1.2088
2010-12-31,3524464,64.694,1.1589
2011-12-31,3565079,64.648,1.1458
2012-12-31,3620962,64.577,1.5554
2013-12-31,3688170,64.483,1.8391
2014-12-31,3756020,64.365,1.8229
2015-12-31,3825700,64.223,1.8382
2016-12-31,3894285,64.056,1.7769
2017-12-31,3958480,63.865,1.635
2018-12-31,4024399,63.649,1.6515
2019-12-31,4093812,63.409,1.7101
2020-12-31,4154812,63.144,1.4791
2021-12-31,4207572,62.854,1.2619
