Macrotrends Data Download

Lao PDR Urban Population 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,168526,7.946
1961-12-31,174061,8.02,3.2316
1962-12-31,179800,8.095,3.2439
1963-12-31,185733,8.17,3.2465
1964-12-31,191896,8.246,3.2643
1965-12-31,198303,8.323,3.2843
1966-12-31,204893,8.4,3.2692
1967-12-31,217033,8.692,5.7562
1968-12-31,229963,8.994,5.7869
1969-12-31,243806,9.304,5.8454
1970-12-31,258761,9.625,5.9532
1971-12-31,274983,9.955,6.0804
1972-12-31,292465,10.295,6.1636
1973-12-31,309357,10.597,5.6151
1974-12-31,324131,10.837,4.6652
1975-12-31,338146,11.081,4.233
1976-12-31,351143,11.331,3.7716
1977-12-31,363256,11.584,3.3914
1978-12-31,375285,11.843,3.2578
1979-12-31,388312,12.107,3.4123
1980-12-31,403261,12.377,3.7775
1981-12-31,420404,12.65,4.1632
1982-12-31,439774,12.93,4.5045
1983-12-31,461157,13.214,4.7478
1984-12-31,484296,13.504,4.8958
1985-12-31,509076,13.804,4.9901
1986-12-31,535666,14.118,5.0914
1987-12-31,563919,14.439,5.14
1988-12-31,593714,14.766,5.1487
1989-12-31,624883,15.098,5.1167
1990-12-31,657380,15.437,5.0698
1991-12-31,691131,15.782,5.0067
1992-12-31,726041,16.133,4.9277
1993-12-31,761829,16.49,4.8116
1994-12-31,798178,16.854,4.661
1995-12-31,842221,17.378,5.3711
1996-12-31,902800,18.234,6.9459
1997-12-31,965619,19.12,6.7268
1998-12-31,1030927,20.039,6.5444
1999-12-31,1098950,20.991,6.3897
2000-12-31,1169990,21.977,6.264
2001-12-31,1243826,22.993,6.1197
2002-12-31,1320796,24.044,6.0042
2003-12-31,1401187,25.126,5.9085
2004-12-31,1485874,26.242,5.8683
2005-12-31,1563650,27.186,5.102
2006-12-31,1622169,27.748,3.6741
2007-12-31,1683372,28.316,3.7035
2008-12-31,1747053,28.893,3.7131
2009-12-31,1812306,29.475,3.667
2010-12-31,1878750,30.064,3.6007
2011-12-31,1946163,30.66,3.5253
2012-12-31,2014817,31.264,3.4669
2013-12-31,2084844,31.872,3.4166
2014-12-31,2157060,32.487,3.4052
2015-12-31,2231863,33.108,3.409
2016-12-31,2309515,33.736,3.4201
2017-12-31,2389618,34.368,3.4096
2018-12-31,2471807,35.004,3.3816
2019-12-31,2555553,35.645,3.3319
2020-12-31,2640299,36.29,3.2624
2021-12-31,2725861,36.939,3.1892
