Macrotrends Data Download

Lebanon Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1349588
1951-12-31,1388215,2.86
1952-12-31,1428095,2.87
1953-12-31,1469430,2.89
1954-12-31,1512263,2.91
1955-12-31,1556327,2.91
1956-12-31,1601855,2.93
1957-12-31,1649151,2.95
1958-12-31,1697139,2.91
1959-12-31,1746544,2.91
1960-12-31,1798092,2.95
1961-12-31,1853295,3.07
1962-12-31,1911959,3.17
1963-12-31,1971511,3.11
1964-12-31,2030440,2.99
1965-12-31,2087445,2.81
1966-12-31,2145646,2.79
1967-12-31,2203202,2.68
1968-12-31,2262291,2.68
1969-12-31,2323823,2.72
1970-12-31,2381791,2.49
1971-12-31,2442137,2.53
1972-12-31,2505965,2.61
1973-12-31,2569841,2.55
1974-12-31,2632880,2.45
1975-12-31,2691586,2.23
1976-12-31,3070419,14.07
1977-12-31,3457617,12.61
1978-12-31,3183405,-7.93
1979-12-31,2902164,-8.83
1980-12-31,2963702,2.12
1981-12-31,3027222,2.14
1982-12-31,3070133,1.42
1983-12-31,3106990,1.2
1984-12-31,3163558,1.82
1985-12-31,3226750,2
1986-12-31,3308010,2.52
1987-12-31,3390870,2.5
1988-12-31,3457148,1.95
1989-12-31,3525502,1.98
1990-12-31,3593700,1.93
1991-12-31,3666734,2.03
1992-12-31,3745407,2.15
1993-12-31,3818796,1.96
1994-12-31,3888144,1.82
1995-12-31,3959640,1.84
1996-12-31,4034243,1.88
1997-12-31,4107551,1.82
1998-12-31,4178784,1.73
1999-12-31,4250020,1.7
2000-12-31,4320642,1.66
2001-12-31,4389200,1.59
2002-12-31,4446666,1.31
2003-12-31,4504807,1.31
2004-12-31,4574797,1.55
2005-12-31,4643044,1.49
2006-12-31,4719864,1.65
2007-12-31,4809608,1.9
2008-12-31,4887613,1.62
2009-12-31,4951135,1.3
2010-12-31,4995800,0.9
2011-12-31,5045056,0.99
2012-12-31,5178337,2.64
2013-12-31,5678851,9.67
2014-12-31,6274342,10.49
2015-12-31,6398940,1.99
2016-12-31,6258619,-2.19
2017-12-31,6109252,-2.39
2018-12-31,5950839,-2.59
2019-12-31,5781907,-2.84
2020-12-31,5662923,-2.06
2021-12-31,5592631,-1.24
2022-12-31,5489739,-1.84
2023-12-31,5353930,-2.47
2024-12-31,5219044,-2.52
2025-12-31,5097604,-2.33
2026-12-31,4988145,-2.15
2027-12-31,4897736,-1.81
2028-12-31,4824807,-1.49
2029-12-31,4763208,-1.28
2030-12-31,4714240,-1.03
2031-12-31,4678450,-0.76
2032-12-31,4654951,-0.5
2033-12-31,4641685,-0.28
2034-12-31,4637432,-0.09
2035-12-31,4642097,0.1
2036-12-31,4654791,0.27
2037-12-31,4673485,0.4
2038-12-31,4695407,0.47
2039-12-31,4718509,0.49
2040-12-31,4742163,0.5
2041-12-31,4766088,0.5
2042-12-31,4790049,0.5
2043-12-31,4813633,0.49
2044-12-31,4836471,0.47
2045-12-31,4858147,0.45
2046-12-31,4878160,0.41
2047-12-31,4896315,0.37
2048-12-31,4912361,0.33
2049-12-31,4926083,0.28
2050-12-31,4937579,0.23
2051-12-31,4946848,0.19
2052-12-31,4953656,0.14
2053-12-31,4958129,0.09
2054-12-31,4960530,0.05
2055-12-31,4961059,0.01
2056-12-31,4960079,-0.02
2057-12-31,4957813,-0.05
2058-12-31,4954615,-0.06
2059-12-31,4950829,-0.08
2060-12-31,4946598,-0.09
2061-12-31,4942211,-0.09
2062-12-31,4937973,-0.09
2063-12-31,4934177,-0.08
2064-12-31,4930926,-0.07
2065-12-31,4928383,-0.05
2066-12-31,4926691,-0.03
2067-12-31,4925874,-0.02
2068-12-31,4925787,0
2069-12-31,4926413,0.01
2070-12-31,4927743,0.03
2071-12-31,4929604,0.04
2072-12-31,4931993,0.05
2073-12-31,4934715,0.06
2074-12-31,4937681,0.06
2075-12-31,4940792,0.06
2076-12-31,4943806,0.06
2077-12-31,4946578,0.06
2078-12-31,4948983,0.05
2079-12-31,4950939,0.04
2080-12-31,4952294,0.03
2081-12-31,4952959,0.01
2082-12-31,4952852,0
2083-12-31,4951786,-0.02
2084-12-31,4949721,-0.04
2085-12-31,4946530,-0.06
2086-12-31,4942150,-0.09
2087-12-31,4936645,-0.11
2088-12-31,4929983,-0.13
2089-12-31,4922100,-0.16
2090-12-31,4912907,-0.19
2091-12-31,4902373,-0.21
2092-12-31,4890453,-0.24
2093-12-31,4877096,-0.27
2094-12-31,4862336,-0.3
2095-12-31,4846194,-0.33
2096-12-31,4828659,-0.36
2097-12-31,4809703,-0.39
2098-12-31,4789377,-0.42
2099-12-31,4767814,-0.45
2100-12-31,4745074,-0.48
