Macrotrends Data Download

Macao Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,196838
1951-12-31,200511,1.87
1952-12-31,200829,0.16
1953-12-31,199998,-0.41
1954-12-31,198232,-0.88
1955-12-31,195757,-1.25
1956-12-31,192720,-1.55
1957-12-31,189199,-1.83
1958-12-31,185291,-2.07
1959-12-31,181120,-2.25
1960-12-31,177014,-2.27
1961-12-31,178672,0.94
1962-12-31,186039,4.12
1963-12-31,193618,4.07
1964-12-31,201380,4.01
1965-12-31,209278,3.92
1966-12-31,217232,3.8
1967-12-31,225151,3.65
1968-12-31,232929,3.45
1969-12-31,240416,3.21
1970-12-31,247284,2.86
1971-12-31,249832,1.03
1972-12-31,248669,-0.47
1973-12-31,247838,-0.33
1974-12-31,247280,-0.23
1975-12-31,246919,-0.15
1976-12-31,246661,-0.1
1977-12-31,246405,-0.1
1978-12-31,246048,-0.14
1979-12-31,245605,-0.18
1980-12-31,245332,-0.11
1981-12-31,248695,1.37
1982-12-31,256692,3.22
1983-12-31,266253,3.72
1984-12-31,276591,3.88
1985-12-31,287700,4.02
1986-12-31,299491,4.1
1987-12-31,311808,4.11
1988-12-31,324478,4.06
1989-12-31,337336,3.96
1990-12-31,350227,3.82
1991-12-31,362390,3.47
1992-12-31,372370,2.75
1993-12-31,380712,2.24
1994-12-31,388779,2.12
1995-12-31,396641,2.02
1996-12-31,404297,1.93
1997-12-31,411700,1.83
1998-12-31,418776,1.72
1999-12-31,425518,1.61
2000-12-31,431896,1.5
2001-12-31,439122,1.67
2002-12-31,449665,2.4
2003-12-31,462533,2.86
2004-12-31,475529,2.81
2005-12-31,488619,2.75
2006-12-31,501863,2.71
2007-12-31,515330,2.68
2008-12-31,529038,2.66
2009-12-31,543021,2.64
2010-12-31,557297,2.63
2011-12-31,571003,2.46
2012-12-31,582766,2.06
2013-12-31,593374,1.82
2014-12-31,604167,1.82
2015-12-31,615239,1.83
2016-12-31,626688,1.86
2017-12-31,638609,1.9
2018-12-31,650991,1.94
2019-12-31,663653,1.95
2020-12-31,676283,1.9
2021-12-31,686607,1.53
2022-12-31,695168,1.25
2023-12-31,704149,1.29
2024-12-31,713082,1.27
2025-12-31,721922,1.24
2026-12-31,730610,1.2
2027-12-31,739126,1.17
2028-12-31,747446,1.13
2029-12-31,755534,1.08
2030-12-31,763371,1.04
2031-12-31,770958,0.99
2032-12-31,778280,0.95
2033-12-31,785332,0.91
2034-12-31,792125,0.86
2035-12-31,798680,0.83
2036-12-31,805019,0.79
2037-12-31,811150,0.76
2038-12-31,817113,0.74
2039-12-31,822949,0.71
2040-12-31,828668,0.69
2041-12-31,834288,0.68
2042-12-31,839836,0.66
2043-12-31,845330,0.65
2044-12-31,850776,0.64
2045-12-31,856168,0.63
2046-12-31,861486,0.62
2047-12-31,866719,0.61
2048-12-31,871846,0.59
2049-12-31,876823,0.57
2050-12-31,881666,0.55
2051-12-31,886400,0.54
2052-12-31,891008,0.52
2053-12-31,895467,0.5
2054-12-31,899778,0.48
2055-12-31,903940,0.46
2056-12-31,907961,0.44
2057-12-31,911851,0.43
2058-12-31,915615,0.41
2059-12-31,919231,0.39
2060-12-31,922697,0.38
2061-12-31,926045,0.36
2062-12-31,929289,0.35
2063-12-31,932442,0.34
2064-12-31,935514,0.33
2065-12-31,938484,0.32
2066-12-31,941359,0.31
2067-12-31,944170,0.3
2068-12-31,946913,0.29
2069-12-31,949600,0.28
2070-12-31,952254,0.28
2071-12-31,954837,0.27
2072-12-31,957372,0.27
2073-12-31,959872,0.26
2074-12-31,962307,0.25
2075-12-31,964692,0.25
2076-12-31,967020,0.24
2077-12-31,969287,0.23
2078-12-31,971510,0.23
2079-12-31,973691,0.22
2080-12-31,975841,0.22
2081-12-31,977952,0.22
2082-12-31,980029,0.21
2083-12-31,982090,0.21
2084-12-31,984128,0.21
2085-12-31,986172,0.21
2086-12-31,988252,0.21
2087-12-31,990404,0.22
2088-12-31,992645,0.23
2089-12-31,995001,0.24
2090-12-31,997479,0.25
2091-12-31,1000075,0.26
2092-12-31,1002841,0.28
2093-12-31,1005782,0.29
2094-12-31,1008882,0.31
2095-12-31,1012145,0.32
2096-12-31,1015579,0.34
2097-12-31,1019203,0.36
2098-12-31,1023016,0.37
2099-12-31,1027015,0.39
2100-12-31,1031184,0.41
