Macrotrends Data Download

Malaysia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,5972876
1951-12-31,6118736,2.44
1952-12-31,6273219,2.52
1953-12-31,6435027,2.58
1954-12-31,6605394,2.65
1955-12-31,6786077,2.74
1956-12-31,6977024,2.81
1957-12-31,7178108,2.88
1958-12-31,7385689,2.89
1959-12-31,7602942,2.94
1960-12-31,7833782,3.04
1961-12-31,8074805,3.08
1962-12-31,8324218,3.09
1963-12-31,8579350,3.06
1964-12-31,8835925,2.99
1965-12-31,9091016,2.89
1966-12-31,9340240,2.74
1967-12-31,9582086,2.59
1968-12-31,9821308,2.5
1969-12-31,10061684,2.45
1970-12-31,10306508,2.43
1971-12-31,10552557,2.39
1972-12-31,10801619,2.36
1973-12-31,11062664,2.42
1974-12-31,11335187,2.46
1975-12-31,11617947,2.49
1976-12-31,11910081,2.51
1977-12-31,12218924,2.59
1978-12-31,12543892,2.66
1979-12-31,12875011,2.64
1980-12-31,13215707,2.65
1981-12-31,13564594,2.64
1982-12-31,13921029,2.63
1983-12-31,14292862,2.67
1984-12-31,14686454,2.75
1985-12-31,15108135,2.87
1986-12-31,15558740,2.98
1987-12-31,16033103,3.05
1988-12-31,16524616,3.07
1989-12-31,17020143,3
1990-12-31,17517054,2.92
1991-12-31,18017464,2.86
1992-12-31,18526708,2.83
1993-12-31,19050077,2.82
1994-12-31,19588703,2.83
1995-12-31,20136888,2.8
1996-12-31,20689051,2.74
1997-12-31,21249178,2.71
1998-12-31,21810542,2.64
1999-12-31,22368655,2.56
2000-12-31,22945150,2.58
2001-12-31,23542517,2.6
2002-12-31,24142445,2.55
2003-12-31,24739411,2.47
2004-12-31,25333247,2.4
2005-12-31,25923536,2.33
2006-12-31,26509413,2.26
2007-12-31,27092604,2.2
2008-12-31,27664296,2.11
2009-12-31,28217204,2
2010-12-31,28717731,1.77
2011-12-31,29184133,1.62
2012-12-31,29660212,1.63
2013-12-31,30134807,1.6
2014-12-31,30606459,1.57
2015-12-31,31068833,1.51
2016-12-31,31526418,1.47
2017-12-31,31975806,1.43
2018-12-31,32399271,1.32
2019-12-31,32804020,1.25
2020-12-31,33199993,1.21
2021-12-31,33573874,1.13
2022-12-31,33938221,1.09
2023-12-31,34308525,1.09
2024-12-31,34671895,1.06
2025-12-31,35028030,1.03
2026-12-31,35376942,1
2027-12-31,35718158,0.96
2028-12-31,36050662,0.93
2029-12-31,36373834,0.9
2030-12-31,36687569,0.86
2031-12-31,36992784,0.83
2032-12-31,37288666,0.8
2033-12-31,37573537,0.76
2034-12-31,37847164,0.73
2035-12-31,38109999,0.69
2036-12-31,38362771,0.66
2037-12-31,38605692,0.63
2038-12-31,38838995,0.6
2039-12-31,39063349,0.58
2040-12-31,39279459,0.55
2041-12-31,39487920,0.53
2042-12-31,39688220,0.51
2043-12-31,39880624,0.48
2044-12-31,40066400,0.47
2045-12-31,40244776,0.45
2046-12-31,40415981,0.43
2047-12-31,40580199,0.41
2048-12-31,40737582,0.39
2049-12-31,40888501,0.37
2050-12-31,41032433,0.35
2051-12-31,41168897,0.33
2052-12-31,41297797,0.31
2053-12-31,41419071,0.29
2054-12-31,41532745,0.27
2055-12-31,41639027,0.26
2056-12-31,41737197,0.24
2057-12-31,41826760,0.21
2058-12-31,41907596,0.19
2059-12-31,41979830,0.17
2060-12-31,42043514,0.15
2061-12-31,42098330,0.13
2062-12-31,42144488,0.11
2063-12-31,42181745,0.09
2064-12-31,42209656,0.07
2065-12-31,42228224,0.04
2066-12-31,42236994,0.02
2067-12-31,42236239,0
2068-12-31,42225923,-0.02
2069-12-31,42206041,-0.05
2070-12-31,42177549,-0.07
2071-12-31,42140738,-0.09
2072-12-31,42096945,-0.1
2073-12-31,42047036,-0.12
2074-12-31,41990028,-0.14
2075-12-31,41925664,-0.15
2076-12-31,41855016,-0.17
2077-12-31,41779488,-0.18
2078-12-31,41699189,-0.19
2079-12-31,41614787,-0.2
2080-12-31,41526445,-0.21
2081-12-31,41434429,-0.22
2082-12-31,41340441,-0.23
2083-12-31,41245149,-0.23
2084-12-31,41147392,-0.24
2085-12-31,41047236,-0.24
2086-12-31,40946336,-0.25
2087-12-31,40844603,-0.25
2088-12-31,40741276,-0.25
2089-12-31,40636611,-0.26
2090-12-31,40532012,-0.26
2091-12-31,40427562,-0.26
2092-12-31,40322097,-0.26
2093-12-31,40216195,-0.26
2094-12-31,40111111,-0.26
2095-12-31,40006088,-0.26
2096-12-31,39900120,-0.26
2097-12-31,39793499,-0.27
2098-12-31,39687007,-0.27
2099-12-31,39580829,-0.27
2100-12-31,39474474,-0.27
