Macrotrends Data Download

Maldives Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,74484
1951-12-31,75816,1.79
1952-12-31,77211,1.84
1953-12-31,78659,1.88
1954-12-31,80193,1.95
1955-12-31,81823,2.03
1956-12-31,83559,2.12
1957-12-31,85417,2.22
1958-12-31,87387,2.31
1959-12-31,89459,2.37
1960-12-31,91650,2.45
1961-12-31,93952,2.51
1962-12-31,96332,2.53
1963-12-31,98775,2.54
1964-12-31,101241,2.5
1965-12-31,104566,3.28
1966-12-31,108713,3.97
1967-12-31,112547,3.53
1968-12-31,116049,3.11
1969-12-31,119569,3.03
1970-12-31,123243,3.07
1971-12-31,127066,3.1
1972-12-31,130990,3.09
1973-12-31,134940,3.02
1974-12-31,138944,2.97
1975-12-31,143126,3.01
1976-12-31,147468,3.03
1977-12-31,151792,2.93
1978-12-31,156025,2.79
1979-12-31,160326,2.76
1980-12-31,164887,2.84
1981-12-31,169663,2.9
1982-12-31,174523,2.86
1983-12-31,179339,2.76
1984-12-31,184388,2.82
1985-12-31,190383,3.25
1986-12-31,197225,3.59
1987-12-31,204256,3.56
1988-12-31,211160,3.38
1989-12-31,217937,3.21
1990-12-31,224957,3.22
1991-12-31,232150,3.2
1992-12-31,239136,3.01
1993-12-31,245845,2.81
1994-12-31,252201,2.59
1995-12-31,258208,2.38
1996-12-31,263841,2.18
1997-12-31,269040,1.97
1998-12-31,273796,1.77
1999-12-31,278111,1.58
2000-12-31,282507,1.58
2001-12-31,287324,1.71
2002-12-31,292284,1.73
2003-12-31,297226,1.69
2004-12-31,302135,1.65
2005-12-31,307018,1.62
2006-12-31,314401,2.4
2007-12-31,325126,3.41
2008-12-31,336883,3.62
2009-12-31,349037,3.61
2010-12-31,361575,3.59
2011-12-31,374440,3.56
2012-12-31,387539,3.5
2013-12-31,400728,3.4
2014-12-31,416738,4
2015-12-31,435582,4.52
2016-12-31,454252,4.29
2017-12-31,472442,4
2018-12-31,489758,3.67
2019-12-31,504508,3.01
2020-12-31,514438,1.97
2021-12-31,521457,1.36
2022-12-31,523787,0.45
2023-12-31,521021,-0.53
2024-12-31,517887,-0.6
2025-12-31,515223,-0.51
2026-12-31,513362,-0.36
2027-12-31,512284,-0.21
2028-12-31,511718,-0.11
2029-12-31,511725,0
2030-12-31,512683,0.19
2031-12-31,514714,0.4
2032-12-31,517587,0.56
2033-12-31,520779,0.62
2034-12-31,523920,0.6
2035-12-31,526981,0.58
2036-12-31,529986,0.57
2037-12-31,532965,0.56
2038-12-31,535943,0.56
2039-12-31,538923,0.56
2040-12-31,541917,0.56
2041-12-31,544920,0.55
2042-12-31,547913,0.55
2043-12-31,550899,0.54
2044-12-31,553876,0.54
2045-12-31,556821,0.53
2046-12-31,559692,0.52
2047-12-31,562457,0.49
2048-12-31,565094,0.47
2049-12-31,567593,0.44
2050-12-31,569909,0.41
2051-12-31,572011,0.37
2052-12-31,573870,0.32
2053-12-31,575462,0.28
2054-12-31,576766,0.23
2055-12-31,577761,0.17
2056-12-31,578462,0.12
2057-12-31,578857,0.07
2058-12-31,578942,0.01
2059-12-31,578717,-0.04
2060-12-31,578184,-0.09
2061-12-31,577365,-0.14
2062-12-31,576271,-0.19
2063-12-31,574889,-0.24
2064-12-31,573237,-0.29
2065-12-31,571356,-0.33
2066-12-31,569249,-0.37
2067-12-31,566929,-0.41
2068-12-31,564418,-0.44
2069-12-31,561735,-0.48
2070-12-31,558896,-0.51
2071-12-31,555898,-0.54
2072-12-31,552756,-0.57
2073-12-31,549506,-0.59
2074-12-31,546163,-0.61
2075-12-31,542722,-0.63
2076-12-31,539198,-0.65
2077-12-31,535603,-0.67
2078-12-31,531947,-0.68
2079-12-31,528254,-0.69
2080-12-31,524540,-0.7
2081-12-31,520833,-0.71
2082-12-31,517152,-0.71
2083-12-31,513499,-0.71
2084-12-31,509901,-0.7
2085-12-31,506395,-0.69
2086-12-31,503002,-0.67
2087-12-31,499728,-0.65
2088-12-31,496594,-0.63
2089-12-31,493595,-0.6
2090-12-31,490755,-0.58
2091-12-31,488081,-0.54
2092-12-31,485558,-0.52
2093-12-31,483190,-0.49
2094-12-31,480954,-0.46
2095-12-31,478839,-0.44
2096-12-31,476818,-0.42
2097-12-31,474885,-0.41
2098-12-31,473031,-0.39
2099-12-31,471225,-0.38
2100-12-31,469441,-0.38
