Macrotrends Data Download

Myanmar Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,17731818
1951-12-31,18053722,1.82
1952-12-31,18391995,1.87
1953-12-31,18749629,1.94
1954-12-31,19126425,2.01
1955-12-31,19522788,2.07
1956-12-31,19935514,2.11
1957-12-31,20363510,2.15
1958-12-31,20801170,2.15
1959-12-31,21252042,2.17
1960-12-31,21720697,2.21
1961-12-31,22203109,2.22
1962-12-31,22699703,2.24
1963-12-31,23210687,2.25
1964-12-31,23737818,2.27
1965-12-31,24286878,2.31
1966-12-31,24854704,2.34
1967-12-31,25440029,2.35
1968-12-31,26044111,2.37
1969-12-31,26659479,2.36
1970-12-31,27284112,2.34
1971-12-31,27914953,2.31
1972-12-31,28551949,2.28
1973-12-31,29165356,2.15
1974-12-31,29751936,2.01
1975-12-31,30344276,1.99
1976-12-31,30941375,1.97
1977-12-31,31554598,1.98
1978-12-31,32185601,2
1979-12-31,32821779,1.98
1980-12-31,33465781,1.96
1981-12-31,34110098,1.93
1982-12-31,34742586,1.85
1983-12-31,35424262,1.96
1984-12-31,36159838,2.08
1985-12-31,36881020,1.99
1986-12-31,37572340,1.87
1987-12-31,38233171,1.76
1988-12-31,38868270,1.66
1989-12-31,39489419,1.6
1990-12-31,40099553,1.55
1991-12-31,40680533,1.45
1992-12-31,41237813,1.37
1993-12-31,41788302,1.33
1994-12-31,42337109,1.31
1995-12-31,42880186,1.28
1996-12-31,43423369,1.27
1997-12-31,43972046,1.26
1998-12-31,44516185,1.24
1999-12-31,45041636,1.18
2000-12-31,45538332,1.1
2001-12-31,46014826,1.05
2002-12-31,46480230,1.01
2003-12-31,46924293,0.96
2004-12-31,47338446,0.88
2005-12-31,47724471,0.82
2006-12-31,48088274,0.76
2007-12-31,48445647,0.74
2008-12-31,48729486,0.59
2009-12-31,49015836,0.59
2010-12-31,49390988,0.77
2011-12-31,49794522,0.82
2012-12-31,50218185,0.85
2013-12-31,50648334,0.86
2014-12-31,51072436,0.84
2015-12-31,51483949,0.81
2016-12-31,51892349,0.79
2017-12-31,52288341,0.76
2018-12-31,52666014,0.72
2019-12-31,53040212,0.71
2020-12-31,53423198,0.72
2021-12-31,53798084,0.7
2022-12-31,54179306,0.71
2023-12-31,54577997,0.74
2024-12-31,54964694,0.71
2025-12-31,55336783,0.68
2026-12-31,55695986,0.65
2027-12-31,56041605,0.62
2028-12-31,56372008,0.59
2029-12-31,56687802,0.56
2030-12-31,56987625,0.53
2031-12-31,57270951,0.5
2032-12-31,57538458,0.47
2033-12-31,57790976,0.44
2034-12-31,58027255,0.41
2035-12-31,58247490,0.38
2036-12-31,58454929,0.36
2037-12-31,58646780,0.33
2038-12-31,58823107,0.3
2039-12-31,58985810,0.28
2040-12-31,59133816,0.25
2041-12-31,59267283,0.23
2042-12-31,59387605,0.2
2043-12-31,59496666,0.18
2044-12-31,59595599,0.17
2045-12-31,59682760,0.15
2046-12-31,59755787,0.12
2047-12-31,59817137,0.1
2048-12-31,59867490,0.08
2049-12-31,59904146,0.06
2050-12-31,59929399,0.04
2051-12-31,59944501,0.03
2052-12-31,59947164,0
2053-12-31,59939829,-0.01
2054-12-31,59923009,-0.03
2055-12-31,59894202,-0.05
2056-12-31,59854550,-0.07
2057-12-31,59806399,-0.08
2058-12-31,59748612,-0.1
2059-12-31,59681022,-0.11
2060-12-31,59606138,-0.13
2061-12-31,59523762,-0.14
2062-12-31,59432277,-0.15
2063-12-31,59330746,-0.17
2064-12-31,59221332,-0.18
2065-12-31,59105226,-0.2
2066-12-31,58983111,-0.21
2067-12-31,58855897,-0.22
2068-12-31,58721607,-0.23
2069-12-31,58579435,-0.24
2070-12-31,58432662,-0.25
2071-12-31,58281710,-0.26
2072-12-31,58125626,-0.27
2073-12-31,57965300,-0.28
2074-12-31,57799747,-0.29
2075-12-31,57629593,-0.29
2076-12-31,57455656,-0.3
2077-12-31,57277780,-0.31
2078-12-31,57095381,-0.32
2079-12-31,56909238,-0.33
2080-12-31,56721471,-0.33
2081-12-31,56531503,-0.33
2082-12-31,56337969,-0.34
2083-12-31,56141866,-0.35
2084-12-31,55943998,-0.35
2085-12-31,55742732,-0.36
2086-12-31,55536429,-0.37
2087-12-31,55327173,-0.38
2088-12-31,55115724,-0.38
2089-12-31,54901611,-0.39
2090-12-31,54685755,-0.39
2091-12-31,54467609,-0.4
2092-12-31,54247271,-0.4
2093-12-31,54024872,-0.41
2094-12-31,53800559,-0.42
2095-12-31,53574391,-0.42
2096-12-31,53346967,-0.42
2097-12-31,53117012,-0.43
2098-12-31,52884876,-0.44
2099-12-31,52651918,-0.44
2100-12-31,52417687,-0.44
