Macrotrends Data Download

Pakistan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,37696264
1951-12-31,38215785,1.38
1952-12-31,38816777,1.57
1953-12-31,39488228,1.73
1954-12-31,40224090,1.86
1955-12-31,41023128,1.99
1956-12-31,41884995,2.1
1957-12-31,42808511,2.2
1958-12-31,43794993,2.3
1959-12-31,44843639,2.39
1960-12-31,45954226,2.48
1961-12-31,47060915,2.41
1962-12-31,48161841,2.34
1963-12-31,49325050,2.42
1964-12-31,50552592,2.49
1965-12-31,51841626,2.55
1966-12-31,53199414,2.62
1967-12-31,54629793,2.69
1968-12-31,56124743,2.74
1969-12-31,57676805,2.77
1970-12-31,59290872,2.8
1971-12-31,60878781,2.68
1972-12-31,62509565,2.68
1973-12-31,64285624,2.84
1974-12-31,66149169,2.9
1975-12-31,68126999,2.99
1976-12-31,70230923,3.09
1977-12-31,72451105,3.16
1978-12-31,74789330,3.23
1979-12-31,77407341,3.5
1980-12-31,80624057,4.16
1981-12-31,84270202,4.52
1982-12-31,87828198,4.22
1983-12-31,91080372,3.7
1984-12-31,94003867,3.21
1985-12-31,97121552,3.32
1986-12-31,100618523,3.6
1987-12-31,104251093,3.61
1988-12-31,107967838,3.57
1989-12-31,111670386,3.43
1990-12-31,115414069,3.35
1991-12-31,119203569,3.28
1992-12-31,122375179,2.66
1993-12-31,125546615,2.59
1994-12-31,129245139,2.95
1995-12-31,133117476,3
1996-12-31,137234810,3.09
1997-12-31,141330267,2.98
1998-12-31,145476106,2.93
1999-12-31,149694462,2.9
2000-12-31,154369924,3.12
2001-12-31,159217727,3.14
2002-12-31,163262807,2.54
2003-12-31,166876680,2.21
2004-12-31,170648620,2.26
2005-12-31,174372098,2.18
2006-12-31,178069984,2.12
2007-12-31,181924521,2.16
2008-12-31,185931955,2.2
2009-12-31,190123222,2.25
2010-12-31,194454498,2.28
2011-12-31,198602738,2.13
2012-12-31,202205861,1.81
2013-12-31,205337562,1.55
2014-12-31,208251628,1.42
2015-12-31,210969298,1.3
2016-12-31,213524840,1.21
2017-12-31,216379655,1.34
2018-12-31,219731479,1.55
2019-12-31,223293280,1.62
2020-12-31,227196741,1.75
2021-12-31,231402117,1.85
2022-12-31,235824862,1.91
2023-12-31,240485658,1.98
2024-12-31,245209815,1.96
2025-12-31,249948885,1.93
2026-12-31,254714473,1.91
2027-12-31,259516159,1.89
2028-12-31,264344407,1.86
2029-12-31,269181864,1.83
2030-12-31,274029836,1.8
2031-12-31,278894997,1.78
2032-12-31,283775146,1.75
2033-12-31,288660900,1.72
2034-12-31,293546480,1.69
2035-12-31,298432780,1.66
2036-12-31,303322829,1.64
2037-12-31,308188654,1.6
2038-12-31,313022074,1.57
2039-12-31,317831136,1.54
2040-12-31,322595767,1.5
2041-12-31,327302028,1.46
2042-12-31,331973561,1.43
2043-12-31,336630727,1.4
2044-12-31,341250506,1.37
2045-12-31,345818945,1.34
2046-12-31,350343720,1.31
2047-12-31,354810480,1.27
2048-12-31,359208126,1.24
2049-12-31,363535502,1.2
2050-12-31,367808468,1.18
2051-12-31,372047758,1.15
2052-12-31,376240378,1.13
2053-12-31,380369492,1.1
2054-12-31,384441394,1.07
2055-12-31,388462358,1.05
2056-12-31,392424047,1.02
2057-12-31,396323426,0.99
2058-12-31,400165534,0.97
2059-12-31,403952083,0.95
2060-12-31,407672068,0.92
2061-12-31,411316839,0.89
2062-12-31,414873818,0.86
2063-12-31,418365296,0.84
2064-12-31,421784888,0.82
2065-12-31,425116124,0.79
2066-12-31,428361004,0.76
2067-12-31,431506667,0.73
2068-12-31,434559400,0.71
2069-12-31,437521943,0.68
2070-12-31,440386840,0.65
2071-12-31,443150985,0.63
2072-12-31,445824063,0.6
2073-12-31,448403975,0.58
2074-12-31,450880744,0.55
2075-12-31,453262112,0.53
2076-12-31,455561479,0.51
2077-12-31,457758742,0.48
2078-12-31,459850287,0.46
2079-12-31,461858842,0.44
2080-12-31,463780198,0.42
2081-12-31,465610271,0.39
2082-12-31,467366183,0.38
2083-12-31,469050161,0.36
2084-12-31,470657541,0.34
2085-12-31,472183772,0.32
2086-12-31,473629704,0.31
2087-12-31,475015709,0.29
2088-12-31,476352851,0.28
2089-12-31,477624436,0.27
2090-12-31,478822764,0.25
2091-12-31,479951187,0.24
2092-12-31,481003034,0.22
2093-12-31,481981546,0.2
2094-12-31,482893235,0.19
2095-12-31,483738203,0.17
2096-12-31,484519107,0.16
2097-12-31,485241978,0.15
2098-12-31,485893422,0.13
2099-12-31,486485530,0.12
2100-12-31,487017405,0.11
