Macrotrends Data Download

Qatar Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,24288
1951-12-31,25093,3.31
1952-12-31,25934,3.35
1953-12-31,26798,3.33
1954-12-31,27705,3.38
1955-12-31,28668,3.48
1956-12-31,29712,3.64
1957-12-31,30880,3.93
1958-12-31,32246,4.42
1959-12-31,33973,5.36
1960-12-31,36385,7.1
1961-12-31,40111,10.24
1962-12-31,45123,12.5
1963-12-31,50950,12.91
1964-12-31,57531,12.92
1965-12-31,64843,12.71
1966-12-31,73102,12.74
1967-12-31,82517,12.88
1968-12-31,93022,12.73
1969-12-31,104517,12.36
1970-12-31,118007,12.91
1971-12-31,133096,12.79
1972-12-31,148338,11.45
1973-12-31,163734,10.38
1974-12-31,179299,9.51
1975-12-31,195043,8.78
1976-12-31,210990,8.18
1977-12-31,227177,7.67
1978-12-31,243624,7.24
1979-12-31,260368,6.87
1980-12-31,277450,6.56
1981-12-31,294887,6.28
1982-12-31,312608,6.01
1983-12-31,330454,5.71
1984-12-31,348241,5.38
1985-12-31,365868,5.06
1986-12-31,382328,4.5
1987-12-31,397391,3.94
1988-12-31,412142,3.71
1989-12-31,426896,3.58
1990-12-31,441675,3.46
1991-12-31,456486,3.35
1992-12-31,471293,3.24
1993-12-31,486041,3.13
1994-12-31,500683,3.01
1995-12-31,515133,2.89
1996-12-31,529265,2.74
1997-12-31,550591,4.03
1998-12-31,580997,5.52
1999-12-31,613302,5.56
2000-12-31,645937,5.32
2001-12-31,678831,5.09
2002-12-31,713186,5.06
2003-12-31,748525,4.96
2004-12-31,777943,3.93
2005-12-31,848710,9.1
2006-12-31,1015060,19.6
2007-12-31,1231893,21.36
2008-12-31,1444277,17.24
2009-12-31,1610274,11.49
2010-12-31,1713504,6.41
2011-12-31,1804171,5.29
2012-12-31,1905660,5.63
2013-12-31,2035501,6.81
2014-12-31,2214465,8.79
2015-12-31,2414573,9.04
2016-12-31,2595166,7.48
2017-12-31,2711755,4.49
2018-12-31,2766732,2.03
2019-12-31,2807235,1.46
2020-12-31,2760385,-1.67
2021-12-31,2688235,-2.61
2022-12-31,2695122,0.26
2023-12-31,2716391,0.79
2024-12-31,2737061,0.76
2025-12-31,2757220,0.74
2026-12-31,2776990,0.72
2027-12-31,2796538,0.7
2028-12-31,2816020,0.7
2029-12-31,2835555,0.69
2030-12-31,2855291,0.7
2031-12-31,2875390,0.7
2032-12-31,2896022,0.72
2033-12-31,2917304,0.73
2034-12-31,2939367,0.76
2035-12-31,2962241,0.78
2036-12-31,2985916,0.8
2037-12-31,3010424,0.82
2038-12-31,3035693,0.84
2039-12-31,3061640,0.85
2040-12-31,3088149,0.87
2041-12-31,3115115,0.87
2042-12-31,3142502,0.88
2043-12-31,3170142,0.88
2044-12-31,3197862,0.87
2045-12-31,3225544,0.87
2046-12-31,3253042,0.85
2047-12-31,3280240,0.84
2048-12-31,3306947,0.81
2049-12-31,3333052,0.79
2050-12-31,3358454,0.76
2051-12-31,3383160,0.74
2052-12-31,3407143,0.71
2053-12-31,3430289,0.68
2054-12-31,3452648,0.65
2055-12-31,3474253,0.63
2056-12-31,3495046,0.6
2057-12-31,3515031,0.57
2058-12-31,3534369,0.55
2059-12-31,3553081,0.53
2060-12-31,3571133,0.51
2061-12-31,3588690,0.49
2062-12-31,3605887,0.48
2063-12-31,3622689,0.47
2064-12-31,3639149,0.45
2065-12-31,3655407,0.45
2066-12-31,3671484,0.44
2067-12-31,3687314,0.43
2068-12-31,3702977,0.42
2069-12-31,3718617,0.42
2070-12-31,3734300,0.42
2071-12-31,3750046,0.42
2072-12-31,3765838,0.42
2073-12-31,3781771,0.42
2074-12-31,3797910,0.43
2075-12-31,3814244,0.43
2076-12-31,3830793,0.43
2077-12-31,3847552,0.44
2078-12-31,3864556,0.44
2079-12-31,3881973,0.45
2080-12-31,3899916,0.46
2081-12-31,3918389,0.47
2082-12-31,3937494,0.49
2083-12-31,3957278,0.5
2084-12-31,3977691,0.52
2085-12-31,3998784,0.53
2086-12-31,4020577,0.54
2087-12-31,4043148,0.56
2088-12-31,4066555,0.58
2089-12-31,4090700,0.59
2090-12-31,4115422,0.6
2091-12-31,4140623,0.61
2092-12-31,4166350,0.62
2093-12-31,4192499,0.63
2094-12-31,4218902,0.63
2095-12-31,4245574,0.63
2096-12-31,4272386,0.63
2097-12-31,4299284,0.63
2098-12-31,4326111,0.62
2099-12-31,4352780,0.62
2100-12-31,4379295,0.61
