Macrotrends Data Download

Saudi Arabia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,3089693
1951-12-31,3183582,3.04
1952-12-31,3279345,3.01
1953-12-31,3377019,2.98
1954-12-31,3477534,2.98
1955-12-31,3581910,3
1956-12-31,3690028,3.02
1957-12-31,3802027,3.04
1958-12-31,3916797,3.02
1959-12-31,4036568,3.06
1960-12-31,4165563,3.2
1961-12-31,4306048,3.37
1962-12-31,4458516,3.54
1963-12-31,4621655,3.66
1964-12-31,4795130,3.75
1965-12-31,4978922,3.83
1966-12-31,5173237,3.9
1967-12-31,5381026,4.02
1968-12-31,5604582,4.15
1969-12-31,5844843,4.29
1970-12-31,6106191,4.47
1971-12-31,6396658,4.76
1972-12-31,6724260,5.12
1973-12-31,7088758,5.42
1974-12-31,7483506,5.57
1975-12-31,7897544,5.53
1976-12-31,8319556,5.34
1977-12-31,8755219,5.24
1978-12-31,9210564,5.2
1979-12-31,9682002,5.12
1980-12-31,10171710,5.06
1981-12-31,10678211,4.98
1982-12-31,11201154,4.9
1983-12-31,11746020,4.86
1984-12-31,12310361,4.8
1985-12-31,12890245,4.71
1986-12-31,13483349,4.6
1987-12-31,14089798,4.5
1988-12-31,14713715,4.43
1989-12-31,15353227,4.35
1990-12-31,16004763,4.24
1991-12-31,16654276,4.06
1992-12-31,17281350,3.77
1993-12-31,17846461,3.27
1994-12-31,18367528,2.92
1995-12-31,18888857,2.84
1996-12-31,19410280,2.76
1997-12-31,19938377,2.72
1998-12-31,20472580,2.68
1999-12-31,21009660,2.62
2000-12-31,21547390,2.56
2001-12-31,22085929,2.5
2002-12-31,22623415,2.43
2003-12-31,23150847,2.33
2004-12-31,23661808,2.21
2005-12-31,24397644,3.11
2006-12-31,25382870,4.04
2007-12-31,26400068,4.01
2008-12-31,27437353,3.93
2009-12-31,28483797,3.81
2010-12-31,29411929,3.26
2011-12-31,30150945,2.51
2012-12-31,30821543,2.22
2013-12-31,31482498,2.14
2014-12-31,32125564,2.04
2015-12-31,32749848,1.94
2016-12-31,33416270,2.03
2017-12-31,34193122,2.32
2018-12-31,35018133,2.41
2019-12-31,35827362,2.31
2020-12-31,35997107,0.47
2021-12-31,35950396,-0.13
2022-12-31,36408820,1.28
2023-12-31,36947025,1.48
2024-12-31,37473929,1.43
2025-12-31,37989969,1.38
2026-12-31,38494876,1.33
2027-12-31,38995485,1.3
2028-12-31,39492450,1.27
2029-12-31,39980836,1.24
2030-12-31,40461368,1.2
2031-12-31,40933778,1.17
2032-12-31,41399264,1.14
2033-12-31,41858423,1.11
2034-12-31,42310341,1.08
2035-12-31,42755976,1.05
2036-12-31,43195155,1.03
2037-12-31,43627940,1
2038-12-31,44053187,0.97
2039-12-31,44470702,0.95
2040-12-31,44881078,0.92
2041-12-31,45282942,0.9
2042-12-31,45674812,0.87
2043-12-31,46056082,0.83
2044-12-31,46426615,0.8
2045-12-31,46785937,0.77
2046-12-31,47133219,0.74
2047-12-31,47466783,0.71
2048-12-31,47785458,0.67
2049-12-31,48088523,0.63
2050-12-31,48374543,0.59
2051-12-31,48642389,0.55
2052-12-31,48891469,0.51
2053-12-31,49122929,0.47
2054-12-31,49336893,0.44
2055-12-31,49531550,0.39
2056-12-31,49708171,0.36
2057-12-31,49868601,0.32
2058-12-31,50013541,0.29
2059-12-31,50140791,0.25
2060-12-31,50249836,0.22
2061-12-31,50343003,0.19
2062-12-31,50422016,0.16
2063-12-31,50487779,0.13
2064-12-31,50541365,0.11
2065-12-31,50583300,0.08
2066-12-31,50614880,0.06
2067-12-31,50638575,0.05
2068-12-31,50654753,0.03
2069-12-31,50665461,0.02
2070-12-31,50673182,0.02
2071-12-31,50677872,0.01
2072-12-31,50679888,0
2073-12-31,50681459,0
2074-12-31,50683063,0
2075-12-31,50684122,0
2076-12-31,50684936,0
2077-12-31,50685863,0
2078-12-31,50688621,0.01
2079-12-31,50692429,0.01
2080-12-31,50697229,0.01
2081-12-31,50704440,0.01
2082-12-31,50712307,0.02
2083-12-31,50719843,0.01
2084-12-31,50727154,0.01
2085-12-31,50734504,0.01
2086-12-31,50741010,0.01
2087-12-31,50745821,0.01
2088-12-31,50748245,0
2089-12-31,50747777,0
2090-12-31,50744332,-0.01
2091-12-31,50737088,-0.01
2092-12-31,50725599,-0.02
2093-12-31,50709995,-0.03
2094-12-31,50690557,-0.04
2095-12-31,50667025,-0.05
2096-12-31,50638846,-0.06
2097-12-31,50604703,-0.07
2098-12-31,50564772,-0.08
2099-12-31,50519843,-0.09
2100-12-31,50468334,-0.1
