Macrotrends Data Download

South Korea Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,20104010
1951-12-31,20116892,0.06
1952-12-31,20393370,1.37
1953-12-31,20862396,2.3
1954-12-31,21432886,2.73
1955-12-31,22075008,3
1956-12-31,22763457,3.12
1957-12-31,23494049,3.21
1958-12-31,24256851,3.25
1959-12-31,25036097,3.21
1960-12-31,25817529,3.12
1961-12-31,26552225,2.85
1962-12-31,27234470,2.57
1963-12-31,27905873,2.47
1964-12-31,28555856,2.33
1965-12-31,29179407,2.18
1966-12-31,29838219,2.26
1967-12-31,30540596,2.35
1968-12-31,31229630,2.26
1969-12-31,31912015,2.19
1970-12-31,32601143,2.16
1971-12-31,33288369,2.11
1972-12-31,33976851,2.07
1973-12-31,34659713,2.01
1974-12-31,35319338,1.9
1975-12-31,35930694,1.73
1976-12-31,36456320,1.46
1977-12-31,36911298,1.25
1978-12-31,37329984,1.13
1979-12-31,37737918,1.09
1980-12-31,38170501,1.15
1981-12-31,38731905,1.47
1982-12-31,39403422,1.73
1983-12-31,40053748,1.65
1984-12-31,40664361,1.52
1985-12-31,41232709,1.4
1986-12-31,41808708,1.4
1987-12-31,42405253,1.43
1988-12-31,42988455,1.38
1989-12-31,43567512,1.35
1990-12-31,44120039,1.27
1991-12-31,44487412,0.83
1992-12-31,44703709,0.49
1993-12-31,44932861,0.51
1994-12-31,45165780,0.52
1995-12-31,45393418,0.5
1996-12-31,45660168,0.59
1997-12-31,45962393,0.66
1998-12-31,46250259,0.63
1999-12-31,46520444,0.58
2000-12-31,46788591,0.58
2001-12-31,47064790,0.59
2002-12-31,47320668,0.54
2003-12-31,47539738,0.46
2004-12-31,47727285,0.39
2005-12-31,47889573,0.34
2006-12-31,48049347,0.33
2007-12-31,48220601,0.36
2008-12-31,48398626,0.37
2009-12-31,48588019,0.39
2010-12-31,48813042,0.46
2011-12-31,49169878,0.73
2012-12-31,49634185,0.94
2013-12-31,50098229,0.93
2014-12-31,50558043,0.92
2015-12-31,50994401,0.86
2016-12-31,51309984,0.62
2017-12-31,51511639,0.39
2018-12-31,51676900,0.32
2019-12-31,51803829,0.25
2020-12-31,51844690,0.08
2021-12-31,51830139,-0.03
2022-12-31,51815810,-0.03
2023-12-31,51784059,-0.06
2024-12-31,51741963,-0.08
2025-12-31,51690479,-0.1
2026-12-31,51630817,-0.12
2027-12-31,51561768,-0.13
2028-12-31,51482230,-0.15
2029-12-31,51392505,-0.17
2030-12-31,51290214,-0.2
2031-12-31,51173200,-0.23
2032-12-31,51040363,-0.26
2033-12-31,50890473,-0.29
2034-12-31,50721724,-0.33
2035-12-31,50532567,-0.37
2036-12-31,50324119,-0.41
2037-12-31,50097849,-0.45
2038-12-31,49854467,-0.49
2039-12-31,49594904,-0.52
2040-12-31,49319974,-0.55
2041-12-31,49030283,-0.59
2042-12-31,48727532,-0.62
2043-12-31,48412166,-0.65
2044-12-31,48082601,-0.68
2045-12-31,47738573,-0.72
2046-12-31,47379594,-0.75
2047-12-31,47004124,-0.79
2048-12-31,46610891,-0.84
2049-12-31,46199541,-0.88
2050-12-31,45770874,-0.93
2051-12-31,45326220,-0.97
2052-12-31,44867510,-1.01
2053-12-31,44395474,-1.05
2054-12-31,43911285,-1.09
2055-12-31,43417493,-1.12
2056-12-31,42916240,-1.15
2057-12-31,42410033,-1.18
2058-12-31,41900604,-1.2
2059-12-31,41388859,-1.22
2060-12-31,40877006,-1.24
2061-12-31,40367312,-1.25
2062-12-31,39860020,-1.26
2063-12-31,39355368,-1.27
2064-12-31,38853435,-1.28
2065-12-31,38354346,-1.28
2066-12-31,37858378,-1.29
2067-12-31,37365875,-1.3
2068-12-31,36877691,-1.31
2069-12-31,36394147,-1.31
2070-12-31,35914652,-1.32
2071-12-31,35439357,-1.32
2072-12-31,34969593,-1.33
2073-12-31,34505456,-1.33
2074-12-31,34046974,-1.33
2075-12-31,33594161,-1.33
2076-12-31,33146634,-1.33
2077-12-31,32704324,-1.33
2078-12-31,32267388,-1.34
2079-12-31,31835481,-1.34
2080-12-31,31408278,-1.34
2081-12-31,30986290,-1.34
2082-12-31,30569730,-1.34
2083-12-31,30157775,-1.35
2084-12-31,29750352,-1.35
2085-12-31,29347263,-1.35
2086-12-31,28948532,-1.36
2087-12-31,28554468,-1.36
2088-12-31,28164879,-1.36
2089-12-31,27780463,-1.36
2090-12-31,27402411,-1.36
2091-12-31,27031192,-1.35
2092-12-31,26667488,-1.35
2093-12-31,26312671,-1.33
2094-12-31,25967032,-1.31
2095-12-31,25631307,-1.29
2096-12-31,25305887,-1.27
2097-12-31,24990390,-1.25
2098-12-31,24684886,-1.22
2099-12-31,24389144,-1.2
2100-12-31,24102932,-1.17
