Macrotrends Data Download

Sri Lanka Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,7945977
1951-12-31,8091461,1.83
1952-12-31,8245475,1.9
1953-12-31,8406910,1.96
1954-12-31,8575075,2
1955-12-31,8749627,2.04
1956-12-31,8931095,2.07
1957-12-31,9122978,2.15
1958-12-31,9329666,2.27
1959-12-31,9551293,2.38
1960-12-31,9783871,2.44
1961-12-31,10022888,2.44
1962-12-31,10267067,2.44
1963-12-31,10517531,2.44
1964-12-31,10774086,2.44
1965-12-31,11035224,2.42
1966-12-31,11299721,2.4
1967-12-31,11571008,2.4
1968-12-31,11846815,2.38
1969-12-31,12119207,2.3
1970-12-31,12388769,2.22
1971-12-31,12654651,2.15
1972-12-31,12914457,2.05
1973-12-31,13169737,1.98
1974-12-31,13418276,1.89
1975-12-31,13662873,1.82
1976-12-31,13910170,1.81
1977-12-31,14159052,1.79
1978-12-31,14414816,1.81
1979-12-31,14680387,1.84
1980-12-31,14943645,1.79
1981-12-31,15198918,1.71
1982-12-31,15438753,1.58
1983-12-31,15658442,1.42
1984-12-31,15872577,1.37
1985-12-31,16092338,1.38
1986-12-31,16317995,1.4
1987-12-31,16547139,1.4
1988-12-31,16773736,1.37
1989-12-31,16990575,1.29
1990-12-31,17204094,1.26
1991-12-31,17416596,1.24
1992-12-31,17624457,1.19
1993-12-31,17825611,1.14
1994-12-31,18011744,1.04
1995-12-31,18177572,0.92
1996-12-31,18322506,0.8
1997-12-31,18449123,0.69
1998-12-31,18560798,0.61
1999-12-31,18670411,0.59
2000-12-31,18776371,0.57
2001-12-31,18920275,0.77
2002-12-31,19110707,1.01
2003-12-31,19303180,1.01
2004-12-31,19490431,0.97
2005-12-31,19673866,0.94
2006-12-31,19870706,1
2007-12-31,20078655,1.05
2008-12-31,20285643,1.03
2009-12-31,20482477,0.97
2010-12-31,20668557,0.91
2011-12-31,20859743,0.93
2012-12-31,21017147,0.75
2013-12-31,21131756,0.55
2014-12-31,21239457,0.51
2015-12-31,21336697,0.46
2016-12-31,21425494,0.42
2017-12-31,21506813,0.38
2018-12-31,21580710,0.34
2019-12-31,21649664,0.32
2020-12-31,21715079,0.3
2021-12-31,21773441,0.27
2022-12-31,21832143,0.27
2023-12-31,21893579,0.28
2024-12-31,21949268,0.25
2025-12-31,22000246,0.23
2026-12-31,22046386,0.21
2027-12-31,22087510,0.19
2028-12-31,22124288,0.17
2029-12-31,22157456,0.15
2030-12-31,22186970,0.13
2031-12-31,22212436,0.11
2032-12-31,22234271,0.1
2033-12-31,22252909,0.08
2034-12-31,22268031,0.07
2035-12-31,22278745,0.05
2036-12-31,22285234,0.03
2037-12-31,22287571,0.01
2038-12-31,22285269,-0.01
2039-12-31,22277488,-0.03
2040-12-31,22263893,-0.06
2041-12-31,22244994,-0.08
2042-12-31,22220535,-0.11
2043-12-31,22190606,-0.13
2044-12-31,22154591,-0.16
2045-12-31,22112321,-0.19
2046-12-31,22064179,-0.22
2047-12-31,22009917,-0.25
2048-12-31,21950180,-0.27
2049-12-31,21885412,-0.3
2050-12-31,21814985,-0.32
2051-12-31,21739207,-0.35
2052-12-31,21658999,-0.37
2053-12-31,21574573,-0.39
2054-12-31,21486263,-0.41
2055-12-31,21394260,-0.43
2056-12-31,21298669,-0.45
2057-12-31,21200047,-0.46
2058-12-31,21099207,-0.48
2059-12-31,20995891,-0.49
2060-12-31,20889752,-0.51
2061-12-31,20781245,-0.52
2062-12-31,20670566,-0.53
2063-12-31,20557583,-0.55
2064-12-31,20441963,-0.56
2065-12-31,20323834,-0.58
2066-12-31,20203022,-0.59
2067-12-31,20079331,-0.61
2068-12-31,19953220,-0.63
2069-12-31,19824960,-0.64
2070-12-31,19694118,-0.66
2071-12-31,19560333,-0.68
2072-12-31,19424029,-0.7
2073-12-31,19285397,-0.71
2074-12-31,19144097,-0.73
2075-12-31,18999945,-0.75
2076-12-31,18853179,-0.77
2077-12-31,18703875,-0.79
2078-12-31,18551931,-0.81
2079-12-31,18397625,-0.83
2080-12-31,18241133,-0.85
2081-12-31,18082317,-0.87
2082-12-31,17921136,-0.89
2083-12-31,17757732,-0.91
2084-12-31,17592498,-0.93
2085-12-31,17425401,-0.95
2086-12-31,17256392,-0.97
2087-12-31,17085473,-0.99
2088-12-31,16912546,-1.01
2089-12-31,16737442,-1.04
2090-12-31,16560059,-1.06
2091-12-31,16380632,-1.08
2092-12-31,16199412,-1.11
2093-12-31,16016529,-1.13
2094-12-31,15831892,-1.15
2095-12-31,15645483,-1.18
2096-12-31,15457674,-1.2
2097-12-31,15268592,-1.22
2098-12-31,15078382,-1.25
2099-12-31,14887090,-1.27
2100-12-31,14694772,-1.29
