Macrotrends Data Download

Tajikistan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1526140
1951-12-31,1582466,3.69
1952-12-31,1637708,3.49
1953-12-31,1692876,3.37
1954-12-31,1748476,3.28
1955-12-31,1805209,3.24
1956-12-31,1863791,3.25
1957-12-31,1924945,3.28
1958-12-31,1989603,3.36
1959-12-31,2058891,3.48
1960-12-31,2131992,3.55
1961-12-31,2208026,3.57
1962-12-31,2287181,3.58
1963-12-31,2368868,3.57
1964-12-31,2452671,3.54
1965-12-31,2538295,3.49
1966-12-31,2625653,3.44
1967-12-31,2714959,3.4
1968-12-31,2806566,3.37
1969-12-31,2899854,3.32
1970-12-31,2993019,3.21
1971-12-31,3085961,3.11
1972-12-31,3180461,3.06
1973-12-31,3277487,3.05
1974-12-31,3377758,3.06
1975-12-31,3482125,3.09
1976-12-31,3590606,3.12
1977-12-31,3703010,3.13
1978-12-31,3818114,3.11
1979-12-31,3932682,3
1980-12-31,4045965,2.88
1981-12-31,4160745,2.84
1982-12-31,4278908,2.84
1983-12-31,4401502,2.87
1984-12-31,4529501,2.91
1985-12-31,4660598,2.89
1986-12-31,4798281,2.95
1987-12-31,4946293,3.08
1988-12-31,5100020,3.11
1989-12-31,5264332,3.22
1990-12-31,5417860,2.92
1991-12-31,5556306,2.56
1992-12-31,5656208,1.8
1993-12-31,5717806,1.09
1994-12-31,5803993,1.51
1995-12-31,5916173,1.93
1996-12-31,6035600,2.02
1997-12-31,6117069,1.35
1998-12-31,6156805,0.65
1999-12-31,6189565,0.53
2000-12-31,6272998,1.35
2001-12-31,6408810,2.17
2002-12-31,6541755,2.07
2003-12-31,6672492,2
2004-12-31,6801204,1.93
2005-12-31,6929145,1.88
2006-12-31,7057417,1.85
2007-12-31,7188391,1.86
2008-12-31,7324627,1.9
2009-12-31,7468596,1.97
2010-12-31,7621779,2.05
2011-12-31,7784819,2.14
2012-12-31,7956382,2.2
2013-12-31,8136610,2.27
2014-12-31,8326348,2.33
2015-12-31,8524063,2.37
2016-12-31,8725318,2.36
2017-12-31,8925525,2.29
2018-12-31,9128132,2.27
2019-12-31,9337003,2.29
2020-12-31,9543207,2.21
2021-12-31,9750064,2.17
2022-12-31,9952787,2.08
2023-12-31,10143543,1.92
2024-12-31,10331513,1.85
2025-12-31,10516940,1.79
2026-12-31,10699866,1.74
2027-12-31,10880747,1.69
2028-12-31,11060158,1.65
2029-12-31,11239983,1.63
2030-12-31,11421430,1.61
2031-12-31,11604659,1.6
2032-12-31,11790372,1.6
2033-12-31,11979029,1.6
2034-12-31,12170662,1.6
2035-12-31,12364586,1.59
2036-12-31,12560173,1.58
2037-12-31,12757794,1.57
2038-12-31,12956641,1.56
2039-12-31,13155611,1.54
2040-12-31,13354458,1.51
2041-12-31,13552075,1.48
2042-12-31,13747565,1.44
2043-12-31,13940358,1.4
2044-12-31,14130345,1.36
2045-12-31,14317447,1.32
2046-12-31,14501303,1.28
2047-12-31,14682375,1.25
2048-12-31,14859804,1.21
2049-12-31,15032352,1.16
2050-12-31,15200989,1.12
2051-12-31,15367372,1.09
2052-12-31,15531855,1.07
2053-12-31,15693676,1.04
2054-12-31,15853359,1.02
2055-12-31,16011785,1
2056-12-31,16169070,0.98
2057-12-31,16325692,0.97
2058-12-31,16481109,0.95
2059-12-31,16635341,0.94
2060-12-31,16788782,0.92
2061-12-31,16940261,0.9
2062-12-31,17089359,0.88
2063-12-31,17236234,0.86
2064-12-31,17380631,0.84
2065-12-31,17522186,0.81
2066-12-31,17660472,0.79
2067-12-31,17795216,0.76
2068-12-31,17925809,0.73
2069-12-31,18052171,0.7
2070-12-31,18175288,0.68
2071-12-31,18294451,0.66
2072-12-31,18409327,0.63
2073-12-31,18520406,0.6
2074-12-31,18627390,0.58
2075-12-31,18730900,0.56
2076-12-31,18831209,0.54
2077-12-31,18928740,0.52
2078-12-31,19023907,0.5
2079-12-31,19116611,0.49
2080-12-31,19206845,0.47
2081-12-31,19294340,0.46
2082-12-31,19378898,0.44
2083-12-31,19461013,0.42
2084-12-31,19541282,0.41
2085-12-31,19619162,0.4
2086-12-31,19694176,0.38
2087-12-31,19766202,0.37
2088-12-31,19835881,0.35
2089-12-31,19903008,0.34
2090-12-31,19966478,0.32
2091-12-31,20026353,0.3
2092-12-31,20082628,0.28
2093-12-31,20135255,0.26
2094-12-31,20184109,0.24
2095-12-31,20229059,0.22
2096-12-31,20270461,0.2
2097-12-31,20308139,0.19
2098-12-31,20341975,0.17
2099-12-31,20372301,0.15
2100-12-31,20398913,0.13
