Macrotrends Data Download

Timor-Leste Rural Population 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Rural Population, % of Total, Annual % Change
1960-12-31,426650,89.909
1961-12-31,433393,89.757,1.5681
1962-12-31,439906,89.489,1.4916
1963-12-31,446657,89.215,1.523
1964-12-31,453595,88.934,1.5414
1965-12-31,460677,88.647,1.5492
1966-12-31,467682,88.354,1.5091
1967-12-31,474528,88.054,1.4532
1968-12-31,481570,87.747,1.4731
1969-12-31,489298,87.434,1.592
1970-12-31,497913,87.114,1.7454
1971-12-31,507921,86.787,1.9901
1972-12-31,518872,86.452,2.1331
1973-12-31,528949,86.111,1.9235
1974-12-31,535642,85.763,1.2574
1975-12-31,537404,85.407,0.3284
1976-12-31,533443,85.044,-0.7398
1977-12-31,524824,84.674,-1.6289
1978-12-31,514246,84.296,-2.0361
1979-12-31,505449,83.911,-1.7255
1980-12-31,501024,83.517,-0.8793
1981-12-31,501891,83.117,0.1729
1982-12-31,507199,82.709,1.052
1983-12-31,515705,82.292,1.6631
1984-12-31,525466,81.868,1.8751
1985-12-31,535091,81.437,1.8151
1986-12-31,544095,80.997,1.6687
1987-12-31,552949,80.549,1.6142
1988-12-31,562102,80.093,1.6418
1989-12-31,572329,79.63,1.8031
1990-12-31,584039,79.158,2.0254
1991-12-31,598393,78.785,2.428
1992-12-31,614502,78.46,2.6564
1993-12-31,630429,78.133,2.5588
1994-12-31,644058,77.801,2.1388
1995-12-31,654071,77.466,1.5427
1996-12-31,659712,77.127,0.8587
1997-12-31,661787,76.785,0.314
1998-12-31,662362,76.439,0.0868
1999-12-31,664371,76.09,0.3028
2000-12-31,669792,75.737,0.8126
2001-12-31,679344,75.381,1.416
2002-12-31,692218,75.021,1.8773
2003-12-31,707084,74.657,2.1249
2004-12-31,722016,74.29,2.0898
2005-12-31,735988,73.959,1.9167
2006-12-31,748362,73.626,1.6673
2007-12-31,759579,73.291,1.4878
2008-12-31,769956,72.952,1.3569
2009-12-31,780050,72.611,1.3025
2010-12-31,790263,72.268,1.3008
2011-12-31,800591,71.921,1.2984
2012-12-31,810912,71.572,1.2809
2013-12-31,821383,71.221,1.283
2014-12-31,832215,70.867,1.3101
2015-12-31,843507,70.51,1.3477
2016-12-31,855331,70.15,1.392
2017-12-31,867646,69.788,1.4295
2018-12-31,880254,69.422,1.4427
2019-12-31,892938,69.053,1.4307
2020-12-31,905506,68.68,1.3977
2021-12-31,917934,68.305,1.3632
