Macrotrends Data Download

Timor-Leste Urban Population 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,47885,10.091
1961-12-31,49459,10.243,3.2342
1962-12-31,51669,10.511,4.3714
1963-12-31,53995,10.785,4.4033
1964-12-31,56440,11.066,4.4287
1965-12-31,58999,11.353,4.4342
1966-12-31,61646,11.646,4.3888
1967-12-31,64378,11.946,4.3364
1968-12-31,67247,12.253,4.36
1969-12-31,70322,12.566,4.4712
1970-12-31,73652,12.886,4.6267
1971-12-31,77329,13.213,4.8718
1972-12-31,81313,13.548,5.0237
1973-12-31,85315,13.889,4.8044
1974-12-31,88919,14.237,4.1376
1975-12-31,91823,14.593,3.2137
1976-12-31,93812,14.956,2.143
1977-12-31,94993,15.326,1.251
1978-12-31,95802,15.704,0.848
1979-12-31,96914,16.089,1.154
1980-12-31,98883,16.483,2.0113
1981-12-31,101946,16.883,3.0506
1982-12-31,106034,17.291,3.9317
1983-12-31,110972,17.708,4.5518
1984-12-31,116379,18.132,4.7574
1985-12-31,121970,18.563,4.6923
1986-12-31,127652,19.003,4.5533
1987-12-31,133526,19.451,4.4988
1988-12-31,139710,19.907,4.5273
1989-12-31,146407,20.37,4.6822
1990-12-31,153775,20.842,4.91
1991-12-31,161133,21.215,4.674
1992-12-31,168702,21.54,4.5904
1993-12-31,176438,21.867,4.4836
1994-12-31,183770,22.199,4.0715
1995-12-31,190262,22.534,3.4717
1996-12-31,195646,22.873,2.7905
1997-12-31,200083,23.215,2.2425
1998-12-31,204161,23.561,2.0177
1999-12-31,208767,23.91,2.231
2000-12-31,214574,24.263,2.7436
2001-12-31,221870,24.619,3.3437
2002-12-31,230481,24.979,3.8077
2003-12-31,240026,25.343,4.0579
2004-12-31,249873,25.71,4.0206
2005-12-31,259142,26.041,3.6423
2006-12-31,268075,26.374,3.3891
2007-12-31,276809,26.709,3.2061
2008-12-31,285472,27.048,3.0816
2009-12-31,294236,27.389,3.0238
2010-12-31,303254,27.732,3.0189
2011-12-31,312563,28.079,3.0235
2012-12-31,322090,28.428,3.0025
2013-12-31,331905,28.779,3.0018
2014-12-31,342118,29.133,3.0307
2015-12-31,352787,29.49,3.0709
2016-12-31,363958,29.85,3.1174
2017-12-31,375614,30.212,3.1524
2018-12-31,387721,30.578,3.1724
2019-12-31,400182,30.947,3.1633
2020-12-31,412936,31.32,3.1373
2021-12-31,425941,31.695,3.1008
