Macrotrends Data Download

Turkey Urban Population 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,8657908,31.515
1961-12-31,9025025,32.064,4.1528
1962-12-31,9398926,32.598,4.0594
1963-12-31,9785807,33.137,4.0338
1964-12-31,10186266,33.68,4.0107
1965-12-31,10601127,34.227,3.992
1966-12-31,11084950,34.949,4.4628
1967-12-31,11613806,35.759,4.6606
1968-12-31,12164217,36.577,4.6304
1969-12-31,12737057,37.401,4.6017
1970-12-31,13334603,38.234,4.5847
1971-12-31,13911389,38.945,4.2345
1972-12-31,14488558,39.6,4.0651
1973-12-31,15085610,40.258,4.0382
1974-12-31,15701118,40.92,3.9991
1975-12-31,16333837,41.586,3.9507
1976-12-31,16914581,42.087,3.4937
1977-12-31,17474312,42.508,3.2556
1978-12-31,18048185,42.931,3.2313
1979-12-31,18640067,43.355,3.2268
1980-12-31,19252681,43.78,3.2337
1981-12-31,20329813,45.189,5.4438
1982-12-31,21630562,46.997,6.2019
1983-12-31,22977502,48.812,6.0408
1984-12-31,24362123,50.634,5.8514
1985-12-31,25769763,52.448,5.6172
1986-12-31,27034326,53.93,4.7906
1987-12-31,28238885,55.261,4.3593
1988-12-31,29455663,56.587,4.2186
1989-12-31,30682115,57.899,4.0794
1990-12-31,31923298,59.203,3.9656
1991-12-31,32891195,59.976,2.9869
1992-12-31,33738147,60.518,2.5424
1993-12-31,34589982,61.055,2.4935
1994-12-31,35453796,61.59,2.4666
1995-12-31,36333539,62.123,2.4511
1996-12-31,37230466,62.653,2.4386
1997-12-31,38142787,63.179,2.4209
1998-12-31,39068836,63.703,2.3988
1999-12-31,40002831,64.223,2.3625
2000-12-31,40942335,64.741,2.3214
2001-12-31,41943212,65.34,2.4152
2002-12-31,42978998,65.974,2.4395
2003-12-31,44016864,66.602,2.3861
2004-12-31,45048098,67.225,2.3158
2005-12-31,46065708,67.84,2.2338
2006-12-31,47064036,68.45,2.144
2007-12-31,48048358,69.053,2.0699
2008-12-31,49047267,69.651,2.0577
2009-12-31,50096869,70.241,2.1174
2010-12-31,51225592,70.825,2.2281
2011-12-31,52439952,71.402,2.3429
2012-12-31,53729344,71.974,2.4291
2013-12-31,55069491,72.531,2.4637
2014-12-31,56436828,73.077,2.4526
2015-12-31,57806286,73.611,2.3976
2016-12-31,59179592,74.134,2.3479
2017-12-31,60548564,74.644,2.2869
2018-12-31,61872814,75.143,2.1635
2019-12-31,63097812,75.63,1.9605
2020-12-31,64186247,76.105,1.7103
2021-12-31,65116373,76.569,1.4387
