Macrotrends Data Download

Turkmenistan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1214096
1951-12-31,1237242,1.91
1952-12-31,1263426,2.12
1953-12-31,1293173,2.35
1954-12-31,1326518,2.58
1955-12-31,1363507,2.79
1956-12-31,1404216,2.99
1957-12-31,1448678,3.17
1958-12-31,1496703,3.32
1959-12-31,1547947,3.42
1960-12-31,1602052,3.5
1961-12-31,1658569,3.53
1962-12-31,1716868,3.52
1963-12-31,1776387,3.47
1964-12-31,1836621,3.39
1965-12-31,1897095,3.29
1966-12-31,1957557,3.19
1967-12-31,2018024,3.09
1968-12-31,2078581,3
1969-12-31,2139557,2.93
1970-12-31,2201432,2.89
1971-12-31,2264434,2.86
1972-12-31,2328374,2.82
1973-12-31,2393323,2.79
1974-12-31,2459325,2.76
1975-12-31,2525760,2.7
1976-12-31,2592280,2.63
1977-12-31,2659019,2.57
1978-12-31,2726327,2.53
1979-12-31,2794392,2.5
1980-12-31,2862903,2.45
1981-12-31,2932934,2.45
1982-12-31,3005972,2.49
1983-12-31,3082202,2.54
1984-12-31,3162165,2.59
1985-12-31,3246887,2.68
1986-12-31,3336773,2.77
1987-12-31,3430501,2.81
1988-12-31,3525110,2.76
1989-12-31,3621303,2.73
1990-12-31,3720278,2.73
1991-12-31,3821782,2.73
1992-12-31,3926369,2.74
1993-12-31,4031698,2.68
1994-12-31,4133037,2.51
1995-12-31,4226623,2.26
1996-12-31,4301093,1.76
1997-12-31,4363672,1.45
1998-12-31,4431517,1.55
1999-12-31,4501079,1.57
2000-12-31,4569132,1.51
2001-12-31,4635094,1.44
2002-12-31,4698968,1.38
2003-12-31,4758988,1.28
2004-12-31,4819792,1.28
2005-12-31,4885775,1.37
2006-12-31,4954029,1.4
2007-12-31,5024894,1.43
2008-12-31,5100083,1.5
2009-12-31,5180957,1.59
2010-12-31,5267970,1.68
2011-12-31,5360811,1.76
2012-12-31,5458682,1.83
2013-12-31,5560095,1.86
2014-12-31,5663152,1.85
2015-12-31,5766431,1.82
2016-12-31,5868561,1.77
2017-12-31,5968383,1.7
2018-12-31,6065066,1.62
2019-12-31,6158420,1.54
2020-12-31,6250438,1.49
2021-12-31,6341855,1.46
2022-12-31,6430770,1.4
2023-12-31,6516100,1.33
2024-12-31,6598071,1.26
2025-12-31,6676966,1.2
2026-12-31,6752978,1.14
2027-12-31,6826380,1.09
2028-12-31,6897471,1.04
2029-12-31,6966778,1
2030-12-31,7034758,0.98
2031-12-31,7101681,0.95
2032-12-31,7168235,0.94
2033-12-31,7234748,0.93
2034-12-31,7301217,0.92
2035-12-31,7367831,0.91
2036-12-31,7434587,0.91
2037-12-31,7501167,0.9
2038-12-31,7567351,0.88
2039-12-31,7632912,0.87
2040-12-31,7697615,0.85
2041-12-31,7761736,0.83
2042-12-31,7824940,0.81
2043-12-31,7886878,0.79
2044-12-31,7947372,0.77
2045-12-31,8005874,0.74
2046-12-31,8062292,0.7
2047-12-31,8116436,0.67
2048-12-31,8168136,0.64
2049-12-31,8217307,0.6
2050-12-31,8263833,0.57
2051-12-31,8308111,0.54
2052-12-31,8350156,0.51
2053-12-31,8389933,0.48
2054-12-31,8427613,0.45
2055-12-31,8463195,0.42
2056-12-31,8496989,0.4
2057-12-31,8529060,0.38
2058-12-31,8559383,0.36
2059-12-31,8588443,0.34
2060-12-31,8616197,0.32
2061-12-31,8642673,0.31
2062-12-31,8668180,0.3
2063-12-31,8692637,0.28
2064-12-31,8715909,0.27
2065-12-31,8738158,0.26
2066-12-31,8759675,0.25
2067-12-31,8780360,0.24
2068-12-31,8799874,0.22
2069-12-31,8818290,0.21
2070-12-31,8835657,0.2
2071-12-31,8851797,0.18
2072-12-31,8866915,0.17
2073-12-31,8881008,0.16
2074-12-31,8893837,0.14
2075-12-31,8905349,0.13
2076-12-31,8915570,0.11
2077-12-31,8924350,0.1
2078-12-31,8931539,0.08
2079-12-31,8937512,0.07
2080-12-31,8942502,0.06
2081-12-31,8946318,0.04
2082-12-31,8949012,0.03
2083-12-31,8950685,0.02
2084-12-31,8951096,0
2085-12-31,8950301,-0.01
2086-12-31,8948262,-0.02
2087-12-31,8945049,-0.04
2088-12-31,8940889,-0.05
2089-12-31,8935688,-0.06
2090-12-31,8929610,-0.07
2091-12-31,8922544,-0.08
2092-12-31,8914423,-0.09
2093-12-31,8905362,-0.1
2094-12-31,8895394,-0.11
2095-12-31,8884512,-0.12
2096-12-31,8872655,-0.13
2097-12-31,8859615,-0.15
2098-12-31,8845456,-0.16
2099-12-31,8830419,-0.17
2100-12-31,8814388,-0.18
