Macrotrends Data Download

Afghanistan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,7480461
1951-12-31,7571537,1.22
1952-12-31,7667533,1.27
1953-12-31,7764546,1.27
1954-12-31,7864285,1.28
1955-12-31,7971931,1.37
1956-12-31,8087727,1.45
1957-12-31,8210201,1.51
1958-12-31,8333826,1.51
1959-12-31,8468211,1.61
1960-12-31,8622466,1.82
1961-12-31,8790140,1.94
1962-12-31,8969047,2.04
1963-12-31,9157465,2.1
1964-12-31,9355514,2.16
1965-12-31,9565147,2.24
1966-12-31,9783147,2.28
1967-12-31,10010030,2.32
1968-12-31,10247780,2.38
1969-12-31,10494489,2.41
1970-12-31,10752971,2.46
1971-12-31,11015857,2.44
1972-12-31,11286753,2.46
1973-12-31,11575305,2.56
1974-12-31,11869879,2.54
1975-12-31,12157386,2.42
1976-12-31,12425267,2.2
1977-12-31,12687301,2.11
1978-12-31,12938862,1.98
1979-12-31,12986369,0.37
1980-12-31,12486631,-3.85
1981-12-31,11155195,-10.66
1982-12-31,10088289,-9.56
1983-12-31,9951449,-1.36
1984-12-31,10243686,2.94
1985-12-31,10512221,2.62
1986-12-31,10448442,-0.61
1987-12-31,10322758,-1.2
1988-12-31,10383460,0.59
1989-12-31,10673168,2.79
1990-12-31,10694796,0.2
1991-12-31,10745167,0.47
1992-12-31,12057433,12.21
1993-12-31,14003760,16.14
1994-12-31,15455555,10.37
1995-12-31,16418912,6.23
1996-12-31,17106595,4.19
1997-12-31,17788819,3.99
1998-12-31,18493132,3.96
1999-12-31,19262847,4.16
2000-12-31,19542982,1.45
2001-12-31,19688632,0.75
2002-12-31,21000256,6.66
2003-12-31,22645130,7.83
2004-12-31,23553551,4.01
2005-12-31,24411191,3.64
2006-12-31,25442944,4.23
2007-12-31,25903301,1.81
2008-12-31,26427199,2.02
2009-12-31,27385307,3.63
2010-12-31,28189672,2.94
2011-12-31,29249157,3.76
2012-12-31,30466479,4.16
2013-12-31,31541209,3.53
2014-12-31,32716210,3.73
2015-12-31,33753499,3.17
2016-12-31,34636207,2.62
2017-12-31,35643418,2.91
2018-12-31,36686784,2.93
2019-12-31,37769499,2.95
2020-12-31,38972230,3.18
2021-12-31,40099462,2.89
2022-12-31,41128771,2.57
2023-12-31,42239854,2.7
2024-12-31,43372950,2.68
2025-12-31,44515793,2.63
2026-12-31,45667550,2.59
2027-12-31,46827624,2.54
2028-12-31,47990912,2.48
2029-12-31,49158072,2.43
2030-12-31,50330837,2.39
2031-12-31,51506437,2.34
2032-12-31,52685458,2.29
2033-12-31,53866558,2.24
2034-12-31,55046630,2.19
2035-12-31,56226855,2.14
2036-12-31,57410144,2.1
2037-12-31,58600249,2.07
2038-12-31,59792941,2.04
2039-12-31,60985590,1.99
2040-12-31,62180342,1.96
2041-12-31,63375847,1.92
2042-12-31,64572473,1.89
2043-12-31,65768823,1.85
2044-12-31,66964990,1.82
2045-12-31,68161269,1.79
2046-12-31,69355671,1.75
2047-12-31,70546052,1.72
2048-12-31,71729374,1.68
2049-12-31,72905780,1.64
2050-12-31,74075234,1.6
2051-12-31,75237171,1.57
2052-12-31,76389963,1.53
2053-12-31,77532235,1.5
2054-12-31,78663890,1.46
2055-12-31,79788207,1.43
2056-12-31,80899832,1.39
2057-12-31,81998402,1.36
2058-12-31,83084272,1.32
2059-12-31,84152304,1.29
2060-12-31,85205111,1.25
2061-12-31,86241147,1.22
2062-12-31,87254855,1.18
2063-12-31,88248606,1.14
2064-12-31,89228558,1.11
2065-12-31,90189815,1.08
2066-12-31,91131134,1.04
2067-12-31,92059516,1.02
2068-12-31,92972912,0.99
2069-12-31,93861812,0.96
2070-12-31,94723569,0.92
2071-12-31,95562571,0.89
2072-12-31,96383675,0.86
2073-12-31,97187281,0.83
2074-12-31,97970493,0.81
2075-12-31,98732058,0.78
2076-12-31,99473737,0.75
2077-12-31,100196491,0.73
2078-12-31,100896716,0.7
2079-12-31,101578603,0.68
2080-12-31,102242085,0.65
2081-12-31,102881221,0.63
2082-12-31,103500474,0.6
2083-12-31,104100265,0.58
2084-12-31,104677122,0.55
2085-12-31,105228197,0.53
2086-12-31,105752837,0.5
2087-12-31,106254728,0.47
2088-12-31,106734775,0.45
2089-12-31,107193821,0.43
2090-12-31,107630910,0.41
2091-12-31,108041524,0.38
2092-12-31,108430416,0.36
2093-12-31,108801262,0.34
2094-12-31,109153078,0.32
2095-12-31,109487140,0.31
2096-12-31,109802281,0.29
2097-12-31,110094664,0.27
2098-12-31,110366921,0.25
2099-12-31,110621216,0.23
2100-12-31,110854784,0.21
