Macrotrends Data Download

Armenia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1385041
1951-12-31,1424000,2.81
1952-12-31,1465061,2.88
1953-12-31,1508559,2.97
1954-12-31,1554921,3.07
1955-12-31,1604376,3.18
1956-12-31,1657515,3.31
1957-12-31,1714534,3.44
1958-12-31,1774816,3.52
1959-12-31,1838234,3.57
1960-12-31,1904148,3.59
1961-12-31,1971530,3.54
1962-12-31,2039346,3.44
1963-12-31,2106142,3.28
1964-12-31,2171029,3.08
1965-12-31,2234051,2.9
1966-12-31,2295496,2.75
1967-12-31,2355997,2.64
1968-12-31,2416461,2.57
1969-12-31,2476359,2.48
1970-12-31,2534377,2.34
1971-12-31,2590923,2.23
1972-12-31,2648048,2.2
1973-12-31,2706852,2.22
1974-12-31,2767646,2.25
1975-12-31,2830798,2.28
1976-12-31,2896311,2.31
1977-12-31,2965523,2.39
1978-12-31,3038224,2.45
1979-12-31,3097058,1.94
1980-12-31,3135123,1.23
1981-12-31,3167876,1.04
1982-12-31,3202011,1.08
1983-12-31,3238291,1.13
1984-12-31,3272102,1.04
1985-12-31,3300896,0.88
1986-12-31,3327182,0.8
1987-12-31,3351364,0.73
1988-12-31,3366838,0.46
1989-12-31,3448186,2.42
1990-12-31,3556539,3.14
1991-12-31,3617631,1.72
1992-12-31,3574555,-1.19
1993-12-31,3457349,-3.28
1994-12-31,3373713,-2.42
1995-12-31,3322782,-1.51
1996-12-31,3298898,-0.72
1997-12-31,3271418,-0.83
1998-12-31,3240550,-0.94
1999-12-31,3206030,-1.07
2000-12-31,3168523,-1.17
2001-12-31,3133133,-1.12
2002-12-31,3105037,-0.9
2003-12-31,3084102,-0.67
2004-12-31,3065745,-0.6
2005-12-31,3047246,-0.6
2006-12-31,3026486,-0.68
2007-12-31,3004393,-0.73
2008-12-31,2983421,-0.7
2009-12-31,2964296,-0.64
2010-12-31,2946293,-0.61
2011-12-31,2928976,-0.59
2012-12-31,2914421,-0.5
2013-12-31,2901385,-0.45
2014-12-31,2889930,-0.39
2015-12-31,2878595,-0.39
2016-12-31,2865835,-0.44
2017-12-31,2851923,-0.49
2018-12-31,2836557,-0.54
2019-12-31,2820602,-0.56
2020-12-31,2805608,-0.53
2021-12-31,2790974,-0.52
2022-12-31,2780469,-0.38
2023-12-31,2777970,-0.09
2024-12-31,2777979,0
2025-12-31,2777003,-0.04
2026-12-31,2775109,-0.07
2027-12-31,2772323,-0.1
2028-12-31,2768742,-0.13
2029-12-31,2764470,-0.15
2030-12-31,2759528,-0.18
2031-12-31,2753925,-0.2
2032-12-31,2747753,-0.22
2033-12-31,2741125,-0.24
2034-12-31,2734049,-0.26
2035-12-31,2726573,-0.27
2036-12-31,2718722,-0.29
2037-12-31,2710501,-0.3
2038-12-31,2701923,-0.32
2039-12-31,2693021,-0.33
2040-12-31,2683809,-0.34
2041-12-31,2674265,-0.36
2042-12-31,2664340,-0.37
2043-12-31,2654030,-0.39
2044-12-31,2643414,-0.4
2045-12-31,2632515,-0.41
2046-12-31,2621300,-0.43
2047-12-31,2609802,-0.44
2048-12-31,2598016,-0.45
2049-12-31,2585903,-0.47
2050-12-31,2573465,-0.48
2051-12-31,2560653,-0.5
2052-12-31,2547441,-0.52
2053-12-31,2533858,-0.53
2054-12-31,2519905,-0.55
2055-12-31,2505509,-0.57
2056-12-31,2490682,-0.59
2057-12-31,2475470,-0.61
2058-12-31,2459871,-0.63
2059-12-31,2443880,-0.65
2060-12-31,2427507,-0.67
2061-12-31,2410780,-0.69
2062-12-31,2393659,-0.71
2063-12-31,2376144,-0.73
2064-12-31,2358233,-0.75
2065-12-31,2339841,-0.78
2066-12-31,2320973,-0.81
2067-12-31,2301665,-0.83
2068-12-31,2281874,-0.86
2069-12-31,2261571,-0.89
2070-12-31,2240823,-0.92
2071-12-31,2219691,-0.94
2072-12-31,2198247,-0.97
2073-12-31,2176488,-0.99
2074-12-31,2154418,-1.01
2075-12-31,2132142,-1.03
2076-12-31,2109673,-1.05
2077-12-31,2087010,-1.07
2078-12-31,2064215,-1.09
2079-12-31,2041384,-1.11
2080-12-31,2018593,-1.12
2081-12-31,1995882,-1.13
2082-12-31,1973264,-1.13
2083-12-31,1950791,-1.14
2084-12-31,1928557,-1.14
2085-12-31,1906570,-1.14
2086-12-31,1884822,-1.14
2087-12-31,1863322,-1.14
2088-12-31,1842079,-1.14
2089-12-31,1821081,-1.14
2090-12-31,1800342,-1.14
2091-12-31,1779842,-1.14
2092-12-31,1759523,-1.14
2093-12-31,1739362,-1.15
2094-12-31,1719307,-1.15
2095-12-31,1699311,-1.16
2096-12-31,1679316,-1.18
2097-12-31,1659264,-1.19
2098-12-31,1639158,-1.21
2099-12-31,1619018,-1.23
2100-12-31,1598835,-1.25
