Macrotrends Data Download

Bangladesh Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,39728535
1951-12-31,40548590,2.06
1952-12-31,41426885,2.17
1953-12-31,42329279,2.18
1954-12-31,43282032,2.25
1955-12-31,44315548,2.39
1956-12-31,45407666,2.46
1957-12-31,46560522,2.54
1958-12-31,47742791,2.54
1959-12-31,49004963,2.64
1960-12-31,50396429,2.84
1961-12-31,51882769,2.95
1962-12-31,53461661,3.04
1963-12-31,55094115,3.05
1964-12-31,56774465,3.05
1965-12-31,58500159,3.04
1966-12-31,60265259,3.02
1967-12-31,62104488,3.05
1968-12-31,63995652,3.05
1969-12-31,65866908,2.92
1970-12-31,67541860,2.54
1971-12-31,68376204,1.24
1972-12-31,69346705,1.42
1973-12-31,71144818,2.59
1974-12-31,72947807,2.53
1975-12-31,74700345,2.4
1976-12-31,76380080,2.25
1977-12-31,78137788,2.3
1978-12-31,80007550,2.39
1979-12-31,81908151,2.38
1980-12-31,83929765,2.47
1981-12-31,86154836,2.65
1982-12-31,88555336,2.79
1983-12-31,91045478,2.81
1984-12-31,93534239,2.73
1985-12-31,95959099,2.59
1986-12-31,98271746,2.41
1987-12-31,100490256,2.26
1988-12-31,102688833,2.19
1989-12-31,104893674,2.15
1990-12-31,107147651,2.15
1991-12-31,109242834,1.96
1992-12-31,111272102,1.86
1993-12-31,113418757,1.93
1994-12-31,115614891,1.94
1995-12-31,117793338,1.88
1996-12-31,119876868,1.77
1997-12-31,122039226,1.8
1998-12-31,124350471,1.89
1999-12-31,126754824,1.93
2000-12-31,129193327,1.92
2001-12-31,131670484,1.92
2002-12-31,134139826,1.88
2003-12-31,136503206,1.76
2004-12-31,138789725,1.68
2005-12-31,140912590,1.53
2006-12-31,142628831,1.22
2007-12-31,144135934,1.06
2008-12-31,145421318,0.89
2009-12-31,146706810,0.88
2010-12-31,148391139,1.15
2011-12-31,150211005,1.23
2012-12-31,152090649,1.25
2013-12-31,154030139,1.28
2014-12-31,155961299,1.25
2015-12-31,157830000,1.2
2016-12-31,159784568,1.24
2017-12-31,161793964,1.26
2018-12-31,163683958,1.17
2019-12-31,165516222,1.12
2020-12-31,167420951,1.15
2021-12-31,169356251,1.16
2022-12-31,171186372,1.08
2023-12-31,172954319,1.03
2024-12-31,174701211,1.01
2025-12-31,176421509,0.98
2026-12-31,178106136,0.95
2027-12-31,179751964,0.92
2028-12-31,181356085,0.89
2029-12-31,182915579,0.86
2030-12-31,184424144,0.82
2031-12-31,185878302,0.79
2032-12-31,187281026,0.75
2033-12-31,188629587,0.72
2034-12-31,189925419,0.69
2035-12-31,191166614,0.65
2036-12-31,192347658,0.62
2037-12-31,193472026,0.58
2038-12-31,194542147,0.55
2039-12-31,195558997,0.52
2040-12-31,196526123,0.49
2041-12-31,197444714,0.47
2042-12-31,198317585,0.44
2043-12-31,199152551,0.42
2044-12-31,199951236,0.4
2045-12-31,200709378,0.38
2046-12-31,201429647,0.36
2047-12-31,202111723,0.34
2048-12-31,202751082,0.32
2049-12-31,203348861,0.29
2050-12-31,203904900,0.27
2051-12-31,204414038,0.25
2052-12-31,204881655,0.23
2053-12-31,205304625,0.21
2054-12-31,205678964,0.18
2055-12-31,206011271,0.16
2056-12-31,206294832,0.14
2057-12-31,206522498,0.11
2058-12-31,206696286,0.08
2059-12-31,206817842,0.06
2060-12-31,206887443,0.03
2061-12-31,206906003,0.01
2062-12-31,206872403,-0.02
2063-12-31,206782889,-0.04
2064-12-31,206636984,-0.07
2065-12-31,206436847,-0.1
2066-12-31,206189177,-0.12
2067-12-31,205895069,-0.14
2068-12-31,205549080,-0.17
2069-12-31,205155248,-0.19
2070-12-31,204718336,-0.21
2071-12-31,204236614,-0.24
2072-12-31,203709658,-0.26
2073-12-31,203141965,-0.28
2074-12-31,202535002,-0.3
2075-12-31,201891486,-0.32
2076-12-31,201211269,-0.34
2077-12-31,200489912,-0.36
2078-12-31,199729854,-0.38
2079-12-31,198933080,-0.4
2080-12-31,198102576,-0.42
2081-12-31,197240092,-0.44
2082-12-31,196345162,-0.45
2083-12-31,195420633,-0.47
2084-12-31,194464725,-0.49
2085-12-31,193475937,-0.51
2086-12-31,192454929,-0.53
2087-12-31,191408630,-0.54
2088-12-31,190341677,-0.56
2089-12-31,189251652,-0.57
2090-12-31,188142991,-0.59
2091-12-31,187014794,-0.6
2092-12-31,185865478,-0.61
2093-12-31,184699322,-0.63
2094-12-31,183524177,-0.64
2095-12-31,182342109,-0.64
2096-12-31,181152810,-0.65
2097-12-31,179959517,-0.66
2098-12-31,178762530,-0.67
2099-12-31,177563935,-0.67
2100-12-31,176366038,-0.67
