Macrotrends Data Download

Bhutan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,176367
1951-12-31,179833,1.97
1952-12-31,183545,2.06
1953-12-31,187481,2.14
1954-12-31,191638,2.22
1955-12-31,196014,2.28
1956-12-31,200607,2.34
1957-12-31,205425,2.4
1958-12-31,210468,2.45
1959-12-31,215741,2.51
1960-12-31,221266,2.56
1961-12-31,227071,2.62
1962-12-31,233417,2.79
1963-12-31,240268,2.94
1964-12-31,247444,2.99
1965-12-31,255010,3.06
1966-12-31,262976,3.12
1967-12-31,271339,3.18
1968-12-31,280102,3.23
1969-12-31,289296,3.28
1970-12-31,298894,3.32
1971-12-31,308837,3.33
1972-12-31,319128,3.33
1973-12-31,329800,3.34
1974-12-31,340842,3.35
1975-12-31,352269,3.35
1976-12-31,364119,3.36
1977-12-31,376387,3.37
1978-12-31,389072,3.37
1979-12-31,402063,3.34
1980-12-31,415257,3.28
1981-12-31,428641,3.22
1982-12-31,442201,3.16
1983-12-31,456033,3.13
1984-12-31,470165,3.1
1985-12-31,484528,3.05
1986-12-31,499151,3.02
1987-12-31,514026,2.98
1988-12-31,529051,2.92
1989-12-31,544209,2.87
1990-12-31,558442,2.62
1991-12-31,567710,1.66
1992-12-31,545944,-3.83
1993-12-31,520838,-4.6
1994-12-31,521260,0.08
1995-12-31,527536,1.2
1996-12-31,537494,1.89
1997-12-31,546865,1.74
1998-12-31,557143,1.88
1999-12-31,570990,2.49
2000-12-31,587207,2.84
2001-12-31,603234,2.73
2002-12-31,619048,2.62
2003-12-31,634627,2.52
2004-12-31,649991,2.42
2005-12-31,663323,2.05
2006-12-31,673260,1.5
2007-12-31,681614,1.24
2008-12-31,689737,1.19
2009-12-31,697678,1.15
2010-12-31,705516,1.12
2011-12-31,713331,1.11
2012-12-31,721145,1.1
2013-12-31,728889,1.07
2014-12-31,736357,1.02
2015-12-31,743274,0.94
2016-12-31,749761,0.87
2017-12-31,756121,0.85
2018-12-31,762096,0.79
2019-12-31,767459,0.7
2020-12-31,772506,0.66
2021-12-31,777486,0.64
2022-12-31,782455,0.64
2023-12-31,787424,0.64
2024-12-31,792382,0.63
2025-12-31,797335,0.63
2026-12-31,802260,0.62
2027-12-31,807152,0.61
2028-12-31,811997,0.6
2029-12-31,816780,0.59
2030-12-31,821498,0.58
2031-12-31,826118,0.56
2032-12-31,830618,0.54
2033-12-31,834985,0.53
2034-12-31,839181,0.5
2035-12-31,843199,0.48
2036-12-31,847047,0.46
2037-12-31,850697,0.43
2038-12-31,854140,0.4
2039-12-31,857356,0.38
2040-12-31,860331,0.35
2041-12-31,863045,0.32
2042-12-31,865481,0.28
2043-12-31,867621,0.25
2044-12-31,869441,0.21
2045-12-31,870966,0.18
2046-12-31,872205,0.14
2047-12-31,873151,0.11
2048-12-31,873814,0.08
2049-12-31,874192,0.04
2050-12-31,874294,0.01
2051-12-31,874155,-0.02
2052-12-31,873777,-0.04
2053-12-31,873176,-0.07
2054-12-31,872368,-0.09
2055-12-31,871328,-0.12
2056-12-31,870049,-0.15
2057-12-31,868559,-0.17
2058-12-31,866861,-0.2
2059-12-31,864934,-0.22
2060-12-31,862791,-0.25
2061-12-31,860430,-0.27
2062-12-31,857836,-0.3
2063-12-31,855014,-0.33
2064-12-31,851960,-0.36
2065-12-31,848644,-0.39
2066-12-31,845082,-0.42
2067-12-31,841289,-0.45
2068-12-31,837246,-0.48
2069-12-31,832958,-0.51
2070-12-31,828443,-0.54
2071-12-31,823685,-0.57
2072-12-31,818686,-0.61
2073-12-31,813475,-0.64
2074-12-31,808088,-0.66
2075-12-31,802532,-0.69
2076-12-31,796810,-0.71
2077-12-31,790927,-0.74
2078-12-31,784899,-0.76
2079-12-31,778783,-0.78
2080-12-31,772581,-0.8
2081-12-31,766300,-0.81
2082-12-31,759975,-0.83
2083-12-31,753626,-0.84
2084-12-31,747275,-0.84
2085-12-31,740939,-0.85
2086-12-31,734634,-0.85
2087-12-31,728384,-0.85
2088-12-31,722207,-0.85
2089-12-31,716101,-0.85
2090-12-31,710082,-0.84
2091-12-31,704156,-0.83
2092-12-31,698303,-0.83
2093-12-31,692523,-0.83
2094-12-31,686831,-0.82
2095-12-31,681222,-0.82
2096-12-31,675688,-0.81
2097-12-31,670235,-0.81
2098-12-31,664871,-0.8
2099-12-31,659602,-0.79
2100-12-31,654430,-0.78
