Macrotrends Data Download

Cambodia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,4380380
1951-12-31,4485391,2.4
1952-12-31,4592875,2.4
1953-12-31,4702061,2.38
1954-12-31,4814378,2.39
1955-12-31,4931224,2.43
1956-12-31,5051841,2.45
1957-12-31,5175949,2.46
1958-12-31,5298409,2.37
1959-12-31,5419152,2.28
1960-12-31,5541676,2.26
1961-12-31,5664654,2.22
1962-12-31,5788854,2.19
1963-12-31,5913680,2.16
1964-12-31,6040847,2.15
1965-12-31,6170727,2.15
1966-12-31,6299230,2.08
1967-12-31,6426445,2.02
1968-12-31,6553109,1.97
1969-12-31,6679708,1.93
1970-12-31,6708525,0.43
1971-12-31,6696324,-0.18
1972-12-31,6766289,1.04
1973-12-31,6852360,1.27
1974-12-31,6913408,0.89
1975-12-31,6727922,-2.68
1976-12-31,6307122,-6.25
1977-12-31,6040197,-4.23
1978-12-31,5961193,-1.31
1979-12-31,6051808,1.52
1980-12-31,6198959,2.43
1981-12-31,6364472,2.67
1982-12-31,6619699,4.01
1983-12-31,6881962,3.96
1984-12-31,7133899,3.66
1985-12-31,7376090,3.39
1986-12-31,7661317,3.87
1987-12-31,7975597,4.1
1988-12-31,8269780,3.69
1989-12-31,8570928,3.64
1990-12-31,8910808,3.97
1991-12-31,9259362,3.91
1992-12-31,9718215,4.96
1993-12-31,10243550,5.41
1994-12-31,10636353,3.83
1995-12-31,10919528,2.66
1996-12-31,11182612,2.41
1997-12-31,11431569,2.23
1998-12-31,11669077,2.08
1999-12-31,11899006,1.97
2000-12-31,12118841,1.85
2001-12-31,12338192,1.81
2002-12-31,12561779,1.81
2003-12-31,12787710,1.8
2004-12-31,13016371,1.79
2005-12-31,13246583,1.77
2006-12-31,13477779,1.75
2007-12-31,13714791,1.76
2008-12-31,13943888,1.67
2009-12-31,14155740,1.52
2010-12-31,14363532,1.47
2011-12-31,14573885,1.46
2012-12-31,14786640,1.46
2013-12-31,14999683,1.44
2014-12-31,15210817,1.41
2015-12-31,15417523,1.36
2016-12-31,15624584,1.34
2017-12-31,15830689,1.32
2018-12-31,16025238,1.23
2019-12-31,16207746,1.14
2020-12-31,16396860,1.17
2021-12-31,16589023,1.17
2022-12-31,16767842,1.08
2023-12-31,16944826,1.06
2024-12-31,17121847,1.04
2025-12-31,17293532,1
2026-12-31,17460074,0.96
2027-12-31,17621659,0.93
2028-12-31,17779074,0.89
2029-12-31,17933485,0.87
2030-12-31,18084248,0.84
2031-12-31,18231391,0.81
2032-12-31,18375249,0.79
2033-12-31,18515538,0.76
2034-12-31,18652904,0.74
2035-12-31,18787213,0.72
2036-12-31,18917434,0.69
2037-12-31,19043897,0.67
2038-12-31,19166243,0.64
2039-12-31,19283610,0.61
2040-12-31,19396431,0.59
2041-12-31,19504774,0.56
2042-12-31,19608512,0.53
2043-12-31,19707547,0.51
2044-12-31,19801361,0.48
2045-12-31,19889964,0.45
2046-12-31,19973587,0.42
2047-12-31,20052513,0.4
2048-12-31,20126275,0.37
2049-12-31,20194550,0.34
2050-12-31,20258435,0.32
2051-12-31,20318232,0.3
2052-12-31,20373952,0.27
2053-12-31,20426043,0.26
2054-12-31,20474594,0.24
2055-12-31,20519579,0.22
2056-12-31,20561126,0.2
2057-12-31,20599180,0.19
2058-12-31,20633986,0.17
2059-12-31,20665582,0.15
2060-12-31,20693613,0.14
2061-12-31,20718219,0.12
2062-12-31,20739275,0.1
2063-12-31,20756715,0.08
2064-12-31,20770030,0.06
2065-12-31,20779347,0.04
2066-12-31,20784999,0.03
2067-12-31,20786769,0.01
2068-12-31,20783995,-0.01
2069-12-31,20776458,-0.04
2070-12-31,20764507,-0.06
2071-12-31,20748383,-0.08
2072-12-31,20727968,-0.1
2073-12-31,20703641,-0.12
2074-12-31,20676149,-0.13
2075-12-31,20644895,-0.15
2076-12-31,20610184,-0.17
2077-12-31,20572339,-0.18
2078-12-31,20531219,-0.2
2079-12-31,20487444,-0.21
2080-12-31,20441202,-0.23
2081-12-31,20392855,-0.24
2082-12-31,20342994,-0.24
2083-12-31,20291331,-0.25
2084-12-31,20237989,-0.26
2085-12-31,20182867,-0.27
2086-12-31,20126189,-0.28
2087-12-31,20068054,-0.29
2088-12-31,20008080,-0.3
2089-12-31,19946338,-0.31
2090-12-31,19882281,-0.32
2091-12-31,19816056,-0.33
2092-12-31,19747861,-0.34
2093-12-31,19677206,-0.36
2094-12-31,19604327,-0.37
2095-12-31,19529262,-0.38
2096-12-31,19451744,-0.4
2097-12-31,19371843,-0.41
2098-12-31,19289507,-0.43
2099-12-31,19205031,-0.44
2100-12-31,19118804,-0.45
