Macrotrends Data Download

Cyprus Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,493956
1951-12-31,501274,1.48
1952-12-31,508971,1.54
1953-12-31,517021,1.58
1954-12-31,525402,1.62
1955-12-31,534125,1.66
1956-12-31,543250,1.71
1957-12-31,552883,1.77
1958-12-31,563154,1.86
1959-12-31,574158,1.95
1960-12-31,585725,2.01
1961-12-31,594771,1.54
1962-12-31,601095,1.06
1963-12-31,607072,0.99
1964-12-31,612338,0.87
1965-12-31,617345,0.82
1966-12-31,622566,0.85
1967-12-31,627695,0.82
1968-12-31,632452,0.76
1969-12-31,636821,0.69
1970-12-31,640804,0.63
1971-12-31,644413,0.56
1972-12-31,647620,0.5
1973-12-31,650705,0.48
1974-12-31,648585,-0.33
1975-12-31,644982,-0.56
1976-12-31,648868,0.6
1977-12-31,656414,1.16
1978-12-31,663975,1.15
1979-12-31,671611,1.15
1980-12-31,679327,1.15
1981-12-31,687170,1.15
1982-12-31,696227,1.32
1983-12-31,707477,1.62
1984-12-31,719678,1.72
1985-12-31,731664,1.67
1986-12-31,743446,1.61
1987-12-31,755021,1.56
1988-12-31,766412,1.51
1989-12-31,777592,1.46
1990-12-31,788500,1.4
1991-12-31,799061,1.34
1992-12-31,810431,1.42
1993-12-31,825986,1.92
1994-12-31,844444,2.23
1995-12-31,862418,2.13
1996-12-31,880058,2.05
1997-12-31,897471,1.98
1998-12-31,914660,1.92
1999-12-31,931600,1.85
2000-12-31,948237,1.79
2001-12-31,964830,1.75
2002-12-31,982194,1.8
2003-12-31,1000350,1.85
2004-12-31,1018684,1.83
2005-12-31,1037062,1.8
2006-12-31,1055438,1.77
2007-12-31,1073873,1.75
2008-12-31,1092390,1.72
2009-12-31,1110974,1.7
2010-12-31,1129686,1.68
2011-12-31,1145086,1.36
2012-12-31,1156556,1
2013-12-31,1166968,0.9
2014-12-31,1176995,0.86
2015-12-31,1187280,0.87
2016-12-31,1197881,0.89
2017-12-31,1208523,0.89
2018-12-31,1218831,0.85
2019-12-31,1228836,0.82
2020-12-31,1237537,0.71
2021-12-31,1244188,0.54
2022-12-31,1251488,0.59
2023-12-31,1260138,0.69
2024-12-31,1268467,0.66
2025-12-31,1276508,0.63
2026-12-31,1284246,0.61
2027-12-31,1291644,0.58
2028-12-31,1298685,0.55
2029-12-31,1305389,0.52
2030-12-31,1311784,0.49
2031-12-31,1317850,0.46
2032-12-31,1323605,0.44
2033-12-31,1329063,0.41
2034-12-31,1334251,0.39
2035-12-31,1339205,0.37
2036-12-31,1343910,0.35
2037-12-31,1348377,0.33
2038-12-31,1352623,0.31
2039-12-31,1356675,0.3
2040-12-31,1360553,0.29
2041-12-31,1364280,0.27
2042-12-31,1367860,0.26
2043-12-31,1371301,0.25
2044-12-31,1374621,0.24
2045-12-31,1377817,0.23
2046-12-31,1380891,0.22
2047-12-31,1383832,0.21
2048-12-31,1386636,0.2
2049-12-31,1389291,0.19
2050-12-31,1391785,0.18
2051-12-31,1394123,0.17
2052-12-31,1396271,0.15
2053-12-31,1398149,0.13
2054-12-31,1399739,0.11
2055-12-31,1401093,0.1
2056-12-31,1402230,0.08
2057-12-31,1403132,0.06
2058-12-31,1403807,0.05
2059-12-31,1404209,0.03
2060-12-31,1404311,0.01
2061-12-31,1404137,-0.01
2062-12-31,1403666,-0.03
2063-12-31,1402902,-0.05
2064-12-31,1401862,-0.07
2065-12-31,1400569,-0.09
2066-12-31,1398999,-0.11
2067-12-31,1397139,-0.13
2068-12-31,1395028,-0.15
2069-12-31,1392695,-0.17
2070-12-31,1390139,-0.18
2071-12-31,1387385,-0.2
2072-12-31,1384473,-0.21
2073-12-31,1381406,-0.22
2074-12-31,1378200,-0.23
2075-12-31,1374887,-0.24
2076-12-31,1371515,-0.25
2077-12-31,1368134,-0.25
2078-12-31,1364757,-0.25
2079-12-31,1361431,-0.24
2080-12-31,1358199,-0.24
2081-12-31,1355107,-0.23
2082-12-31,1352190,-0.22
2083-12-31,1349437,-0.2
2084-12-31,1346887,-0.19
2085-12-31,1344608,-0.17
2086-12-31,1342593,-0.15
2087-12-31,1340850,-0.13
2088-12-31,1339377,-0.11
2089-12-31,1338159,-0.09
2090-12-31,1337176,-0.07
2091-12-31,1336407,-0.06
2092-12-31,1335895,-0.04
2093-12-31,1335626,-0.02
2094-12-31,1335525,-0.01
2095-12-31,1335564,0
2096-12-31,1335738,0.01
2097-12-31,1335997,0.02
2098-12-31,1336302,0.02
2099-12-31,1336657,0.03
2100-12-31,1337053,0.03
