Macrotrends Data Download

Iraq Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,5656471
1951-12-31,5783972,2.25
1952-12-31,5930350,2.53
1953-12-31,6089258,2.68
1954-12-31,6252041,2.67
1955-12-31,6405686,2.46
1956-12-31,6552801,2.3
1957-12-31,6683798,2
1958-12-31,6796490,1.69
1959-12-31,6929323,1.95
1960-12-31,7084678,2.24
1961-12-31,7260714,2.48
1962-12-31,7481832,3.05
1963-12-31,7735824,3.39
1964-12-31,7997655,3.38
1965-12-31,8270544,3.41
1966-12-31,8553883,3.43
1967-12-31,8848502,3.44
1968-12-31,9156132,3.48
1969-12-31,9476737,3.5
1970-12-31,9811347,3.53
1971-12-31,10154928,3.5
1972-12-31,10507315,3.47
1973-12-31,10872139,3.47
1974-12-31,11243146,3.41
1975-12-31,11617622,3.33
1976-12-31,11999342,3.29
1977-12-31,12400190,3.34
1978-12-31,12819707,3.38
1979-12-31,13233830,3.23
1980-12-31,13653369,3.17
1981-12-31,14067260,3.03
1982-12-31,14467682,2.85
1983-12-31,14903737,3.01
1984-12-31,15377032,3.18
1985-12-31,15753856,2.45
1986-12-31,16148221,2.5
1987-12-31,16598019,2.79
1988-12-31,16987346,2.35
1989-12-31,17442590,2.68
1990-12-31,17658381,1.24
1991-12-31,17846378,1.06
1992-12-31,18385673,3.02
1993-12-31,19295818,4.95
1994-12-31,20248073,4.94
1995-12-31,20948858,3.46
1996-12-31,21639332,3.3
1997-12-31,22330770,3.2
1998-12-31,23053488,3.24
1999-12-31,23820734,3.33
2000-12-31,24628858,3.39
2001-12-31,25425663,3.24
2002-12-31,26255343,3.26
2003-12-31,27068823,3.1
2004-12-31,27858948,2.92
2005-12-31,28698684,3.01
2006-12-31,28905607,0.72
2007-12-31,28660887,-0.85
2008-12-31,29218381,1.95
2009-12-31,30289040,3.66
2010-12-31,31264875,3.22
2011-12-31,32378061,3.56
2012-12-31,33864447,4.59
2013-12-31,35481800,4.78
2014-12-31,36746488,3.56
2015-12-31,37757813,2.75
2016-12-31,38697943,2.49
2017-12-31,39621162,2.39
2018-12-31,40590700,2.45
2019-12-31,41563520,2.4
2020-12-31,42556984,2.39
2021-12-31,43533592,2.29
2022-12-31,44496122,2.21
2023-12-31,45504560,2.27
2024-12-31,46523657,2.24
2025-12-31,47549546,2.21
2026-12-31,48583520,2.17
2027-12-31,49623459,2.14
2028-12-31,50671593,2.11
2029-12-31,51730760,2.09
2030-12-31,52800825,2.07
2031-12-31,53879499,2.04
2032-12-31,54966918,2.02
2033-12-31,56062270,1.99
2034-12-31,57162965,1.96
2035-12-31,58268847,1.93
2036-12-31,59376243,1.9
2037-12-31,60484498,1.87
2038-12-31,61591674,1.83
2039-12-31,62695913,1.79
2040-12-31,63798124,1.76
2041-12-31,64897603,1.72
2042-12-31,65990902,1.68
2043-12-31,67078936,1.65
2044-12-31,68160087,1.61
2045-12-31,69232581,1.57
2046-12-31,70303215,1.55
2047-12-31,71367305,1.51
2048-12-31,72422410,1.48
2049-12-31,73472404,1.45
2050-12-31,74515140,1.42
2051-12-31,75546289,1.38
2052-12-31,76571293,1.36
2053-12-31,77591427,1.33
2054-12-31,78602717,1.3
2055-12-31,79606588,1.28
2056-12-31,80603155,1.25
2057-12-31,81590720,1.23
2058-12-31,82571803,1.2
2059-12-31,83546164,1.18
2060-12-31,84505546,1.15
2061-12-31,85449511,1.12
2062-12-31,86384363,1.09
2063-12-31,87308492,1.07
2064-12-31,88219965,1.04
2065-12-31,89122627,1.02
2066-12-31,90018157,1
2067-12-31,90903880,0.98
2068-12-31,91777004,0.96
2069-12-31,92635238,0.94
2070-12-31,93477406,0.91
2071-12-31,94308792,0.89
2072-12-31,95130492,0.87
2073-12-31,95938643,0.85
2074-12-31,96730174,0.83
2075-12-31,97506579,0.8
2076-12-31,98265205,0.78
2077-12-31,99003307,0.75
2078-12-31,99723724,0.73
2079-12-31,100427045,0.71
2080-12-31,101113611,0.68
2081-12-31,101783663,0.66
2082-12-31,102436834,0.64
2083-12-31,103076155,0.62
2084-12-31,103700881,0.61
2085-12-31,104309332,0.59
2086-12-31,104901071,0.57
2087-12-31,105476925,0.55
2088-12-31,106035957,0.53
2089-12-31,106579002,0.51
2090-12-31,107109082,0.5
2091-12-31,107624054,0.48
2092-12-31,108120932,0.46
2093-12-31,108598811,0.44
2094-12-31,109059946,0.42
2095-12-31,109505956,0.41
2096-12-31,109938207,0.39
2097-12-31,110355238,0.38
2098-12-31,110755179,0.36
2099-12-31,111137740,0.35
2100-12-31,111503537,0.33
