Macrotrends Data Download

Israel Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1284157
1951-12-31,1337630,4.16
1952-12-31,1393191,4.15
1953-12-31,1450457,4.11
1954-12-31,1507412,3.93
1955-12-31,1564960,3.82
1956-12-31,1625669,3.88
1957-12-31,1688678,3.88
1958-12-31,1754788,3.91
1959-12-31,1825847,4.05
1960-12-31,1902247,4.18
1961-12-31,1983319,4.26
1962-12-31,2069091,4.32
1963-12-31,2160420,4.41
1964-12-31,2257903,4.51
1965-12-31,2361088,4.57
1966-12-31,2467863,4.52
1967-12-31,2575793,4.37
1968-12-31,2684849,4.23
1969-12-31,2795472,4.12
1970-12-31,2907307,4
1971-12-31,3018583,3.83
1972-12-31,3120950,3.39
1973-12-31,3214274,2.99
1974-12-31,3303720,2.78
1975-12-31,3388086,2.55
1976-12-31,3468120,2.36
1977-12-31,3541374,2.11
1978-12-31,3608733,1.9
1979-12-31,3675789,1.86
1980-12-31,3744608,1.87
1981-12-31,3816745,1.93
1982-12-31,3892839,1.99
1983-12-31,3979093,2.22
1984-12-31,4077001,2.46
1985-12-31,4182681,2.59
1986-12-31,4295405,2.7
1987-12-31,4412030,2.72
1988-12-31,4535396,2.8
1989-12-31,4666782,2.9
1990-12-31,4803254,2.92
1991-12-31,4942812,2.91
1992-12-31,5079389,2.76
1993-12-31,5212998,2.63
1994-12-31,5346292,2.56
1995-12-31,5478734,2.48
1996-12-31,5612494,2.44
1997-12-31,5743283,2.33
1998-12-31,5869504,2.2
1999-12-31,5994088,2.12
2000-12-31,6116958,2.05
2001-12-31,6237982,1.98
2002-12-31,6356693,1.9
2003-12-31,6475913,1.88
2004-12-31,6595986,1.85
2005-12-31,6714124,1.79
2006-12-31,6832077,1.76
2007-12-31,6952003,1.76
2008-12-31,7074522,1.76
2009-12-31,7199703,1.77
2010-12-31,7328445,1.79
2011-12-31,7459749,1.79
2012-12-31,7592106,1.77
2013-12-31,7726676,1.77
2014-12-31,7863846,1.78
2015-12-31,8007778,1.83
2016-12-31,8159009,1.89
2017-12-31,8309257,1.84
2018-12-31,8456483,1.77
2019-12-31,8607919,1.79
2020-12-31,8757489,1.74
2021-12-31,8900059,1.63
2022-12-31,9038309,1.55
2023-12-31,9174520,1.51
2024-12-31,9311652,1.49
2025-12-31,9448781,1.47
2026-12-31,9585962,1.45
2027-12-31,9723035,1.43
2028-12-31,9860161,1.41
2029-12-31,9997364,1.39
2030-12-31,10134951,1.38
2031-12-31,10273091,1.36
2032-12-31,10411756,1.35
2033-12-31,10550851,1.34
2034-12-31,10690361,1.32
2035-12-31,10830531,1.31
2036-12-31,10971355,1.3
2037-12-31,11112888,1.29
2038-12-31,11255159,1.28
2039-12-31,11398331,1.27
2040-12-31,11542358,1.26
2041-12-31,11687189,1.25
2042-12-31,11832611,1.24
2043-12-31,11978499,1.23
2044-12-31,12124556,1.22
2045-12-31,12270281,1.2
2046-12-31,12415856,1.19
2047-12-31,12561227,1.17
2048-12-31,12705844,1.15
2049-12-31,12849190,1.13
2050-12-31,12991790,1.11
2051-12-31,13133416,1.09
2052-12-31,13273650,1.07
2053-12-31,13412431,1.05
2054-12-31,13549242,1.02
2055-12-31,13683739,0.99
2056-12-31,13816171,0.97
2057-12-31,13947270,0.95
2058-12-31,14077157,0.93
2059-12-31,14205468,0.91
2060-12-31,14331653,0.89
2061-12-31,14456370,0.87
2062-12-31,14579915,0.85
2063-12-31,14702331,0.84
2064-12-31,14823746,0.83
2065-12-31,14943816,0.81
2066-12-31,15063350,0.8
2067-12-31,15182736,0.79
2068-12-31,15300856,0.78
2069-12-31,15418046,0.77
2070-12-31,15534857,0.76
2071-12-31,15650923,0.75
2072-12-31,15766621,0.74
2073-12-31,15881809,0.73
2074-12-31,15996393,0.72
2075-12-31,16110173,0.71
2076-12-31,16222668,0.7
2077-12-31,16333725,0.68
2078-12-31,16443408,0.67
2079-12-31,16551872,0.66
2080-12-31,16659252,0.65
2081-12-31,16764861,0.63
2082-12-31,16868499,0.62
2083-12-31,16970940,0.61
2084-12-31,17072106,0.6
2085-12-31,17171143,0.58
2086-12-31,17267622,0.56
2087-12-31,17361922,0.55
2088-12-31,17454359,0.53
2089-12-31,17545217,0.52
2090-12-31,17634093,0.51
2091-12-31,17720631,0.49
2092-12-31,17804867,0.48
2093-12-31,17887271,0.46
2094-12-31,17968400,0.45
2095-12-31,18047594,0.44
2096-12-31,18124446,0.43
2097-12-31,18199028,0.41
2098-12-31,18271379,0.4
2099-12-31,18341869,0.39
2100-12-31,18410403,0.37
