Macrotrends Data Download

Jordan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,438386
1951-12-31,469962,7.2
1952-12-31,504576,7.37
1953-12-31,541616,7.34
1954-12-31,580796,7.23
1955-12-31,622010,7.1
1956-12-31,665071,6.92
1957-12-31,709849,6.73
1958-12-31,755904,6.49
1959-12-31,802351,6.14
1960-12-31,847936,5.68
1961-12-31,891848,5.18
1962-12-31,934615,4.8
1963-12-31,978607,4.71
1964-12-31,1029447,5.2
1965-12-31,1093474,6.22
1966-12-31,1172770,7.25
1967-12-31,1265680,7.92
1968-12-31,1366644,7.98
1969-12-31,1466428,7.3
1970-12-31,1557374,6.2
1971-12-31,1636320,5.07
1972-12-31,1704787,4.18
1973-12-31,1767414,3.67
1974-12-31,1827584,3.4
1975-12-31,1886636,3.23
1976-12-31,1945141,3.1
1977-12-31,2005418,3.1
1978-12-31,2069104,3.18
1979-12-31,2138078,3.33
1980-12-31,2216903,3.69
1981-12-31,2306655,4.05
1982-12-31,2406349,4.32
1983-12-31,2514785,4.51
1984-12-31,2629939,4.58
1985-12-31,2751492,4.62
1986-12-31,2879799,4.66
1987-12-31,3014694,4.68
1988-12-31,3157177,4.73
1989-12-31,3310954,4.87
1990-12-31,3480587,5.12
1991-12-31,3666379,5.34
1992-12-31,3866887,5.47
1993-12-31,4075759,5.4
1994-12-31,4278166,4.97
1995-12-31,4458195,4.21
1996-12-31,4608676,3.38
1997-12-31,4733665,2.71
1998-12-31,4844403,2.34
1999-12-31,4950775,2.2
2000-12-31,5056174,2.13
2001-12-31,5163310,2.12
2002-12-31,5275532,2.17
2003-12-31,5396117,2.29
2004-12-31,5532423,2.53
2005-12-31,5678534,2.64
2006-12-31,6075548,6.99
2007-12-31,6473457,6.55
2008-12-31,6632873,2.46
2009-12-31,6780493,2.23
2010-12-31,6931258,2.22
2011-12-31,7109980,2.58
2012-12-31,7211863,1.43
2013-12-31,7694814,6.7
2014-12-31,8658026,12.52
2015-12-31,9494246,9.66
2016-12-31,9964656,4.95
2017-12-31,10215381,2.52
2018-12-31,10459865,2.39
2019-12-31,10698683,2.28
2020-12-31,10928721,2.15
2021-12-31,11148278,2.01
2022-12-31,11285869,1.23
2023-12-31,11337052,0.45
2024-12-31,11384922,0.42
2025-12-31,11442114,0.5
2026-12-31,11515043,0.64
2027-12-31,11604646,0.78
2028-12-31,11704094,0.86
2029-12-31,11813211,0.93
2030-12-31,11933395,1.02
2031-12-31,12065504,1.11
2032-12-31,12208667,1.19
2033-12-31,12359896,1.24
2034-12-31,12517964,1.28
2035-12-31,12683203,1.32
2036-12-31,12853969,1.35
2037-12-31,13027576,1.35
2038-12-31,13200576,1.33
2039-12-31,13371140,1.29
2040-12-31,13538887,1.25
2041-12-31,13703556,1.22
2042-12-31,13864721,1.18
2043-12-31,14022069,1.13
2044-12-31,14175260,1.09
2045-12-31,14323826,1.05
2046-12-31,14468011,1.01
2047-12-31,14608090,0.97
2048-12-31,14744593,0.93
2049-12-31,14877252,0.9
2050-12-31,15005941,0.87
2051-12-31,15131037,0.83
2052-12-31,15252936,0.81
2053-12-31,15372006,0.78
2054-12-31,15488416,0.76
2055-12-31,15602302,0.74
2056-12-31,15713565,0.71
2057-12-31,15822001,0.69
2058-12-31,15927766,0.67
2059-12-31,16030997,0.65
2060-12-31,16131412,0.63
2061-12-31,16229146,0.61
2062-12-31,16324171,0.59
2063-12-31,16416338,0.56
2064-12-31,16505696,0.54
2065-12-31,16592607,0.53
2066-12-31,16677092,0.51
2067-12-31,16758589,0.49
2068-12-31,16836912,0.47
2069-12-31,16911620,0.44
2070-12-31,16983000,0.42
2071-12-31,17051389,0.4
2072-12-31,17116201,0.38
2073-12-31,17177152,0.36
2074-12-31,17234358,0.33
2075-12-31,17287817,0.31
2076-12-31,17337140,0.29
2077-12-31,17382554,0.26
2078-12-31,17424523,0.24
2079-12-31,17463040,0.22
2080-12-31,17498352,0.2
2081-12-31,17530432,0.18
2082-12-31,17558974,0.16
2083-12-31,17584594,0.15
2084-12-31,17607362,0.13
2085-12-31,17626929,0.11
2086-12-31,17643454,0.09
2087-12-31,17657504,0.08
2088-12-31,17669194,0.07
2089-12-31,17678329,0.05
2090-12-31,17685188,0.04
2091-12-31,17689718,0.03
2092-12-31,17691934,0.01
2093-12-31,17691828,0
2094-12-31,17689627,-0.01
2095-12-31,17685182,-0.03
2096-12-31,17677858,-0.04
2097-12-31,17667746,-0.06
2098-12-31,17655572,-0.07
2099-12-31,17641423,-0.08
2100-12-31,17625253,-0.09
