Macrotrends Data Download

Mongolia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,781260
1951-12-31,793053,1.51
1952-12-31,805031,1.51
1953-12-31,817516,1.55
1954-12-31,830702,1.61
1955-12-31,844997,1.72
1956-12-31,864379,2.29
1957-12-31,888961,2.84
1958-12-31,915702,3.01
1959-12-31,945438,3.25
1960-12-31,977903,3.43
1961-12-31,1011502,3.44
1962-12-31,1045315,3.34
1963-12-31,1075888,2.92
1964-12-31,1104017,2.61
1965-12-31,1134072,2.72
1966-12-31,1165746,2.79
1967-12-31,1198197,2.78
1968-12-31,1230406,2.69
1969-12-31,1261887,2.56
1970-12-31,1293880,2.54
1971-12-31,1327781,2.62
1972-12-31,1363835,2.72
1973-12-31,1402309,2.82
1974-12-31,1443130,2.91
1975-12-31,1485691,2.95
1976-12-31,1529084,2.92
1977-12-31,1572516,2.84
1978-12-31,1615868,2.76
1979-12-31,1657448,2.57
1980-12-31,1697780,2.43
1981-12-31,1739221,2.44
1982-12-31,1781797,2.45
1983-12-31,1825773,2.47
1984-12-31,1871652,2.51
1985-12-31,1919744,2.57
1986-12-31,1969912,2.61
1987-12-31,2021502,2.62
1988-12-31,2073771,2.59
1989-12-31,2120825,2.27
1990-12-31,2161433,1.91
1991-12-31,2200077,1.79
1992-12-31,2236494,1.66
1993-12-31,2270311,1.51
1994-12-31,2301510,1.37
1995-12-31,2330334,1.25
1996-12-31,2357033,1.15
1997-12-31,2381771,1.05
1998-12-31,2405148,0.98
1999-12-31,2428488,0.97
2000-12-31,2450979,0.93
2001-12-31,2472601,0.88
2002-12-31,2494617,0.89
2003-12-31,2516454,0.88
2004-12-31,2537949,0.85
2005-12-31,2559255,0.84
2006-12-31,2581242,0.86
2007-12-31,2605643,0.95
2008-12-31,2633887,1.08
2009-12-31,2666713,1.25
2010-12-31,2702520,1.34
2011-12-31,2743938,1.53
2012-12-31,2792349,1.76
2013-12-31,2845153,1.89
2014-12-31,2902823,2.03
2015-12-31,2964749,2.13
2016-12-31,3029555,2.19
2017-12-31,3096030,2.19
2018-12-31,3163991,2.2
2019-12-31,3232430,2.16
2020-12-31,3294335,1.92
2021-12-31,3347782,1.62
2022-12-31,3398366,1.51
2023-12-31,3447157,1.44
2024-12-31,3493629,1.35
2025-12-31,3537947,1.27
2026-12-31,3580318,1.2
2027-12-31,3620933,1.13
2028-12-31,3660164,1.08
2029-12-31,3698535,1.05
2030-12-31,3736327,1.02
2031-12-31,3773768,1
2032-12-31,3811167,0.99
2033-12-31,3848847,0.99
2034-12-31,3887004,0.99
2035-12-31,3925745,1
2036-12-31,3965043,1
2037-12-31,4004952,1.01
2038-12-31,4045479,1.01
2039-12-31,4086469,1.01
2040-12-31,4127814,1.01
2041-12-31,4169279,1
2042-12-31,4210687,0.99
2043-12-31,4251855,0.98
2044-12-31,4292546,0.96
2045-12-31,4332667,0.93
2046-12-31,4372111,0.91
2047-12-31,4410654,0.88
2048-12-31,4448092,0.85
2049-12-31,4484188,0.81
2050-12-31,4518856,0.77
2051-12-31,4552140,0.74
2052-12-31,4583856,0.7
2053-12-31,4614013,0.66
2054-12-31,4642836,0.62
2055-12-31,4670367,0.59
2056-12-31,4696549,0.56
2057-12-31,4721574,0.53
2058-12-31,4745607,0.51
2059-12-31,4768694,0.49
2060-12-31,4790895,0.47
2061-12-31,4812324,0.45
2062-12-31,4833167,0.43
2063-12-31,4853453,0.42
2064-12-31,4873302,0.41
2065-12-31,4892922,0.4
2066-12-31,4912310,0.4
2067-12-31,4931477,0.39
2068-12-31,4950407,0.38
2069-12-31,4968895,0.37
2070-12-31,4986933,0.36
2071-12-31,5004734,0.36
2072-12-31,5022175,0.35
2073-12-31,5039067,0.34
2074-12-31,5055428,0.32
2075-12-31,5071311,0.31
2076-12-31,5086672,0.3
2077-12-31,5101310,0.29
2078-12-31,5115193,0.27
2079-12-31,5128266,0.26
2080-12-31,5140606,0.24
2081-12-31,5152279,0.23
2082-12-31,5163062,0.21
2083-12-31,5173117,0.19
2084-12-31,5182677,0.18
2085-12-31,5191632,0.17
2086-12-31,5200010,0.16
2087-12-31,5207949,0.15
2088-12-31,5215442,0.14
2089-12-31,5222364,0.13
2090-12-31,5228767,0.12
2091-12-31,5234631,0.11
2092-12-31,5239922,0.1
2093-12-31,5244604,0.09
2094-12-31,5248615,0.08
2095-12-31,5252060,0.07
2096-12-31,5254834,0.05
2097-12-31,5256823,0.04
2098-12-31,5257895,0.02
2099-12-31,5258061,0
2100-12-31,5257218,-0.02
