Macrotrends Data Download

Nepal Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,8398945
1951-12-31,8579831,2.15
1952-12-31,8759894,2.1
1953-12-31,8936482,2.02
1954-12-31,9110777,1.95
1955-12-31,9284895,1.91
1956-12-31,9458896,1.87
1957-12-31,9633243,1.84
1958-12-31,9805019,1.78
1959-12-31,9980681,1.79
1960-12-31,10167941,1.88
1961-12-31,10365144,1.94
1962-12-31,10570716,1.98
1963-12-31,10782717,2.01
1964-12-31,11002819,2.04
1965-12-31,11232951,2.09
1966-12-31,11470199,2.11
1967-12-31,11715579,2.14
1968-12-31,11970411,2.18
1969-12-31,12231874,2.18
1970-12-31,12501285,2.2
1971-12-31,12774870,2.19
1972-12-31,13052220,2.17
1973-12-31,13335963,2.17
1974-12-31,13626301,2.18
1975-12-31,13925541,2.2
1976-12-31,14230738,2.19
1977-12-31,14550430,2.25
1978-12-31,14888770,2.33
1979-12-31,15238564,2.35
1980-12-31,15600442,2.37
1981-12-31,15969792,2.37
1982-12-31,16347124,2.36
1983-12-31,16740664,2.41
1984-12-31,17141610,2.4
1985-12-31,17540571,2.33
1986-12-31,17936926,2.26
1987-12-31,18326204,2.17
1988-12-31,18720745,2.15
1989-12-31,19145077,2.27
1990-12-31,19616530,2.46
1991-12-31,20130779,2.62
1992-12-31,20702133,2.84
1993-12-31,21267359,2.73
1994-12-31,21794751,2.48
1995-12-31,22305571,2.34
1996-12-31,22783969,2.14
1997-12-31,23249417,2.04
1998-12-31,23703328,1.95
1999-12-31,24143157,1.86
2000-12-31,24559500,1.72
2001-12-31,24956071,1.61
2002-12-31,25332178,1.51
2003-12-31,25682908,1.38
2004-12-31,26003965,1.25
2005-12-31,26285110,1.08
2006-12-31,26518971,0.89
2007-12-31,26713655,0.73
2008-12-31,26881544,0.63
2009-12-31,27026941,0.54
2010-12-31,27161567,0.5
2011-12-31,27266399,0.39
2012-12-31,27330694,0.24
2013-12-31,27381555,0.19
2014-12-31,27462106,0.29
2015-12-31,27610325,0.54
2016-12-31,27861186,0.91
2017-12-31,28183426,1.16
2018-12-31,28506712,1.15
2019-12-31,28832496,1.14
2020-12-31,29348627,1.79
2021-12-31,30034989,2.34
2022-12-31,30547580,1.71
2023-12-31,30896590,1.14
2024-12-31,31240315,1.11
2025-12-31,31577361,1.08
2026-12-31,31907071,1.04
2027-12-31,32228530,1.01
2028-12-31,32540486,0.97
2029-12-31,32842036,0.93
2030-12-31,33133395,0.89
2031-12-31,33414586,0.85
2032-12-31,33686387,0.81
2033-12-31,33948886,0.78
2034-12-31,34202471,0.75
2035-12-31,34448817,0.72
2036-12-31,34687232,0.69
2037-12-31,34918056,0.67
2038-12-31,35141522,0.64
2039-12-31,35357736,0.62
2040-12-31,35568802,0.6
2041-12-31,35775609,0.58
2042-12-31,35977813,0.57
2043-12-31,36176020,0.55
2044-12-31,36369545,0.53
2045-12-31,36557101,0.52
2046-12-31,36738417,0.5
2047-12-31,36914245,0.48
2048-12-31,37084465,0.46
2049-12-31,37247004,0.44
2050-12-31,37401365,0.41
2051-12-31,37548376,0.39
2052-12-31,37687305,0.37
2053-12-31,37817371,0.35
2054-12-31,37938361,0.32
2055-12-31,38049053,0.29
2056-12-31,38149244,0.26
2057-12-31,38238906,0.24
2058-12-31,38317673,0.21
2059-12-31,38386567,0.18
2060-12-31,38446287,0.16
2061-12-31,38496880,0.13
2062-12-31,38538330,0.11
2063-12-31,38569111,0.08
2064-12-31,38590056,0.05
2065-12-31,38601800,0.03
2066-12-31,38603454,0
2067-12-31,38595170,-0.02
2068-12-31,38577090,-0.05
2069-12-31,38549592,-0.07
2070-12-31,38512777,-0.1
2071-12-31,38467055,-0.12
2072-12-31,38412150,-0.14
2073-12-31,38347453,-0.17
2074-12-31,38272946,-0.19
2075-12-31,38189243,-0.22
2076-12-31,38095904,-0.24
2077-12-31,37992269,-0.27
2078-12-31,37878081,-0.3
2079-12-31,37754404,-0.33
2080-12-31,37621963,-0.35
2081-12-31,37480849,-0.38
2082-12-31,37331459,-0.4
2083-12-31,37173721,-0.42
2084-12-31,37007832,-0.45
2085-12-31,36834499,-0.47
2086-12-31,36654349,-0.49
2087-12-31,36467882,-0.51
2088-12-31,36275442,-0.53
2089-12-31,36077469,-0.55
2090-12-31,35875632,-0.56
2091-12-31,35670935,-0.57
2092-12-31,35463618,-0.58
2093-12-31,35254173,-0.59
2094-12-31,35043793,-0.6
2095-12-31,34832626,-0.6
2096-12-31,34620913,-0.61
2097-12-31,34408587,-0.61
2098-12-31,34195393,-0.62
2099-12-31,33982584,-0.62
2100-12-31,33769507,-0.63
