Macrotrends Data Download

North Korea Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,11103379
1951-12-31,10557969,-4.91
1952-12-31,10228066,-3.12
1953-12-31,10147600,-0.79
1954-12-31,10206242,0.58
1955-12-31,10360269,1.51
1956-12-31,10552182,1.85
1957-12-31,10802103,2.37
1958-12-31,11106854,2.82
1959-12-31,11391376,2.56
1960-12-31,11655666,2.32
1961-12-31,11916515,2.24
1962-12-31,12180505,2.22
1963-12-31,12475236,2.42
1964-12-31,12787523,2.5
1965-12-31,13105946,2.49
1966-12-31,13444048,2.58
1967-12-31,13821409,2.81
1968-12-31,14216305,2.86
1969-12-31,14605481,2.74
1970-12-31,14996879,2.68
1971-12-31,15381626,2.57
1972-12-31,15768363,2.51
1973-12-31,16128122,2.28
1974-12-31,16437002,1.92
1975-12-31,16723252,1.74
1976-12-31,16987170,1.58
1977-12-31,17231389,1.44
1978-12-31,17472094,1.4
1979-12-31,17719172,1.41
1980-12-31,17973650,1.44
1981-12-31,18235202,1.46
1982-12-31,18502087,1.46
1983-12-31,18771363,1.46
1984-12-31,19045154,1.46
1985-12-31,19325487,1.47
1986-12-31,19613038,1.49
1987-12-31,19903893,1.48
1988-12-31,20197464,1.47
1989-12-31,20494965,1.47
1990-12-31,20799523,1.49
1991-12-31,21115534,1.52
1992-12-31,21439991,1.54
1993-12-31,21773017,1.55
1994-12-31,22105225,1.53
1995-12-31,22385536,1.27
1996-12-31,22614347,1.02
1997-12-31,22827373,0.94
1998-12-31,23023636,0.86
1999-12-31,23204498,0.79
2000-12-31,23367059,0.7
2001-12-31,23512522,0.62
2002-12-31,23638411,0.54
2003-12-31,23781707,0.61
2004-12-31,23948930,0.7
2005-12-31,24100982,0.63
2006-12-31,24235761,0.56
2007-12-31,24356506,0.5
2008-12-31,24469047,0.46
2009-12-31,24581509,0.46
2010-12-31,24686435,0.43
2011-12-31,24783789,0.39
2012-12-31,24887770,0.42
2013-12-31,25001819,0.46
2014-12-31,25126131,0.5
2015-12-31,25258015,0.52
2016-12-31,25389611,0.52
2017-12-31,25516321,0.5
2018-12-31,25638149,0.48
2019-12-31,25755441,0.46
2020-12-31,25867467,0.43
2021-12-31,25971909,0.4
2022-12-31,26069416,0.38
2023-12-31,26160821,0.35
2024-12-31,26244582,0.32
2025-12-31,26319924,0.29
2026-12-31,26387425,0.26
2027-12-31,26446694,0.22
2028-12-31,26497102,0.19
2029-12-31,26537870,0.15
2030-12-31,26569401,0.12
2031-12-31,26592481,0.09
2032-12-31,26606610,0.05
2033-12-31,26611771,0.02
2034-12-31,26608668,-0.01
2035-12-31,26598048,-0.04
2036-12-31,26579554,-0.07
2037-12-31,26553492,-0.1
2038-12-31,26521434,-0.12
2039-12-31,26484115,-0.14
2040-12-31,26441399,-0.16
2041-12-31,26393589,-0.18
2042-12-31,26341393,-0.2
2043-12-31,26285495,-0.21
2044-12-31,26226715,-0.22
2045-12-31,26165201,-0.23
2046-12-31,26100272,-0.25
2047-12-31,26032162,-0.26
2048-12-31,25960806,-0.27
2049-12-31,25885944,-0.29
2050-12-31,25807197,-0.3
2051-12-31,25724769,-0.32
2052-12-31,25639389,-0.33
2053-12-31,25551077,-0.34
2054-12-31,25460057,-0.36
2055-12-31,25365629,-0.37
2056-12-31,25267753,-0.39
2057-12-31,25167693,-0.4
2058-12-31,25065631,-0.41
2059-12-31,24961267,-0.42
2060-12-31,24854656,-0.43
2061-12-31,24746465,-0.44
2062-12-31,24637689,-0.44
2063-12-31,24527925,-0.45
2064-12-31,24417143,-0.45
2065-12-31,24305828,-0.46
2066-12-31,24194404,-0.46
2067-12-31,24083169,-0.46
2068-12-31,23972107,-0.46
2069-12-31,23861607,-0.46
2070-12-31,23751608,-0.46
2071-12-31,23641750,-0.46
2072-12-31,23532343,-0.46
2073-12-31,23423544,-0.46
2074-12-31,23314572,-0.47
2075-12-31,23205032,-0.47
2076-12-31,23095429,-0.47
2077-12-31,22985842,-0.47
2078-12-31,22876095,-0.48
2079-12-31,22766130,-0.48
2080-12-31,22656034,-0.48
2081-12-31,22546087,-0.49
2082-12-31,22436040,-0.49
2083-12-31,22326143,-0.49
2084-12-31,22216511,-0.49
2085-12-31,22107246,-0.49
2086-12-31,21998415,-0.49
2087-12-31,21889487,-0.5
2088-12-31,21780217,-0.5
2089-12-31,21670618,-0.5
2090-12-31,21561196,-0.5
2091-12-31,21451653,-0.51
2092-12-31,21341875,-0.51
2093-12-31,21232601,-0.51
2094-12-31,21123775,-0.51
2095-12-31,21015250,-0.51
2096-12-31,20906897,-0.52
2097-12-31,20798643,-0.52
2098-12-31,20690465,-0.52
2099-12-31,20582157,-0.52
2100-12-31,20473590,-0.53
