Macrotrends Data Download

Oman Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,457317
1951-12-31,463719,1.4
1952-12-31,470396,1.44
1953-12-31,477401,1.49
1954-12-31,484741,1.54
1955-12-31,492416,1.58
1956-12-31,500443,1.63
1957-12-31,508853,1.68
1958-12-31,517707,1.74
1959-12-31,527029,1.8
1960-12-31,536553,1.81
1961-12-31,546443,1.84
1962-12-31,557139,1.96
1963-12-31,568603,2.06
1964-12-31,580824,2.15
1965-12-31,593808,2.24
1966-12-31,607538,2.31
1967-12-31,622042,2.39
1968-12-31,637379,2.47
1969-12-31,653593,2.54
1970-12-31,670693,2.62
1971-12-31,688803,2.7
1972-12-31,708045,2.79
1973-12-31,728597,2.9
1974-12-31,754676,3.58
1975-12-31,787194,4.31
1976-12-31,824081,4.69
1977-12-31,866124,5.1
1978-12-31,912750,5.38
1979-12-31,963351,5.54
1980-12-31,1017462,5.62
1981-12-31,1075624,5.72
1982-12-31,1138301,5.83
1983-12-31,1204626,5.83
1984-12-31,1273306,5.7
1985-12-31,1353289,6.28
1986-12-31,1443446,6.66
1987-12-31,1533351,6.23
1988-12-31,1623433,5.87
1989-12-31,1713838,5.57
1990-12-31,1804524,5.29
1991-12-31,1895187,5.02
1992-12-31,1985227,4.75
1993-12-31,2071868,4.36
1994-12-31,2133675,2.98
1995-12-31,2172672,1.83
1996-12-31,2209958,1.72
1997-12-31,2245588,1.61
1998-12-31,2279727,1.52
1999-12-31,2312600,1.44
2000-12-31,2344253,1.37
2001-12-31,2374653,1.3
2002-12-31,2403659,1.22
2003-12-31,2431600,1.16
2004-12-31,2468855,1.53
2005-12-31,2515192,1.88
2006-12-31,2560649,1.81
2007-12-31,2605700,1.76
2008-12-31,2651028,1.74
2009-12-31,2697537,1.75
2010-12-31,2881914,6.84
2011-12-31,3206870,11.28
2012-12-31,3535579,10.25
2013-12-31,3816680,7.95
2014-12-31,4009267,5.05
2015-12-31,4191776,4.55
2016-12-31,4398070,4.92
2017-12-31,4541854,3.27
2018-12-31,4601157,1.31
2019-12-31,4602768,0.04
2020-12-31,4543399,-1.29
2021-12-31,4520471,-0.5
2022-12-31,4576298,1.23
2023-12-31,4644384,1.49
2024-12-31,4713553,1.49
2025-12-31,4780706,1.42
2026-12-31,4846014,1.37
2027-12-31,4909747,1.32
2028-12-31,4972087,1.27
2029-12-31,5033246,1.23
2030-12-31,5093376,1.19
2031-12-31,5152792,1.17
2032-12-31,5211645,1.14
2033-12-31,5270150,1.12
2034-12-31,5328579,1.11
2035-12-31,5387135,1.1
2036-12-31,5446192,1.1
2037-12-31,5505926,1.1
2038-12-31,5566306,1.1
2039-12-31,5627456,1.1
2040-12-31,5689446,1.1
2041-12-31,5752240,1.1
2042-12-31,5815752,1.1
2043-12-31,5879774,1.1
2044-12-31,5944240,1.1
2045-12-31,6008877,1.09
2046-12-31,6073623,1.08
2047-12-31,6138380,1.07
2048-12-31,6202674,1.05
2049-12-31,6266279,1.03
2050-12-31,6328978,1
2051-12-31,6390502,0.97
2052-12-31,6450747,0.94
2053-12-31,6509495,0.91
2054-12-31,6566651,0.88
2055-12-31,6622056,0.84
2056-12-31,6675450,0.81
2057-12-31,6726823,0.77
2058-12-31,6776117,0.73
2059-12-31,6823245,0.7
2060-12-31,6868026,0.66
2061-12-31,6910490,0.62
2062-12-31,6950766,0.58
2063-12-31,6988744,0.55
2064-12-31,7024647,0.51
2065-12-31,7058756,0.49
2066-12-31,7091164,0.46
2067-12-31,7121950,0.43
2068-12-31,7151384,0.41
2069-12-31,7179778,0.4
2070-12-31,7206947,0.38
2071-12-31,7232868,0.36
2072-12-31,7257767,0.34
2073-12-31,7281810,0.33
2074-12-31,7305170,0.32
2075-12-31,7327914,0.31
2076-12-31,7350113,0.3
2077-12-31,7371818,0.3
2078-12-31,7393126,0.29
2079-12-31,7414193,0.28
2080-12-31,7435110,0.28
2081-12-31,7455912,0.28
2082-12-31,7476784,0.28
2083-12-31,7497719,0.28
2084-12-31,7518523,0.28
2085-12-31,7539311,0.28
2086-12-31,7560093,0.28
2087-12-31,7580887,0.28
2088-12-31,7601891,0.28
2089-12-31,7623168,0.28
2090-12-31,7644485,0.28
2091-12-31,7665726,0.28
2092-12-31,7686885,0.28
2093-12-31,7707818,0.27
2094-12-31,7728411,0.27
2095-12-31,7748561,0.26
2096-12-31,7768189,0.25
2097-12-31,7787131,0.24
2098-12-31,7805278,0.23
2099-12-31,7822618,0.22
2100-12-31,7838991,0.21
