Macrotrends Data Download

Philippines Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,18469878
1951-12-31,19301117,4.5
1952-12-31,20167861,4.49
1953-12-31,21073747,4.49
1954-12-31,22025355,4.52
1955-12-31,23027910,4.55
1956-12-31,24079343,4.57
1957-12-31,25175946,4.55
1958-12-31,26302696,4.48
1959-12-31,27460371,4.4
1960-12-31,28486871,3.74
1961-12-31,29342411,3
1962-12-31,30185979,2.87
1963-12-31,31043711,2.84
1964-12-31,31916622,2.81
1965-12-31,32805538,2.79
1966-12-31,33704749,2.74
1967-12-31,34616857,2.71
1968-12-31,35544973,2.68
1969-12-31,36477170,2.62
1970-12-31,37435586,2.63
1971-12-31,38421746,2.63
1972-12-31,39412479,2.58
1973-12-31,40406234,2.52
1974-12-31,41388324,2.43
1975-12-31,42394433,2.43
1976-12-31,43474370,2.55
1977-12-31,44646518,2.7
1978-12-31,45890739,2.79
1979-12-31,47154232,2.75
1980-12-31,48419546,2.68
1981-12-31,49679330,2.6
1982-12-31,50938522,2.53
1983-12-31,52219685,2.52
1984-12-31,53514959,2.48
1985-12-31,54812660,2.42
1986-12-31,56109838,2.37
1987-12-31,57415175,2.33
1988-12-31,58755923,2.34
1989-12-31,60127343,2.33
1990-12-31,61558898,2.38
1991-12-31,63039751,2.41
1992-12-31,64543525,2.39
1993-12-31,66083321,2.39
1994-12-31,67650283,2.37
1995-12-31,69250468,2.37
1996-12-31,70944969,2.45
1997-12-31,72718837,2.5
1998-12-31,74491918,2.44
1999-12-31,76249064,2.36
2000-12-31,77958223,2.24
2001-12-31,79626086,2.14
2002-12-31,81285572,2.08
2003-12-31,82942837,2.04
2004-12-31,84607501,2.01
2005-12-31,86261250,1.95
2006-12-31,87901835,1.9
2007-12-31,89561377,1.89
2008-12-31,91252326,1.89
2009-12-31,92946951,1.86
2010-12-31,94636700,1.82
2011-12-31,96337913,1.8
2012-12-31,98032317,1.76
2013-12-31,99700107,1.7
2014-12-31,101325201,1.63
2015-12-31,103031365,1.68
2016-12-31,104875266,1.79
2017-12-31,106738501,1.78
2018-12-31,108568836,1.71
2019-12-31,110380804,1.67
2020-12-31,112190977,1.64
2021-12-31,113880328,1.51
2022-12-31,115559009,1.47
2023-12-31,117337368,1.54
2024-12-31,119106224,1.51
2025-12-31,120864358,1.48
2026-12-31,122610193,1.44
2027-12-31,124343503,1.41
2028-12-31,126062041,1.38
2029-12-31,127766369,1.35
2030-12-31,129453321,1.32
2031-12-31,131122947,1.29
2032-12-31,132771740,1.26
2033-12-31,134393296,1.22
2034-12-31,135989261,1.19
2035-12-31,137561513,1.16
2036-12-31,139105043,1.12
2037-12-31,140621204,1.09
2038-12-31,142116809,1.06
2039-12-31,143584902,1.03
2040-12-31,145022250,1
2041-12-31,146428606,0.97
2042-12-31,147801667,0.94
2043-12-31,149149914,0.91
2044-12-31,150475799,0.89
2045-12-31,151774780,0.86
2046-12-31,153050505,0.84
2047-12-31,154302926,0.82
2048-12-31,155526647,0.79
2049-12-31,156722225,0.77
2050-12-31,157891622,0.75
2051-12-31,159037644,0.73
2052-12-31,160155640,0.7
2053-12-31,161244155,0.68
2054-12-31,162304916,0.66
2055-12-31,163333449,0.63
2056-12-31,164330938,0.61
2057-12-31,165298821,0.59
2058-12-31,166233520,0.57
2059-12-31,167137826,0.54
2060-12-31,168013229,0.52
2061-12-31,168858840,0.5
2062-12-31,169680323,0.49
2063-12-31,170475447,0.47
2064-12-31,171236142,0.45
2065-12-31,171966368,0.43
2066-12-31,172664661,0.41
2067-12-31,173325462,0.38
2068-12-31,173957570,0.36
2069-12-31,174561834,0.35
2070-12-31,175134198,0.33
2071-12-31,175676153,0.31
2072-12-31,176192679,0.29
2073-12-31,176685171,0.28
2074-12-31,177148861,0.26
2075-12-31,177582652,0.24
2076-12-31,177983739,0.23
2077-12-31,178354719,0.21
2078-12-31,178695524,0.19
2079-12-31,179008373,0.18
2080-12-31,179298622,0.16
2081-12-31,179562975,0.15
2082-12-31,179798345,0.13
2083-12-31,180006580,0.12
2084-12-31,180191815,0.1
2085-12-31,180351071,0.09
2086-12-31,180487797,0.08
2087-12-31,180605470,0.07
2088-12-31,180702317,0.05
2089-12-31,180776265,0.04
2090-12-31,180828935,0.03
2091-12-31,180858740,0.02
2092-12-31,180862508,0
2093-12-31,180841424,-0.01
2094-12-31,180799612,-0.02
2095-12-31,180740375,-0.03
2096-12-31,180663641,-0.04
2097-12-31,180568223,-0.05
2098-12-31,180449693,-0.07
2099-12-31,180310247,-0.08
2100-12-31,180147660,-0.09
