Macrotrends Data Download

Singapore Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1006701
1951-12-31,1048937,4.2
1952-12-31,1096232,4.51
1953-12-31,1148751,4.79
1954-12-31,1206218,5
1955-12-31,1267611,5.09
1956-12-31,1332581,5.13
1957-12-31,1400696,5.11
1958-12-31,1469690,4.93
1959-12-31,1538021,4.65
1960-12-31,1601079,4.1
1961-12-31,1657549,3.53
1962-12-31,1711053,3.23
1963-12-31,1762516,3.01
1964-12-31,1812329,2.83
1965-12-31,1860651,2.67
1966-12-31,1906846,2.48
1967-12-31,1950283,2.28
1968-12-31,1990676,2.07
1969-12-31,2027411,1.85
1970-12-31,2061831,1.7
1971-12-31,2095900,1.65
1972-12-31,2131565,1.7
1973-12-31,2168363,1.73
1974-12-31,2202329,1.57
1975-12-31,2232425,1.37
1976-12-31,2261936,1.32
1977-12-31,2292166,1.34
1978-12-31,2323251,1.36
1979-12-31,2358229,1.51
1980-12-31,2400729,1.8
1981-12-31,2451722,2.12
1982-12-31,2507219,2.26
1983-12-31,2564773,2.3
1984-12-31,2624370,2.32
1985-12-31,2685994,2.35
1986-12-31,2749727,2.37
1987-12-31,2814742,2.36
1988-12-31,2880504,2.34
1989-12-31,2945693,2.26
1990-12-31,3022209,2.6
1991-12-31,3120620,3.26
1992-12-31,3228231,3.45
1993-12-31,3334131,3.28
1994-12-31,3438613,3.13
1995-12-31,3543875,3.06
1996-12-31,3651903,3.05
1997-12-31,3760649,2.98
1998-12-31,3866293,2.81
1999-12-31,3966481,2.59
2000-12-31,4053602,2.2
2001-12-31,4121337,1.67
2002-12-31,4176794,1.35
2003-12-31,4226413,1.19
2004-12-31,4270401,1.04
2005-12-31,4344637,1.74
2006-12-31,4486583,3.27
2007-12-31,4663256,3.94
2008-12-31,4838402,3.76
2009-12-31,5010704,3.56
2010-12-31,5163590,3.05
2011-12-31,5281344,2.28
2012-12-31,5381005,1.89
2013-12-31,5478055,1.8
2014-12-31,5570502,1.69
2015-12-31,5650018,1.43
2016-12-31,5711933,1.1
2017-12-31,5764487,0.92
2018-12-31,5814537,0.87
2019-12-31,5866405,0.89
2020-12-31,5909869,0.74
2021-12-31,5941060,0.53
2022-12-31,5975689,0.58
2023-12-31,6014723,0.65
2024-12-31,6052709,0.63
2025-12-31,6089541,0.61
2026-12-31,6125154,0.58
2027-12-31,6159440,0.56
2028-12-31,6192172,0.53
2029-12-31,6223066,0.5
2030-12-31,6251988,0.46
2031-12-31,6278864,0.43
2032-12-31,6303417,0.39
2033-12-31,6325533,0.35
2034-12-31,6345049,0.31
2035-12-31,6361936,0.27
2036-12-31,6376275,0.23
2037-12-31,6387977,0.18
2038-12-31,6397036,0.14
2039-12-31,6403564,0.1
2040-12-31,6407736,0.07
2041-12-31,6409441,0.03
2042-12-31,6408677,-0.01
2043-12-31,6405781,-0.05
2044-12-31,6400931,-0.08
2045-12-31,6394197,-0.11
2046-12-31,6385724,-0.13
2047-12-31,6375719,-0.16
2048-12-31,6364240,-0.18
2049-12-31,6351377,-0.2
2050-12-31,6337235,-0.22
2051-12-31,6321940,-0.24
2052-12-31,6305655,-0.26
2053-12-31,6288386,-0.27
2054-12-31,6270241,-0.29
2055-12-31,6251491,-0.3
2056-12-31,6232164,-0.31
2057-12-31,6212227,-0.32
2058-12-31,6191813,-0.33
2059-12-31,6170998,-0.34
2060-12-31,6149811,-0.34
2061-12-31,6128514,-0.35
2062-12-31,6107035,-0.35
2063-12-31,6085275,-0.36
2064-12-31,6063338,-0.36
2065-12-31,6041188,-0.37
2066-12-31,6018953,-0.37
2067-12-31,5996711,-0.37
2068-12-31,5974448,-0.37
2069-12-31,5952202,-0.37
2070-12-31,5929935,-0.37
2071-12-31,5907684,-0.38
2072-12-31,5885535,-0.37
2073-12-31,5863386,-0.38
2074-12-31,5841307,-0.38
2075-12-31,5819517,-0.37
2076-12-31,5798091,-0.37
2077-12-31,5777011,-0.36
2078-12-31,5756184,-0.36
2079-12-31,5735623,-0.36
2080-12-31,5715498,-0.35
2081-12-31,5695770,-0.35
2082-12-31,5676525,-0.34
2083-12-31,5657915,-0.33
2084-12-31,5639880,-0.32
2085-12-31,5622316,-0.31
2086-12-31,5605212,-0.3
2087-12-31,5588666,-0.3
2088-12-31,5572726,-0.29
2089-12-31,5557491,-0.27
2090-12-31,5542950,-0.26
2091-12-31,5529074,-0.25
2092-12-31,5515952,-0.24
2093-12-31,5503641,-0.22
2094-12-31,5492358,-0.21
2095-12-31,5482102,-0.19
2096-12-31,5472797,-0.17
2097-12-31,5464551,-0.15
2098-12-31,5457422,-0.13
2099-12-31,5451408,-0.11
2100-12-31,5446430,-0.09
