Macrotrends Data Download

Taiwan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,7623130
1951-12-31,7934689,4.09
1952-12-31,8251039,3.99
1953-12-31,8572131,3.89
1954-12-31,8897776,3.8
1955-12-31,9229462,3.73
1956-12-31,9567049,3.66
1957-12-31,9909453,3.58
1958-12-31,10256963,3.51
1959-12-31,10612773,3.47
1960-12-31,10983147,3.49
1961-12-31,11371850,3.54
1962-12-31,11779051,3.58
1963-12-31,12200148,3.57
1964-12-31,12630946,3.53
1965-12-31,13070708,3.48
1966-12-31,13515900,3.41
1967-12-31,13917831,2.97
1968-12-31,14271112,2.54
1969-12-31,14617237,2.43
1970-12-31,14957870,2.33
1971-12-31,15292065,2.23
1972-12-31,15617414,2.13
1973-12-31,15933845,2.03
1974-12-31,16243905,1.95
1975-12-31,16551774,1.9
1976-12-31,16860821,1.87
1977-12-31,17171482,1.84
1978-12-31,17482884,1.81
1979-12-31,17793465,1.78
1980-12-31,18100281,1.72
1981-12-31,18400556,1.66
1982-12-31,18692874,1.59
1983-12-31,18976104,1.52
1984-12-31,19249250,1.44
1985-12-31,19511876,1.36
1986-12-31,19761790,1.28
1987-12-31,19995931,1.18
1988-12-31,20211361,1.08
1989-12-31,20404386,0.96
1990-12-31,20586174,0.89
1991-12-31,20770620,0.9
1992-12-31,20952222,0.87
1993-12-31,21125717,0.83
1994-12-31,21293437,0.79
1995-12-31,21455813,0.76
1996-12-31,21612429,0.73
1997-12-31,21764843,0.71
1998-12-31,21913672,0.68
1999-12-31,22057214,0.66
2000-12-31,22194731,0.62
2001-12-31,22333125,0.62
2002-12-31,22469616,0.61
2003-12-31,22593681,0.55
2004-12-31,22703099,0.48
2005-12-31,22796306,0.41
2006-12-31,22874975,0.35
2007-12-31,22942308,0.29
2008-12-31,22998321,0.24
2009-12-31,23044082,0.2
2010-12-31,23083083,0.17
2011-12-31,23143071,0.26
2012-12-31,23234058,0.39
2013-12-31,23330334,0.41
2014-12-31,23422513,0.4
2015-12-31,23512136,0.38
2016-12-31,23594471,0.35
2017-12-31,23665024,0.3
2018-12-31,23726185,0.26
2019-12-31,23777737,0.22
2020-12-31,23821464,0.18
2021-12-31,23859912,0.16
2022-12-31,23893394,0.14
2023-12-31,23923276,0.13
2024-12-31,23950214,0.11
2025-12-31,23974031,0.1
2026-12-31,23994081,0.08
2027-12-31,24009993,0.07
2028-12-31,24021443,0.05
2029-12-31,24027582,0.03
2030-12-31,24027999,0
2031-12-31,24021923,-0.03
2032-12-31,24009135,-0.05
2033-12-31,23989011,-0.08
2034-12-31,23960879,-0.12
2035-12-31,23924394,-0.15
2036-12-31,23878755,-0.19
2037-12-31,23824250,-0.23
2038-12-31,23761037,-0.27
2039-12-31,23689050,-0.3
2040-12-31,23608730,-0.34
2041-12-31,23520143,-0.38
2042-12-31,23423626,-0.41
2043-12-31,23320094,-0.44
2044-12-31,23210464,-0.47
2045-12-31,23095226,-0.5
2046-12-31,22974401,-0.52
2047-12-31,22848796,-0.55
2048-12-31,22718573,-0.57
2049-12-31,22583802,-0.59
2050-12-31,22445526,-0.61
2051-12-31,22304342,-0.63
2052-12-31,22160392,-0.65
2053-12-31,22014123,-0.66
2054-12-31,21865867,-0.67
2055-12-31,21715382,-0.69
2056-12-31,21562779,-0.7
2057-12-31,21408127,-0.72
2058-12-31,21251546,-0.73
2059-12-31,21093221,-0.75
2060-12-31,20933349,-0.76
2061-12-31,20772362,-0.77
2062-12-31,20610310,-0.78
2063-12-31,20447271,-0.79
2064-12-31,20283701,-0.8
2065-12-31,20119406,-0.81
2066-12-31,19954141,-0.82
2067-12-31,19788160,-0.83
2068-12-31,19621456,-0.84
2069-12-31,19453750,-0.85
2070-12-31,19285584,-0.86
2071-12-31,19117356,-0.87
2072-12-31,18948842,-0.88
2073-12-31,18779929,-0.89
2074-12-31,18610660,-0.9
2075-12-31,18441499,-0.91
2076-12-31,18273347,-0.91
2077-12-31,18106843,-0.91
2078-12-31,17942243,-0.91
2079-12-31,17780036,-0.9
2080-12-31,17620484,-0.9
2081-12-31,17464030,-0.89
2082-12-31,17311039,-0.88
2083-12-31,17161481,-0.86
2084-12-31,17015878,-0.85
2085-12-31,16874595,-0.83
2086-12-31,16737248,-0.81
2087-12-31,16604035,-0.8
2088-12-31,16475108,-0.78
2089-12-31,16350175,-0.76
2090-12-31,16229639,-0.74
2091-12-31,16113138,-0.72
2092-12-31,16000330,-0.7
2093-12-31,15891727,-0.68
2094-12-31,15787376,-0.66
2095-12-31,15686916,-0.64
2096-12-31,15590180,-0.62
2097-12-31,15497260,-0.6
2098-12-31,15408434,-0.57
2099-12-31,15323545,-0.55
2100-12-31,15241961,-0.53
