Macrotrends Data Download

Thailand Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,20411638
1951-12-31,20914570,2.46
1952-12-31,21443932,2.53
1953-12-31,21994681,2.57
1954-12-31,22569794,2.61
1955-12-31,23173970,2.68
1956-12-31,23805336,2.72
1957-12-31,24462194,2.76
1958-12-31,25135270,2.75
1959-12-31,25840323,2.81
1960-12-31,26596584,2.93
1961-12-31,27399963,3.02
1962-12-31,28242174,3.07
1963-12-31,29114124,3.09
1964-12-31,30013573,3.09
1965-12-31,30940270,3.09
1966-12-31,31883754,3.05
1967-12-31,32839341,3
1968-12-31,33807357,2.95
1969-12-31,34787583,2.9
1970-12-31,35791728,2.89
1971-12-31,36807997,2.84
1972-12-31,37834384,2.79
1973-12-31,38873060,2.75
1974-12-31,39900961,2.64
1975-12-31,40908471,2.53
1976-12-31,41882128,2.38
1977-12-31,42843802,2.3
1978-12-31,43806715,2.25
1979-12-31,44760091,2.18
1980-12-31,45737753,2.18
1981-12-31,46727292,2.16
1982-12-31,47700340,2.08
1983-12-31,48670565,2.03
1984-12-31,49636724,1.99
1985-12-31,50594940,1.93
1986-12-31,51542094,1.87
1987-12-31,52479181,1.82
1988-12-31,53410965,1.78
1989-12-31,54324004,1.71
1990-12-31,55228410,1.66
1991-12-31,56099865,1.58
1992-12-31,56939020,1.5
1993-12-31,57776082,1.47
1994-12-31,58610010,1.44
1995-12-31,59424834,1.39
1996-12-31,60211096,1.32
1997-12-31,60989108,1.29
1998-12-31,61745217,1.24
1999-12-31,62442651,1.13
2000-12-31,63066603,1
2001-12-31,63649892,0.92
2002-12-31,64222580,0.9
2003-12-31,64776956,0.86
2004-12-31,65311166,0.82
2005-12-31,65821360,0.78
2006-12-31,66319525,0.76
2007-12-31,66826754,0.76
2008-12-31,67328239,0.75
2009-12-31,67813654,0.72
2010-12-31,68270489,0.67
2011-12-31,68712846,0.65
2012-12-31,69157023,0.65
2013-12-31,69578602,0.61
2014-12-31,69960943,0.55
2015-12-31,70294397,0.48
2016-12-31,70607037,0.44
2017-12-31,70898202,0.41
2018-12-31,71127802,0.32
2019-12-31,71307763,0.25
2020-12-31,71475664,0.24
2021-12-31,71601103,0.18
2022-12-31,71697030,0.13
2023-12-31,71801279,0.15
2024-12-31,71885799,0.12
2025-12-31,71953054,0.09
2026-12-31,72005720,0.07
2027-12-31,72043300,0.05
2028-12-31,72065413,0.03
2029-12-31,72071120,0.01
2030-12-31,72060018,-0.02
2031-12-31,72032081,-0.04
2032-12-31,71987707,-0.06
2033-12-31,71924682,-0.09
2034-12-31,71841240,-0.12
2035-12-31,71737106,-0.14
2036-12-31,71612807,-0.17
2037-12-31,71469353,-0.2
2038-12-31,71305381,-0.23
2039-12-31,71120475,-0.26
2040-12-31,70916075,-0.29
2041-12-31,70693792,-0.31
2042-12-31,70453178,-0.34
2043-12-31,70193472,-0.37
2044-12-31,69915845,-0.4
2045-12-31,69620972,-0.42
2046-12-31,69308194,-0.45
2047-12-31,68977527,-0.48
2048-12-31,68629306,-0.5
2049-12-31,68263020,-0.53
2050-12-31,67880083,-0.56
2051-12-31,67481960,-0.59
2052-12-31,67068225,-0.61
2053-12-31,66639824,-0.64
2054-12-31,66199173,-0.66
2055-12-31,65747460,-0.68
2056-12-31,65285438,-0.7
2057-12-31,64814652,-0.72
2058-12-31,64337658,-0.74
2059-12-31,63855557,-0.75
2060-12-31,63367613,-0.76
2061-12-31,62874587,-0.78
2062-12-31,62378160,-0.79
2063-12-31,61879916,-0.8
2064-12-31,61380325,-0.81
2065-12-31,60879782,-0.82
2066-12-31,60378734,-0.82
2067-12-31,59878298,-0.83
2068-12-31,59379309,-0.83
2069-12-31,58881868,-0.84
2070-12-31,58385779,-0.84
2071-12-31,57891537,-0.85
2072-12-31,57399611,-0.85
2073-12-31,56907721,-0.86
2074-12-31,56416293,-0.86
2075-12-31,55927096,-0.87
2076-12-31,55439800,-0.87
2077-12-31,54954188,-0.88
2078-12-31,54470120,-0.88
2079-12-31,53987416,-0.89
2080-12-31,53504745,-0.89
2081-12-31,53023103,-0.9
2082-12-31,52544293,-0.9
2083-12-31,52067935,-0.91
2084-12-31,51594103,-0.91
2085-12-31,51122172,-0.91
2086-12-31,50652462,-0.92
2087-12-31,50185675,-0.92
2088-12-31,49722423,-0.92
2089-12-31,49263211,-0.92
2090-12-31,48807874,-0.92
2091-12-31,48357406,-0.92
2092-12-31,47912248,-0.92
2093-12-31,47472578,-0.92
2094-12-31,47038536,-0.91
2095-12-31,46610096,-0.91
2096-12-31,46187993,-0.91
2097-12-31,45773240,-0.9
2098-12-31,45365986,-0.89
2099-12-31,44965396,-0.88
2100-12-31,44570978,-0.88
