Macrotrends Data Download

Uae Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,74591
1951-12-31,79763,6.93
1952-12-31,85091,6.68
1953-12-31,90559,6.43
1954-12-31,96136,6.16
1955-12-31,101803,5.89
1956-12-31,107563,5.66
1957-12-31,113430,5.45
1958-12-31,119606,5.44
1959-12-31,126278,5.58
1960-12-31,133426,5.66
1961-12-31,140984,5.66
1962-12-31,148877,5.6
1963-12-31,157006,5.46
1964-12-31,165305,5.29
1965-12-31,173797,5.14
1966-12-31,182509,5.01
1967-12-31,191404,4.87
1968-12-31,213582,11.59
1969-12-31,253261,18.58
1970-12-31,298084,17.7
1971-12-31,344513,15.58
1972-12-31,392368,13.89
1973-12-31,441546,12.53
1974-12-31,491955,11.42
1975-12-31,543394,10.46
1976-12-31,614177,13.03
1977-12-31,706861,15.09
1978-12-31,805231,13.92
1979-12-31,908452,12.82
1980-12-31,1014048,11.62
1981-12-31,1100180,8.49
1982-12-31,1167856,6.15
1983-12-31,1237572,5.97
1984-12-31,1308331,5.72
1985-12-31,1379536,5.44
1986-12-31,1468697,6.46
1987-12-31,1575909,7.3
1988-12-31,1683681,6.84
1989-12-31,1791840,6.42
1990-12-31,1900151,6.04
1991-12-31,2008383,5.7
1992-12-31,2116231,5.37
1993-12-31,2223284,5.06
1994-12-31,2329024,4.76
1995-12-31,2433988,4.51
1996-12-31,2572735,5.7
1997-12-31,2746119,6.74
1998-12-31,2921130,6.37
1999-12-31,3097563,6.04
2000-12-31,3275333,5.74
2001-12-31,3454198,5.46
2002-12-31,3633655,5.2
2003-12-31,3813443,4.95
2004-12-31,3993339,4.72
2005-12-31,4280993,7.2
2006-12-31,4898954,14.43
2007-12-31,5872624,19.88
2008-12-31,6988685,19
2009-12-31,7992644,14.37
2010-12-31,8481771,6.12
2011-12-31,8575205,1.1
2012-12-31,8664969,1.05
2013-12-31,8751847,1
2014-12-31,8835951,0.96
2015-12-31,8916899,0.92
2016-12-31,8994263,0.87
2017-12-31,9068296,0.82
2018-12-31,9140169,0.79
2019-12-31,9211657,0.78
2020-12-31,9287289,0.82
2021-12-31,9365145,0.84
2022-12-31,9441129,0.81
2023-12-31,9516871,0.8
2024-12-31,9591853,0.79
2025-12-31,9665319,0.77
2026-12-31,9737048,0.74
2027-12-31,9806692,0.72
2028-12-31,9874281,0.69
2029-12-31,9940085,0.67
2030-12-31,10004319,0.65
2031-12-31,10067403,0.63
2032-12-31,10130008,0.62
2033-12-31,10192521,0.62
2034-12-31,10255434,0.62
2035-12-31,10319346,0.62
2036-12-31,10384576,0.63
2037-12-31,10451479,0.64
2038-12-31,10520193,0.66
2039-12-31,10590827,0.67
2040-12-31,10663646,0.69
2041-12-31,10738862,0.71
2042-12-31,10815996,0.72
2043-12-31,10894640,0.73
2044-12-31,10974581,0.73
2045-12-31,11055055,0.73
2046-12-31,11135424,0.73
2047-12-31,11215445,0.72
2048-12-31,11294748,0.71
2049-12-31,11372877,0.69
2050-12-31,11449471,0.67
2051-12-31,11524162,0.65
2052-12-31,11597023,0.63
2053-12-31,11667559,0.61
2054-12-31,11735811,0.58
2055-12-31,11802008,0.56
2056-12-31,11865647,0.54
2057-12-31,11926314,0.51
2058-12-31,11983826,0.48
2059-12-31,12038516,0.46
2060-12-31,12090435,0.43
2061-12-31,12139321,0.4
2062-12-31,12185176,0.38
2063-12-31,12228290,0.35
2064-12-31,12268970,0.33
2065-12-31,12307668,0.32
2066-12-31,12344529,0.3
2067-12-31,12379844,0.29
2068-12-31,12413765,0.27
2069-12-31,12446666,0.27
2070-12-31,12479516,0.26
2071-12-31,12512384,0.26
2072-12-31,12545517,0.26
2073-12-31,12579359,0.27
2074-12-31,12614315,0.28
2075-12-31,12650961,0.29
2076-12-31,12689084,0.3
2077-12-31,12728673,0.31
2078-12-31,12769703,0.32
2079-12-31,12812636,0.34
2080-12-31,12857872,0.35
2081-12-31,12905140,0.37
2082-12-31,12954708,0.38
2083-12-31,13006260,0.4
2084-12-31,13059694,0.41
2085-12-31,13115309,0.43
2086-12-31,13172880,0.44
2087-12-31,13232272,0.45
2088-12-31,13293235,0.46
2089-12-31,13355526,0.47
2090-12-31,13419057,0.48
2091-12-31,13483806,0.48
2092-12-31,13549752,0.49
2093-12-31,13616576,0.49
2094-12-31,13684100,0.5
2095-12-31,13751870,0.5
2096-12-31,13819400,0.49
2097-12-31,13886687,0.49
2098-12-31,13954034,0.48
2099-12-31,14021551,0.48
2100-12-31,14089004,0.48
