Macrotrends Data Download

Uzbekistan Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,6247550
1951-12-31,6408801,2.58
1952-12-31,6576712,2.62
1953-12-31,6754273,2.7
1954-12-31,6941899,2.78
1955-12-31,7141923,2.88
1956-12-31,7355995,3
1957-12-31,7582900,3.08
1958-12-31,7824361,3.18
1959-12-31,8085506,3.34
1960-12-31,8372311,3.55
1961-12-31,8692048,3.82
1962-12-31,9038222,3.98
1963-12-31,9394588,3.94
1964-12-31,9758147,3.87
1965-12-31,10130096,3.81
1966-12-31,10504969,3.7
1967-12-31,10881533,3.58
1968-12-31,11261600,3.49
1969-12-31,11641640,3.37
1970-12-31,12011361,3.18
1971-12-31,12370120,2.99
1972-12-31,12733242,2.94
1973-12-31,13107928,2.94
1974-12-31,13494711,2.95
1975-12-31,13894347,2.96
1976-12-31,14307397,2.97
1977-12-31,14731709,2.97
1978-12-31,15154314,2.87
1979-12-31,15558907,2.67
1980-12-31,15947129,2.5
1981-12-31,16335642,2.44
1982-12-31,16735643,2.45
1983-12-31,17152857,2.49
1984-12-31,17594364,2.57
1985-12-31,18063201,2.66
1986-12-31,18560008,2.75
1987-12-31,19077170,2.79
1988-12-31,19600028,2.74
1989-12-31,20102902,2.57
1990-12-31,20579100,2.37
1991-12-31,21074304,2.41
1992-12-31,21588138,2.44
1993-12-31,22085918,2.31
1994-12-31,22564732,2.17
1995-12-31,23026206,2.05
1996-12-31,23465926,1.91
1997-12-31,23877289,1.75
1998-12-31,24256775,1.59
1999-12-31,24602708,1.43
2000-12-31,24925554,1.31
2001-12-31,25248445,1.3
2002-12-31,25579030,1.31
2003-12-31,25905904,1.28
2004-12-31,26234923,1.27
2005-12-31,26573423,1.29
2006-12-31,26926819,1.33
2007-12-31,27309616,1.42
2008-12-31,27726810,1.53
2009-12-31,28167842,1.59
2010-12-31,28614227,1.58
2011-12-31,29057458,1.55
2012-12-31,29503051,1.53
2013-12-31,29963226,1.56
2014-12-31,30446542,1.61
2015-12-31,30949417,1.65
2016-12-31,31453574,1.63
2017-12-31,31945682,1.56
2018-12-31,32449576,1.58
2019-12-31,32976948,1.63
2020-12-31,33526656,1.67
2021-12-31,34081449,1.65
2022-12-31,34627652,1.6
2023-12-31,35163944,1.55
2024-12-31,35673804,1.45
2025-12-31,36159016,1.36
2026-12-31,36622074,1.28
2027-12-31,37064740,1.21
2028-12-31,37491898,1.15
2029-12-31,37907251,1.11
2030-12-31,38313228,1.07
2031-12-31,38710380,1.04
2032-12-31,39097348,1
2033-12-31,39477006,0.97
2034-12-31,39851948,0.95
2035-12-31,40222392,0.93
2036-12-31,40589997,0.91
2037-12-31,40955389,0.9
2038-12-31,41320935,0.89
2039-12-31,41689808,0.89
2040-12-31,42061549,0.89
2041-12-31,42434927,0.89
2042-12-31,42808673,0.88
2043-12-31,43181331,0.87
2044-12-31,43550919,0.86
2045-12-31,43915921,0.84
2046-12-31,44274499,0.82
2047-12-31,44623081,0.79
2048-12-31,44959113,0.75
2049-12-31,45282690,0.72
2050-12-31,45593149,0.69
2051-12-31,45890520,0.65
2052-12-31,46175676,0.62
2053-12-31,46448134,0.59
2054-12-31,46708096,0.56
2055-12-31,46954664,0.53
2056-12-31,47187748,0.5
2057-12-31,47409179,0.47
2058-12-31,47618956,0.44
2059-12-31,47817724,0.42
2060-12-31,48006705,0.4
2061-12-31,48186160,0.37
2062-12-31,48357214,0.35
2063-12-31,48521029,0.34
2064-12-31,48677584,0.32
2065-12-31,48828179,0.31
2066-12-31,48974083,0.3
2067-12-31,49114713,0.29
2068-12-31,49250628,0.28
2069-12-31,49381781,0.27
2070-12-31,49509153,0.26
2071-12-31,49632663,0.25
2072-12-31,49751969,0.24
2073-12-31,49866543,0.23
2074-12-31,49974645,0.22
2075-12-31,50077874,0.21
2076-12-31,50177262,0.2
2077-12-31,50272548,0.19
2078-12-31,50361977,0.18
2079-12-31,50444302,0.16
2080-12-31,50520945,0.15
2081-12-31,50593461,0.14
2082-12-31,50660450,0.13
2083-12-31,50720341,0.12
2084-12-31,50773092,0.1
2085-12-31,50818518,0.09
2086-12-31,50858755,0.08
2087-12-31,50894189,0.07
2088-12-31,50923589,0.06
2089-12-31,50948207,0.05
2090-12-31,50968173,0.04
2091-12-31,50981600,0.03
2092-12-31,50987784,0.01
2093-12-31,50987325,0
2094-12-31,50980739,-0.01
2095-12-31,50968107,-0.02
2096-12-31,50948655,-0.04
2097-12-31,50921529,-0.05
2098-12-31,50886073,-0.07
2099-12-31,50843100,-0.08
2100-12-31,50794586,-0.1
