Macrotrends Data Download

Vietnam Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,25109200
1951-12-31,25627533,2.06
1952-12-31,26189593,2.19
1953-12-31,26820851,2.41
1954-12-31,27507453,2.56
1955-12-31,28263031,2.75
1956-12-31,29035681,2.73
1957-12-31,29884089,2.92
1958-12-31,30804081,3.08
1959-12-31,31750430,3.07
1960-12-31,32718461,3.05
1961-12-31,33621982,2.76
1962-12-31,34533889,2.71
1963-12-31,35526727,2.87
1964-12-31,36509166,2.77
1965-12-31,37466077,2.62
1966-12-31,38388210,2.46
1967-12-31,39282564,2.33
1968-12-31,40145287,2.2
1969-12-31,41015865,2.17
1970-12-31,41928849,2.23
1971-12-31,42916624,2.36
1972-12-31,43906019,2.31
1973-12-31,44891281,2.24
1974-12-31,45898698,2.24
1975-12-31,46969616,2.33
1976-12-31,48163573,2.54
1977-12-31,49418150,2.6
1978-12-31,50701458,2.6
1979-12-31,51831389,2.23
1980-12-31,52968270,2.19
1981-12-31,54280394,2.48
1982-12-31,55632153,2.49
1983-12-31,57011444,2.48
1984-12-31,58406863,2.45
1985-12-31,59811313,2.4
1986-12-31,61221107,2.36
1987-12-31,62630787,2.3
1988-12-31,64037514,2.25
1989-12-31,65466361,2.23
1990-12-31,66912613,2.21
1991-12-31,68358820,2.16
1992-12-31,69788747,2.09
1993-12-31,71176405,1.99
1994-12-31,72501087,1.86
1995-12-31,73759110,1.74
1996-12-31,74946448,1.61
1997-12-31,76058603,1.48
1998-12-31,77128424,1.41
1999-12-31,78123713,1.29
2000-12-31,79001142,1.12
2001-12-31,79817777,1.03
2002-12-31,80642308,1.03
2003-12-31,81475825,1.03
2004-12-31,82311227,1.03
2005-12-31,83142095,1.01
2006-12-31,83951800,0.97
2007-12-31,84762269,0.97
2008-12-31,85597241,0.99
2009-12-31,86482923,1.03
2010-12-31,87411012,1.07
2011-12-31,88349117,1.07
2012-12-31,89301326,1.08
2013-12-31,90267739,1.08
2014-12-31,91235504,1.07
2015-12-31,92191398,1.05
2016-12-31,93126529,1.01
2017-12-31,94033048,0.97
2018-12-31,94914330,0.94
2019-12-31,95776716,0.91
2020-12-31,96648685,0.91
2021-12-31,97468029,0.85
2022-12-31,98186856,0.74
2023-12-31,98858950,0.68
2024-12-31,99497680,0.65
2025-12-31,100103979,0.61
2026-12-31,100679892,0.58
2027-12-31,101228069,0.54
2028-12-31,101747121,0.51
2029-12-31,102237046,0.48
2030-12-31,102699905,0.45
2031-12-31,103133107,0.42
2032-12-31,103538310,0.39
2033-12-31,103917806,0.37
2034-12-31,104271016,0.34
2035-12-31,104598253,0.31
2036-12-31,104900707,0.29
2037-12-31,105180604,0.27
2038-12-31,105437667,0.24
2039-12-31,105672878,0.22
2040-12-31,105887768,0.2
2041-12-31,106080557,0.18
2042-12-31,106252410,0.16
2043-12-31,106406496,0.15
2044-12-31,106544934,0.13
2045-12-31,106667721,0.12
2046-12-31,106773162,0.1
2047-12-31,106860645,0.08
2048-12-31,106930754,0.07
2049-12-31,106982197,0.05
2050-12-31,107012939,0.03
2051-12-31,107021716,0.01
2052-12-31,107009829,-0.01
2053-12-31,106977704,-0.03
2054-12-31,106921889,-0.05
2055-12-31,106841489,-0.08
2056-12-31,106739972,-0.1
2057-12-31,106617588,-0.11
2058-12-31,106471716,-0.14
2059-12-31,106303111,-0.16
2060-12-31,106111408,-0.18
2061-12-31,105898652,-0.2
2062-12-31,105666279,-0.22
2063-12-31,105413855,-0.24
2064-12-31,105143780,-0.26
2065-12-31,104857757,-0.27
2066-12-31,104556838,-0.29
2067-12-31,104243867,-0.3
2068-12-31,103917764,-0.31
2069-12-31,103582262,-0.32
2070-12-31,103236788,-0.33
2071-12-31,102879073,-0.35
2072-12-31,102515395,-0.35
2073-12-31,102145980,-0.36
2074-12-31,101770117,-0.37
2075-12-31,101388542,-0.37
2076-12-31,101003561,-0.38
2077-12-31,100615720,-0.38
2078-12-31,100224463,-0.39
2079-12-31,99830260,-0.39
2080-12-31,99431612,-0.4
2081-12-31,99029304,-0.4
2082-12-31,98623396,-0.41
2083-12-31,98215501,-0.41
2084-12-31,97808916,-0.41
2085-12-31,97399629,-0.42
2086-12-31,96985710,-0.42
2087-12-31,96570293,-0.43
2088-12-31,96153021,-0.43
2089-12-31,95733898,-0.44
2090-12-31,95313293,-0.44
2091-12-31,94890951,-0.44
2092-12-31,94467935,-0.45
2093-12-31,94044895,-0.45
2094-12-31,93621319,-0.45
2095-12-31,93196832,-0.45
2096-12-31,92769682,-0.46
2097-12-31,92339695,-0.46
2098-12-31,91907988,-0.47
2099-12-31,91473455,-0.47
2100-12-31,91036732,-0.48
