Macrotrends Data Download

Yemen Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,4712810
1951-12-31,4782787,1.48
1952-12-31,4855822,1.53
1953-12-31,4931833,1.57
1954-12-31,5010564,1.6
1955-12-31,5091603,1.62
1956-12-31,5175088,1.64
1957-12-31,5260779,1.66
1958-12-31,5349846,1.69
1959-12-31,5443654,1.75
1960-12-31,5542459,1.82
1961-12-31,5646668,1.88
1962-12-31,5753386,1.89
1963-12-31,5860197,1.86
1964-12-31,5973803,1.94
1965-12-31,6097298,2.07
1966-12-31,6228430,2.15
1967-12-31,6368014,2.24
1968-12-31,6515904,2.32
1969-12-31,6673981,2.43
1970-12-31,6843607,2.54
1971-12-31,7024196,2.64
1972-12-31,7215835,2.73
1973-12-31,7417736,2.8
1974-12-31,7630190,2.86
1975-12-31,7855657,2.95
1976-12-31,8094985,3.05
1977-12-31,8348182,3.13
1978-12-31,8615301,3.2
1979-12-31,8899922,3.3
1980-12-31,9204938,3.43
1981-12-31,9529105,3.52
1982-12-31,9872292,3.6
1983-12-31,10237391,3.7
1984-12-31,10625687,3.79
1985-12-31,11036918,3.87
1986-12-31,11465444,3.88
1987-12-31,11915563,3.93
1988-12-31,12387238,3.96
1989-12-31,12872362,3.92
1990-12-31,13375121,3.91
1991-12-31,13895851,3.89
1992-12-31,14433771,3.87
1993-12-31,14988047,3.84
1994-12-31,15553171,3.77
1995-12-31,16103339,3.54
1996-12-31,16614326,3.17
1997-12-31,17108681,2.98
1998-12-31,17608133,2.92
1999-12-31,18114552,2.88
2000-12-31,18628700,2.84
2001-12-31,19143457,2.76
2002-12-31,19660653,2.7
2003-12-31,20188799,2.69
2004-12-31,20733406,2.7
2005-12-31,21320671,2.83
2006-12-31,21966298,3.03
2007-12-31,22641538,3.07
2008-12-31,23329004,3.04
2009-12-31,24029589,3
2010-12-31,24743946,2.97
2011-12-31,25475610,2.96
2012-12-31,26223391,2.94
2013-12-31,26984002,2.9
2014-12-31,27753304,2.85
2015-12-31,28516545,2.75
2016-12-31,29274002,2.66
2017-12-31,30034389,2.6
2018-12-31,30790513,2.52
2019-12-31,31546691,2.46
2020-12-31,32284046,2.34
2021-12-31,32981641,2.16
2022-12-31,33696614,2.17
2023-12-31,34449825,2.24
2024-12-31,35219853,2.24
2025-12-31,36000452,2.22
2026-12-31,36781795,2.17
2027-12-31,37565099,2.13
2028-12-31,38349376,2.09
2029-12-31,39135876,2.05
2030-12-31,39923245,2.01
2031-12-31,40710798,1.97
2032-12-31,41499929,1.94
2033-12-31,42288449,1.9
2034-12-31,43075225,1.86
2035-12-31,43861748,1.83
2036-12-31,44649427,1.8
2037-12-31,45436698,1.76
2038-12-31,46222091,1.73
2039-12-31,47006482,1.7
2040-12-31,47790708,1.67
2041-12-31,48571507,1.63
2042-12-31,49345776,1.59
2043-12-31,50117967,1.56
2044-12-31,50885281,1.53
2045-12-31,51644122,1.49
2046-12-31,52395228,1.45
2047-12-31,53136711,1.42
2048-12-31,53866133,1.37
2049-12-31,54585033,1.33
2050-12-31,55296331,1.3
2051-12-31,55997858,1.27
2052-12-31,56688069,1.23
2053-12-31,57364744,1.19
2054-12-31,58025813,1.15
2055-12-31,58674103,1.12
2056-12-31,59311406,1.09
2057-12-31,59938302,1.06
2058-12-31,60554041,1.03
2059-12-31,61154304,0.99
2060-12-31,61740942,0.96
2061-12-31,62315196,0.93
2062-12-31,62873416,0.9
2063-12-31,63416230,0.86
2064-12-31,63942194,0.83
2065-12-31,64452266,0.8
2066-12-31,64949598,0.77
2067-12-31,65433543,0.75
2068-12-31,65904285,0.72
2069-12-31,66361274,0.69
2070-12-31,66803481,0.67
2071-12-31,67233822,0.64
2072-12-31,67652140,0.62
2073-12-31,68056963,0.6
2074-12-31,68447732,0.57
2075-12-31,68826428,0.55
2076-12-31,69193327,0.53
2077-12-31,69545231,0.51
2078-12-31,69882824,0.49
2079-12-31,70207197,0.46
2080-12-31,70518779,0.44
2081-12-31,70819544,0.43
2082-12-31,71109816,0.41
2083-12-31,71385794,0.39
2084-12-31,71648370,0.37
2085-12-31,71899667,0.35
2086-12-31,72139654,0.33
2087-12-31,72367124,0.32
2088-12-31,72582679,0.3
2089-12-31,72787254,0.28
2090-12-31,72978577,0.26
2091-12-31,73155783,0.24
2092-12-31,73319167,0.22
2093-12-31,73470144,0.21
2094-12-31,73607560,0.19
2095-12-31,73731166,0.17
2096-12-31,73842897,0.15
2097-12-31,73943565,0.14
2098-12-31,74031957,0.12
2099-12-31,74108751,0.1
2100-12-31,74176034,0.09
